section	method	samples	F1	L1	Pearson	FP_plus_FN_or_pooled	decision	source
hmp_airskin_gtdb_source_abundance_sample10	MinCO current-code GTDB source-abundance sample10	10	0.9130434782608695	20.729208359157024	0.9889496865549157	TP/FP/FN=63/6/6	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin10_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample10	Sylph r232 GTDB source-abundance sample10	10	0.9411764705882353	11.17273797413609	0.9931350210509232	TP/FP/FN=64/3/5	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin10_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample19	MinCO current-code GTDB source-abundance sample19	19	0.8062015503875969	37.17374040767086	0.9634093812936598	TP/FP/FN=104/43/7	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin19_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample19	Sylph r232 GTDB source-abundance sample19	19	0.9683257918552037	13.049354419407495	0.9941563409041002	TP/FP/FN=107/3/4	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin19_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample14	MinCO current-code GTDB source-abundance sample14	14	0.8620689655172413	14.82416797226076	0.9986364303601221	TP/FP/FN=25/5/3	release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin14_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_sample14	Sylph r232 GTDB source-abundance sample14	14	0.9491525423728813	4.072864305846134	0.9998420737423819	TP/FP/FN=28/3/0	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_airskin14_r232_source_abundance_summary.tsv
hmp_airskin_gtdb_source_abundance_3sample	MinCO current-code GTDB source-abundance exact6 plus sample28	6,11,28	0.9370014245014245	21.304591335405078	0.9467539686727336	TP/FP/FN=59/4/2	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_3sample_summary.tsv
hmp_airskin_gtdb_source_abundance_3sample	Sylph r232 GTDB source-abundance 3sample	6,11,28	0.9547511312217195	4.023460544452763	0.9976925561061908	TP/FP/FN=61/4/0	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_3sample_summary.tsv
hmp_airskin_gtdb_source_abundance_4sample	MinCO current-code GTDB source-abundance samples6,11,22,28	6,11,22,28	0.8637680175286108	21.140591211643255	0.9572133754775078	TP/FP/FN=78/23/4	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample22_6_11_28_summary.tsv
hmp_airskin_gtdb_source_abundance_4sample	Sylph r232 GTDB source-abundance samples6,11,22,28	6,11,22,28	0.9433360756890168	4.528518411207173	0.9975391070891603	TP/FP/FN=81/7/1	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample22_6_11_28_summary.tsv
hmp_airskin_gtdb_source_abundance_5sample	MinCO current-code GTDB source-abundance samples5,6,11,22,28	5,6,11,22,28	0.8833221063305811	18.980020090234017	0.9654470608948899	TP/FP/FN=103/24/5	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample5_6_11_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_5sample	Sylph r232 GTDB source-abundance samples5,6,11,22,28	5,6,11,22,28	0.9433481058342323	4.815880171263472	0.997686945822155	TP/FP/FN=106/9/2	sylph_better_here	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample5_6_11_22_28_summary.tsv
hmp_airskin_gtdb_source_abundance_6sample	MinCO current-code GTDB source-abundance samples0,5,6,11,22,28	0,5,6,11,22,28	0.8761983736329721	18.946744288800957	0.9694565125871405	TP/FP/FN=132/31/9	expanded_release_grade_counterexample	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample0_5_6_11_22_28_summary.tsv
