section	method	samples	F1	L1	Pearson	FP_plus_FN_or_pooled	decision	source
abundance_formula_crosscheck	broad fixed-calls split mean / zip AF^0.25	20	0.7036094920794688	0.6866984553056441	0.8718585622673066	40.75	rejected_cross_panel_abundance	research/experiments/2026-06-26_cami2_hmp_unseen_transfer/results/fixed_call_abundance_summary.tsv
cami3_source_abundance_formula	source-readmap current calibrated abundance	0,1,2	0.8159567931704953	62.732029033424595	0.8239151096773089	TP/FP/FN=246/62/50	baseline_reference	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_source_readmap_abundance_sweep_summary.tsv
cami3_source_abundance_formula	source-readmap split mean / zip AF^0.25	0,1,2	0.8159567931704953	61.28047178806421	0.8414495710431943	TP/FP/FN=246/62/50	local_improvement_not_promoted	research/experiments/2026-06-27_universal_strategy_decision/results/cami3_source_readmap_abundance_sweep_summary.tsv
abundance_error_decomposition	cami2_toy_mouse_gut: MinCO minus Sylph L1 components	see_panel	-0.06624733061541455	6.888987989078538		matched=5.481571508145842;missing=1.5547426690036732;extra=-0.14732618807097486	main_gap=matched_abs_error	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_error_decomposition_delta.tsv
abundance_error_decomposition	hmp_airskin_gtdb_source_abundance: MinCO minus Sylph L1 components	see_panel	-0.11699723075738855	17.18178142297721		matched=11.31049999961553;missing=0.9498293368882451;extra=4.921452086473434	main_gap=matched_abs_error	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_error_decomposition_delta.tsv
abundance_error_decomposition	hmp_gastrooral_gtdb_source_abundance: MinCO minus Sylph L1 components	see_panel	-0.04139256412151682	43.92386169995139		matched=38.27454061513466;missing=4.474011840244652;extra=1.1753092445720752	main_gap=matched_abs_error	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_error_decomposition_delta.tsv
abundance_error_decomposition	cami3_toy_human_gut_gtdb_source_readmap: MinCO minus Sylph L1 components	see_panel	0.07238203642384078	30.099188302439153		matched=5.585748364768243;missing=19.64166160663186;extra=4.871778331039046	main_gap=missing_truth_mass	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_error_decomposition_delta.tsv
abundance_oracle_bounds	cami2_toy_mouse_gut: fixed-call truth-renorm oracle	5,6,7	0.8776470588235294	3.351852498292491		current_L1=13.7678371229266;sylph_L1=6.731522945777084;detected_truth_pct=98.32407375085376;oracle_minus_sylph=-3.3796704474845933	fixed_call_allocation_headroom_beats_sylph	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_oracle_bounds_panel_delta.tsv
abundance_oracle_bounds	hmp_airskin_gtdb_source_abundance: fixed-call truth-renorm oracle	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8479868529170089	2.5855402110606405		current_L1=22.53852648257859;sylph_L1=5.356745059601379;detected_truth_pct=98.70722989446968;oracle_minus_sylph=-2.7712048485407386	fixed_call_allocation_headroom_beats_sylph	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_oracle_bounds_panel_delta.tsv
abundance_oracle_bounds	hmp_gastrooral_gtdb_source_abundance: fixed-call truth-renorm oracle	0,6	0.9156626506024096	8.952873763737873		current_L1=48.98699110632455;sylph_L1=5.063129406373164;detected_truth_pct=95.52356311813107;oracle_minus_sylph=3.889744357364709	fixed_call_allocation_not_enough_vs_sylph	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_oracle_bounds_panel_delta.tsv
abundance_oracle_bounds	cami3_toy_human_gut_gtdb_source_readmap: fixed-call truth-renorm oracle	0,1,2	0.8145695364238409	41.83350416591873		current_L1=62.73202903342466;sylph_L1=32.6328407309855;detected_truth_pct=79.08324791704064;oracle_minus_sylph=9.200663434933233	fixed_call_allocation_not_enough_vs_sylph	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_oracle_bounds_panel_delta.tsv
abundance_oracle_bounds	fixed-call truth-aware abundance upper bound	32		22.82540327656117		beats_sylph_panels=2/4;validation_max_delta=5.684341886080802e-14	allocation_model_can_close_some_not_all_sylph_gap	research/experiments/2026-06-27_universal_strategy_decision/results/abundance_oracle_bounds_audit.tsv
missed_truth_candidate_audit	cami2_toy_mouse_gut: emitted-profile FN visibility	5,6,7	FN=94	1.6759262491462439		high_FN=0;high_visible=0;high_absent=0;samples_with_uncalled_candidates=3	diagnostic_profile_surface_only	research/experiments/2026-06-27_universal_strategy_decision/results/missed_truth_candidate_panel_summary.tsv
missed_truth_candidate_audit	cami3_toy_human_gut_gtdb_source_readmap: emitted-profile FN visibility	0,1,2	FN=50	20.916752082959366		high_FN=8;high_visible=8;high_absent=0;samples_with_uncalled_candidates=3	diagnostic_profile_surface_only	research/experiments/2026-06-27_universal_strategy_decision/results/missed_truth_candidate_panel_summary.tsv
missed_truth_candidate_audit	hmp_airskin_gtdb_source_abundance: emitted-profile FN visibility	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	FN=63	1.2927701055303171		high_FN=10;high_visible=1;high_absent=9;samples_with_uncalled_candidates=3	diagnostic_profile_surface_only	research/experiments/2026-06-27_universal_strategy_decision/results/missed_truth_candidate_panel_summary.tsv
missed_truth_candidate_audit	hmp_gastrooral_gtdb_source_abundance: emitted-profile FN visibility	0,6	FN=5	4.476436881868939		high_FN=1;high_visible=0;high_absent=1;samples_with_uncalled_candidates=0	diagnostic_profile_surface_only	research/experiments/2026-06-27_universal_strategy_decision/results/missed_truth_candidate_panel_summary.tsv
missed_truth_candidate_audit	high-abundance missed truth visibility	9	9/19			absent=10; visible=9;profile_surface_samples=9	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/missed_truth_candidate_audit.tsv
hmp_missed_truth_raw_table_audit	hmp_airskin_gtdb_source_abundance: raw-table visibility	4,5,14,15,18,20,23,25	9	19.711829252444677		targets=9;raw_absent=0;mean_XnY=677.2222222222222;mean_breadth=0.23294755555555557;mean_ANI=0.9330011111111111	diagnostic_raw_side_channel_target	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_missed_truth_raw_table_panel_summary.tsv
hmp_missed_truth_raw_table_audit	hmp_gastrooral_gtdb_source_abundance: raw-table visibility	0	1	8.611111111111212		targets=1;raw_absent=0;mean_XnY=958.0;mean_breadth=0.751749;mean_ANI=0.987029	diagnostic_raw_side_channel_target	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_missed_truth_raw_table_panel_summary.tsv
hmp_missed_truth_raw_table_audit	HMP profile-absent high-FN raw visibility	10	10/10			raw_absent=0; raw_visible=10	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_missed_truth_raw_table_audit.tsv
hmp_raw_candidate_rescue_sweep	raw_rescue_ani0.9_xny100_br0.05_af0.7_zero_rescue_mass	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	delta_F1=0.007757430082350909;TP_delta=13.0;FP_delta=1.0;FN_delta=-13.0;worsened_samples_F1=0.0	diagnostic_HMP_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_raw_candidate_rescue_top100.tsv
hmp_raw_candidate_rescue_sweep	HMP raw-side-channel rescue threshold sweep	hmp_airskin_24+hmp_gastrooral_2	raw_rescue_ani0.9_xny100_br0.05_af0.7_zero_rescue_mass			mean_delta_F1=0.007757430082350909;mean_delta_L1=0.0;TP_delta=13.0;FP_delta=1.0;FN_delta=-13.0	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/hmp_raw_candidate_rescue_audit.tsv
cross_panel_candidate_rescue_sweep	cross_rescue_ani0.9_xny100_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	delta_F1=0.007318855410098409;TP_delta=19.0;FP_delta=1.0;FN_delta=-19.0;worsened_samples_F1=0.0;worsened_panels_F1=0.0	promising_candidate_requires_wrapper_validation	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_top100.tsv
cross_panel_candidate_rescue_sweep	Toy+HMP+CAMI3 zero-mass candidate rescue	cami2_toy_mouse_gut,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance,cami3_toy_human_gut_gtdb_source_readmap	cross_rescue_ani0.9_xny100_br0.01_af0.7_zero_mass			mean_delta_F1=0.007318855410098409;TP_delta=19.0;FP_delta=1.0;FN_delta=-19.0;baseline_validation=7.673861546209082e-13	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_audit.tsv
cross_panel_candidate_rescue_hits	cami2_toy_mouse_gut: selected-rule rescued species	samples_with_rescue=1	TP=1;FP=0	0.775594622544518		sources=emitted_profile	abundance_policy_target	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_best_hits_summary.tsv
cross_panel_candidate_rescue_hits	cami3_toy_human_gut_gtdb_source_readmap: selected-rule rescued species	samples_with_rescue=3	TP=5;FP=0	38.22291124158479		sources=emitted_profile	abundance_policy_target	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_best_hits_summary.tsv
cross_panel_candidate_rescue_hits	hmp_airskin_gtdb_source_abundance: selected-rule rescued species	samples_with_rescue=7	TP=11;FP=1	9.272690851282494		sources=hmp_raw_best_row_cache	abundance_policy_target	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_best_hits_summary.tsv
cross_panel_candidate_rescue_hits	hmp_gastrooral_gtdb_source_abundance: selected-rule rescued species	samples_with_rescue=2	TP=2;FP=0	8.948023680489303		sources=hmp_raw_best_row_cache	abundance_policy_target	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_best_hits_summary.tsv
cross_panel_candidate_rescue_hits	selected-rule rescued truth mass	20		57.219220395901104		TP=19;FP=1	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_rescue_best_hits_audit.tsv
candidate_rescue_wrapper_validation	wrapper_candidate_rescue_emitted_ani90_xny100_br01_af70	cami2_toy_mouse_gut samples=5,6,7	0.8789659224441834	13.690975981820758	0.9881673704508959	TP=374;FP=10;FN=93;rescued_rows=1;zero_mass_violations=0	experimental_wrapper_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_rescue_wrapper_validation_panel_summary.tsv
candidate_rescue_wrapper_validation	wrapper_candidate_rescue_emitted_ani90_xny100_br01_af70	cami3_toy_human_gut_gtdb_source_readmap samples=0,1,2	0.8243021346469621	62.60415694820017	0.8276026158310531	TP=251;FP=62;FN=45;rescued_rows=5;zero_mass_violations=0	experimental_wrapper_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_rescue_wrapper_validation_panel_summary.tsv
candidate_rescue_wrapper_validation	wrapper_candidate_rescue_emitted_ani90_xny100_br01_af70	hmp_airskin_gtdb_source_abundance samples=11,6	0.9795918367346939	22.780570236553928	0.9256139889209761	TP=48;FP=1;FN=1;rescued_rows=1;zero_mass_violations=0	experimental_wrapper_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_rescue_wrapper_validation_panel_summary.tsv
candidate_rescue_wrapper_validation	wrapper_candidate_rescue_emitted_ani90_xny100_br01_af70	hmp_gastrooral_gtdb_source_abundance samples=0,6	0.9156626506024096	48.986991106324496	0.8822766995655476	TP=76;FP=9;FN=5;rescued_rows=0;zero_mass_violations=0	experimental_wrapper_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_rescue_wrapper_validation_panel_summary.tsv
candidate_rescue_wrapper_validation	emitted-profile zero-mass candidate rescue wrapper	10	F1=0.006471;L1_pp=-0.061420;Pearson=0.001163			counts=1;F1=0.0153453	historical_zero_mass_validation_not_final_preset	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_rescue_wrapper_validation_audit.tsv
raw_rescue_taxid_collapse	profile_taxid_absent	TP samples=14,15,18	candidates=5	5.479946907346327		truth_abundance_pct_sum	diagnostic_mechanism	research/experiments/2026-06-27_universal_strategy_decision/results/raw_rescue_taxid_collapse_summary.tsv
raw_rescue_taxid_collapse	same_accession_called_mapping_gap	TP samples=19	candidates=1	0.19654810335066114		truth_abundance_pct_sum	diagnostic_mechanism	research/experiments/2026-06-27_universal_strategy_decision/results/raw_rescue_taxid_collapse_summary.tsv
raw_rescue_taxid_collapse	same_accession_profile_row_uncalled	TP samples=6	candidates=1	1.886792452830171		truth_abundance_pct_sum	diagnostic_mechanism	research/experiments/2026-06-27_universal_strategy_decision/results/raw_rescue_taxid_collapse_summary.tsv
raw_rescue_taxid_collapse	taxid_collapsed_to_other_called_gtdb	FP samples=19	candidates=1	0.0		truth_abundance_pct_sum	diagnostic_mechanism	research/experiments/2026-06-27_universal_strategy_decision/results/raw_rescue_taxid_collapse_summary.tsv
raw_rescue_taxid_collapse	taxid_collapsed_to_other_called_gtdb	TP samples=0,6,19,24,25	candidates=6	10.657427068244639		truth_abundance_pct_sum	diagnostic_mechanism	research/experiments/2026-06-27_universal_strategy_decision/results/raw_rescue_taxid_collapse_summary.tsv
raw_rescue_taxid_collapse	selected raw-side rescue candidate visibility	14	TP=13;FP=1;rule=raw_side_cross_rule_ani90_xny100_br01_af70			taxid_collapsed=7;profile_absent=5;profile_uncalled_or_other=2	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/raw_rescue_taxid_collapse_audit.tsv
raw_side_candidate_surface_gastrooral	raw_side_candidate_surface_gastrooral	hmp_gastrooral_gtdb_source_abundance samples=0,6	0.9285714285714286	48.98699110632455	0.8822766995655476	TP=78;FP=9;FN=3;added_rows=2;zero_mass_violations=0	experimental_profile_surface_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/raw_side_candidate_surface_gastrooral_summary.tsv
raw_side_candidate_surface_gastrooral	accession-level zero-mass raw-side profile rows	2	counts=0;F1=1.11e-16			added_rows=2;zero_mass_violations=0	experimental_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/raw_side_candidate_surface_gastrooral_audit.tsv
raw_side_candidate_surface_hmp	raw_side_candidate_surface_hmp	hmp_airskin_gtdb_source_abundance samples=0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8528209321340964	22.53852648257859	0.9809240826458007	TP=1043;FP=308;FN=52;added_rows=12;zero_mass_violations=0	experimental_profile_surface_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/raw_side_candidate_surface_hmp_summary.tsv
raw_side_candidate_surface_hmp	raw_side_candidate_surface_hmp	hmp_gastrooral_gtdb_source_abundance samples=0,6	0.9285714285714286	48.98699110632455	0.8822766995655476	TP=78;FP=9;FN=3;added_rows=2;zero_mass_violations=0	experimental_profile_surface_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/raw_side_candidate_surface_hmp_summary.tsv
raw_side_candidate_surface_hmp	accession-level zero-mass raw-side profile rows	26	0.007757			counts=0;F1=1.11e-16;added_rows=14;zero_mass_violations=0	experimental_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/raw_side_candidate_surface_hmp_audit.tsv
integrated_candidate_surface_gastrooral	minco_integrated_candidate_surface_gtdb_gastrooral	0,6	0.9285714285714286	48.98699110632436	0.8822766995655474	TP=78;FP=9;FN=3	experimental_wrapper_surface_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_gtdb_gastrooral_summary.tsv
integrated_candidate_surface_gastrooral	wrapper accession-level zero-mass candidate surface	2	0.9285714285714286			TP=78;FP=9;FN=3;added_rows=2;zero_mass_violations=0	experimental_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_gtdb_gastrooral_audit.tsv
integrated_candidate_surface_hmp	minco_integrated_candidate_surface_hmp	hmp_airskin_gtdb_source_abundance samples=0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8528209321340964	22.53852648257859	0.9809240826458007	TP=1043;FP=308;FN=52;added_rows=12;zero_mass_violations=0	experimental_wrapper_surface_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_hmp_summary.tsv
integrated_candidate_surface_hmp	minco_integrated_candidate_surface_hmp	hmp_gastrooral_gtdb_source_abundance samples=0,6	0.9285714285714286	48.98699110632455	0.8822766995655476	TP=78;FP=9;FN=3;added_rows=2;zero_mass_violations=0	experimental_wrapper_surface_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_hmp_summary.tsv
integrated_candidate_surface_hmp	wrapper accession-level zero-mass candidate surface	26	counts=0;F1=1.11e-16			counts=0;F1=1.11e-16;added_rows=14;zero_mass_violations=0	experimental_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_hmp_audit.tsv
candidate_surface_abundance_policy	zero-mass integrated candidate surface	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	35.76275879445157	0.931600391105674	baseline for candidate-surface abundance sweep	current_experimental_surface_abundance	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_abundance_policy_overall.tsv
candidate_surface_abundance_policy	best HMP-only candidate mass: normalized_depth_alpha2	hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8906961803527624	34.389767923470274	0.9386862571115588	mean_profile_delta_L1=-0.3101725650321516;worsened_samples=0.0;mean_added_mass=0.0185675	diagnostic_HMP_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_abundance_policy_overall.tsv
candidate_surface_abundance_policy	candidate-surface nonzero mass sweep	26		normalized_depth_alpha2		mean_delta_L1=-0.3101725650321516;worsened_samples=0.0;mean_added_mass=0.0185675	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_abundance_policy_audit.tsv
integrated_candidate_surface_hmp_abundance	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8528209321340964	22.421593609537194	0.9810913152083994	TP=1043;FP=308;FN=52;added_rows=12;nonzero_added_rows=12;added_norm_mass_after_output=0.0461740377210354	experimental_wrapper_abundance_policy_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_hmp_abundance_summary.tsv
integrated_candidate_surface_hmp_abundance	minco_integrated_candidate_surface_hmp_normalized_depth_alpha2	0,6	0.9285714285714286	46.35794223740334	0.8962811990147186	TP=78;FP=9;FN=3;added_rows=2;nonzero_added_rows=2;added_norm_mass_after_output=0.0665792327970779	experimental_wrapper_abundance_policy_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_hmp_abundance_summary.tsv
integrated_candidate_surface_hmp_abundance	wrapper normalized-depth-alpha2 candidate abundance	26		counts=0;L1=3.38e-14;Pearson=4.44e-16		added_rows=14;nonzero_added_rows=14;raw_mass_delta=8.881784197001252e-16	experimental_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_surface_integrated_hmp_abundance_audit.tsv
cross_panel_candidate_abundance_policy	zero-mass selected candidate call set	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	37.0063459363136	0.9186781153898296	baseline for selected-candidate abundance sweep	current_experimental_selected_call_abundance	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_policy_overall.tsv
cross_panel_candidate_abundance_policy	best mean-L1 candidate mass: raw_abundance_scaled_alpha2_cap0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	34.12260033461368	0.9349399879724696	mean_profile_delta_L1=-1.0795731979116212;worsened_samples=1.0;worsened_panels=1.0	diagnostic_unsafe_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_policy_overall.tsv
cross_panel_candidate_abundance_policy	best sample-safe candidate mass: normalized_depth_alpha2	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.00144040869732	0.9312086221382327	mean_profile_delta_L1=-0.7433201881437104;worsened_samples=0.0;worsened_panels=0.0;mean_added_mass=0.01902722916666667	diagnostic_sample_safe_needs_full_cross_panel_wrapper_validation	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_policy_overall.tsv
cross_panel_candidate_abundance_policy	selected-candidate nonzero mass sweep	32		normalized_depth_alpha2		mean_delta_L1=-0.7433201881437104;mean_added_mass=0.01902722916666667	diagnostic_only_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_policy_audit.tsv
cross_panel_candidate_abundance_wrapper	wrapper_candidate_abundance_normalized_depth_alpha2	5,6,7	0.8789659224441834	13.53019147920787	0.9882160988462568	TP=374;FP=10;FN=93;added_rows=1;nonzero_candidate_rows=1;added_abundance=0.0031719069919516	experimental_wrapper_candidate_abundance_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_summary.tsv
cross_panel_candidate_abundance_wrapper	wrapper_candidate_abundance_normalized_depth_alpha2	0,1,2	0.8243021346469621	57.74723423801299	0.8643207577444599	TP=251;FP=62;FN=45;added_rows=5;nonzero_candidate_rows=5;added_abundance=0.1094412180692186	experimental_wrapper_candidate_abundance_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_summary.tsv
cross_panel_candidate_abundance_wrapper	wrapper_candidate_abundance_normalized_depth_alpha2	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8528209321340964	22.421593609537194	0.9810913152083994	TP=1043;FP=308;FN=52;added_rows=12;nonzero_candidate_rows=12;added_abundance=0.0461740377210354	experimental_wrapper_candidate_abundance_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_summary.tsv
cross_panel_candidate_abundance_wrapper	wrapper_candidate_abundance_normalized_depth_alpha2	0,6	0.9285714285714286	46.35794223740334	0.8962811990147186	TP=78;FP=9;FN=3;added_rows=2;nonzero_candidate_rows=2;added_abundance=0.0665792327970779	experimental_wrapper_candidate_abundance_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_summary.tsv
cross_panel_candidate_abundance_wrapper	wrapper normalized-depth-alpha2 candidate abundance	32		mean_L1=-0.722425;max_worse_L1=0.000000;mean_Pearson=0.004448;worsened_samples=0		counts=0;F1=1.11e-16;L1=4.2;Pearson=0.0302;added_rows=20;nonzero=20;raw_mass_delta=3.552713678800501e-15	experimental_not_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_candidate_abundance_wrapper_audit.tsv
candidate_preset_replay	default launcher --profile-preset candidate	32		counts=0;F1=1.11e-16;L1=0.14;Pearson=6.88e-05		strategy=universal-auto-exact;rescue=emitted-ani90-xny100-br01-af70;surface=accession-ani90-xny100-br01-af70;added_rows=20;nonzero=20;raw_mass_delta=3.552713678800501e-15	promote_to_selected_default_without_broad_release_claim	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_preset_replay_audit.tsv
candidate_default_decision	candidate_vs_current: CAMI2 Toy Mouse	5,6,7	0.0013188636206539206	-0.23764564371841956	0.00023949111961973912	candidate_F1=0.8789659224441834;current_F1=0.8776470588235294;candidate_L1=13.53019147920787;current_L1=13.76783712292629	candidate_dominates_current_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_current.tsv
candidate_default_decision	candidate_vs_current: CAMI3 ToyGut source-readmap	0,1,2	0.009732598223121225	-4.984794795411503	0.04040564806715108	candidate_F1=0.8243021346469621;current_F1=0.8145695364238409;candidate_L1=57.747234238013;current_L1=62.7320290334245	candidate_dominates_current_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_current.tsv
candidate_default_decision	candidate_vs_current: HMP airskin source-abundance	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.00483407921708745	-0.12543030096778196	0.0001712149361342563	candidate_F1=0.8528209321340964;current_F1=0.8479868529170089;candidate_L1=22.413096181610623;current_L1=22.538526482578405	candidate_dominates_current_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_current.tsv
candidate_default_decision	candidate_vs_current: HMP gastrooral source-abundance	0,6	0.012908777969019014	-2.629048868921018	0.014004499449171037	candidate_F1=0.9285714285714286;current_F1=0.9156626506024096;candidate_L1=46.35794223740334;current_L1=48.98699110632436	candidate_dominates_current_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_current.tsv
candidate_default_decision	candidate_vs_sylph: CAMI2 Toy Mouse	5,6,7	-0.06492846699476063	6.79866853343088	-0.005824173816059042	candidate_F1=0.8789659224441834;sylph_F1=0.943894389438944;candidate_L1=13.53019147920787;sylph_L1=6.73152294577699	candidate_not_sylph_beating_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_sylph.tsv
candidate_default_decision	candidate_vs_sylph: CAMI3 ToyGut source-readmap	0,1,2	0.082114634646962	25.11439350702768	-0.08138760792443689	candidate_F1=0.8243021346469621;sylph_F1=0.7421875000000001;candidate_L1=57.747234238013;sylph_L1=32.63284073098532	candidate_not_sylph_beating_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_sylph.tsv
candidate_default_decision	candidate_vs_sylph: HMP airskin source-abundance	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	-0.11216315154030121	17.056351122009374	-0.01685480539157591	candidate_F1=0.8528209321340964;sylph_F1=0.9649840836743976;candidate_L1=22.413096181610623;sylph_L1=5.356745059601248	candidate_not_sylph_beating_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_sylph.tsv
candidate_default_decision	candidate_vs_sylph: HMP gastrooral source-abundance	0,6	-0.028483786152497803	41.29481283103027	-0.10284361057866176	candidate_F1=0.9285714285714286;sylph_F1=0.9570552147239264;candidate_L1=46.35794223740334;sylph_L1=5.063129406373072	candidate_not_sylph_beating_panel	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_vs_sylph.tsv
candidate_default_decision	candidate default decision audit	4 panels	F1=0.007199;L1=-1.994230;Pearson=0.013705	F1_wins=1/4;L1_wins=0/4;Pearson_wins=0/4		f1_worse=0;l1_worse=0;pearson_worse=0	candidate_default_next_step	research/experiments/2026-06-27_universal_strategy_decision/results/candidate_default_decision_audit.tsv
cross_panel_abundance_variant_sweep	current calibrated abundance	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance		37.00634593631354	0.918773050636007	fixed calls; panel official L1	current_abundance_default	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_abundance_variant_overall.tsv
cross_panel_abundance_variant_sweep	best mean-L1 variant: genus_realloc_xny	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance		36.291143110024734	0.920525666456425	delta=-0.7152028262887984;max_worse=1.2189139667692803;improved=3;worsened=1	rejected_not_all_panel_improvement	research/experiments/2026-06-27_universal_strategy_decision/results/cross_panel_abundance_variant_overall.tsv
