sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	collapse_rule	profile	called_rows_mapped	called_species_mapped
15	validated_current_no_exact	24	22	21	1	3	0.9545454545454546	0.875	0.9130434782608696	8.896279874750265	8.527120863346004	0.9995246530616628	0.999528727060929	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
16	validated_current_no_exact	10	10	10	0	0	1.0	1.0	1.0	6.91458951469375	6.91458951469375	0.9998353757011106	0.9998353757011106	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
17	validated_current_no_exact	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112616	17.668557178190664	0.9960095778891284	0.996789006391613	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
18	validated_current_no_exact	27	26	25	1	2	0.9615384615384616	0.925925925925926	0.9433962264150944	12.023034824053717	10.640124279497003	0.9947328417202752	0.995104419479662	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
19	validated_current_no_exact	111	147	104	43	7	0.7074829931972789	0.9369369369369368	0.8062015503875969	37.173740407670834	27.293248540725934	0.9634093812936608	0.980683194447156	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
20	validated_current_no_exact	79	106	76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054144	16.91205476222545	0.9904823004265118	0.994983201473338	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
21	validated_current_no_exact	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146760914	18.167816526634077	0.9626902136826684	0.9915885745919611	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
22	validated_current_no_exact	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.648590840357823	12.056025115448833	0.9885915958918304	0.9968326827201656	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
23	validated_current_no_exact	33	36	31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.41923191911541	24.333989815353675	0.9844470248065242	0.9854764855410796	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
24	validated_current_no_exact	29	26	25	1	4	0.9615384615384616	0.8620689655172413	0.9090909090909092	13.776347378834888	13.138564497392055	0.9946961294046556	0.9947347218527692	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
25	validated_current_no_exact	49	76	45	31	4	0.5921052631578947	0.9183673469387756	0.72	23.876829864906885	14.822596296490415	0.984476052440572	0.9924411161891388	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
28	validated_current_no_exact	12	15	12	3	0	0.8	1.0	0.888888888888889	18.352633533107465	10.977119798332335	0.9890339281762488	0.9978801202854538	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
0	validated_current_no_exact	34	34	32	2	2	0.9411764705882352	0.9411764705882352	0.9411764705882352	19.9009221025293	18.88989203420979	0.9549294426840412	0.9547660906648994	hmp_gastrooral_gtdb_source_abundance	sum	NA	NA	NA
6	validated_current_no_exact	47	51	44	7	3	0.8627450980392157	0.9361702127659576	0.8979591836734694	78.0730601101197	74.36126823338685	0.8096239564470538	0.810392640427629	hmp_gastrooral_gtdb_source_abundance	sum	NA	NA	NA
5	validated_exact_hit_ge_0.10	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.18588817961991	15.41422817260958	0.9913799211896313	0.9917478920123488	cami2_toy_mouse_gut	max	NA	NA	NA
6	validated_exact_hit_ge_0.10	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189063205	20.062955823580985	0.9729828392129996	0.9737545137280396	cami2_toy_mouse_gut	max	NA	NA	NA
7	validated_exact_hit_ge_0.10	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454544	5.91567413224301	5.826327372590053	0.9984269486093535	0.9984274174395252	cami2_toy_mouse_gut	max	NA	NA	NA
0	validated_exact_hit_ge_0.10	33	36	29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	18.780365281635717	10.124727197423518	0.9895037710483946	0.9957539782840136	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
1	validated_exact_hit_ge_0.10	51	99	51	48	0	0.5151515151515151	1.0	0.6799999999999999	18.10588369009282	11.77322670981018	0.9973939434154936	0.9978165192517792	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
3	validated_exact_hit_ge_0.10	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106383	12.670666989685811	8.881086724946671	0.9970245468507756	0.999392798033046	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
4	validated_exact_hit_ge_0.10	106	137	102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	28.726740922959674	19.861197783006872	0.9883782682234056	0.9913715332528884	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
5	validated_exact_hit_ge_0.10	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597228	9.524072174532671	0.9983818025644172	0.9984813848525256	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
6	validated_exact_hit_ge_0.10	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468816	12.202962601464062	0.9122239933982668	0.9760025717718572	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
7	validated_exact_hit_ge_0.10	75	89	69	20	6	0.7752808988764045	0.92	0.8414634146341463	27.60939968724844	23.56912416537608	0.9875542782678014	0.9880750272858686	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
9	validated_exact_hit_ge_0.10	96	102	92	10	4	0.9019607843137256	0.9583333333333334	0.9292929292929292	31.526930250245112	22.68679514645174	0.9866666556242832	0.9927120918834786	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
10	validated_exact_hit_ge_0.10	69	69	63	6	6	0.9130434782608696	0.9130434782608696	0.9130434782608696	20.729208359157425	18.003822216674006	0.9889496865549154	0.9899775618885668	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
11	validated_exact_hit_ge_0.10	33	32	32	0	1	1.0	0.9696969696969696	0.9846153846153848	22.345748750639142	22.345748750639142	0.9390039844436854	0.9390039844436854	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
14	validated_exact_hit_ge_0.10	28	30	25	5	3	0.8333333333333334	0.8928571428571429	0.8620689655172413	14.82416797226096	11.35721262026532	0.9986364303601216	0.9989077132319848	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
15	validated_exact_hit_ge_0.10	24	22	21	1	3	0.9545454545454546	0.875	0.9130434782608696	8.89627987475038	8.527120863346111	0.9995246530616624	0.9995287270609288	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
16	validated_exact_hit_ge_0.10	10	10	10	0	0	1.0	1.0	1.0	6.914589514693794	6.914589514693794	0.9998353757011104	0.9998353757011104	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
17	validated_exact_hit_ge_0.10	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.5251806431128	17.66855717819079	0.996009577889128	0.996789006391613	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
18	validated_exact_hit_ge_0.10	27	26	25	1	2	0.9615384615384616	0.925925925925926	0.9433962264150944	12.02303482405378	10.640124279497062	0.9947328417202752	0.9951044194796622	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
19	validated_exact_hit_ge_0.10	111	147	104	43	7	0.7074829931972789	0.9369369369369368	0.8062015503875969	37.173740407671104	27.29324854072616	0.9634093812936608	0.980683194447156	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
20	validated_exact_hit_ge_0.10	79	106	76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054524	16.912054762225797	0.990482300426512	0.9949832014733382	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
21	validated_exact_hit_ge_0.10	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146760935	18.16781652663409	0.9626902136826684	0.9915885745919611	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
22	validated_exact_hit_ge_0.10	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.648590840357965	12.056025115448952	0.9885915958918304	0.9968326827201656	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
23	validated_exact_hit_ge_0.10	33	36	31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.4192319191154	24.333989815353643	0.9844470248065246	0.9854764855410798	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
24	validated_exact_hit_ge_0.10	29	26	25	1	4	0.9615384615384616	0.8620689655172413	0.9090909090909092	13.776347378835	13.138564497392158	0.9946961294046556	0.9947347218527696	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
25	validated_exact_hit_ge_0.10	49	76	45	31	4	0.5921052631578947	0.9183673469387756	0.72	23.8768298649071	14.822596296490625	0.9844760524405718	0.9924411161891388	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
28	validated_exact_hit_ge_0.10	12	15	12	3	0	0.8	1.0	0.888888888888889	18.352633533107504	10.977119798332373	0.9890339281762488	0.9978801202854538	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
0	validated_exact_hit_ge_0.10	34	34	32	2	2	0.9411764705882352	0.9411764705882352	0.9411764705882352	19.900922102529307	18.889892034209797	0.954929442684041	0.9547660906648996	hmp_gastrooral_gtdb_source_abundance	sum	NA	NA	NA
6	validated_exact_hit_ge_0.10	47	51	44	7	3	0.8627450980392157	0.9361702127659576	0.8979591836734694	17.875675340950202	14.469366294150747	0.992238066610686	0.9929105323794636	hmp_gastrooral_gtdb_source_abundance	sum	NA	NA	NA
0	validated_current_no_exact	93	96	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	62.229112552091635	51.34032277230055	0.9168100125114247	0.9279167037769093	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample0_baseline_table.tsv	96.0	96.0
0	validated_exact_hit_ge_0.10	93	96	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	58.07420869992988	47.14209063050532	0.9398862375916972	0.951047934945715	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample0_trigger010.tsv	96.0	96.0
1	validated_current_no_exact	104	101	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	67.19360511221431	57.62110828776238	0.7216589081849197	0.738517015915491	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample1_baseline_table.tsv	101.0	101.0
1	validated_exact_hit_ge_0.10	104	101	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	66.92314172496732	58.23209320885461	0.7042420454737607	0.7180022805361024	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample1_trigger010.tsv	101.0	101.0
2	validated_current_no_exact	99	116	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	43.81898504973305	33.20731346381674	0.9544933525370352	0.965283703719262	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample2_baseline_table.tsv	116.0	116.0
2	validated_exact_hit_ge_0.10	99	116	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	107.85090676161819	77.8873203988268	0.6920518276157906	0.7808349844497002	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample2_trigger010.tsv	116.0	116.0
13	validated_current_no_exact	40	40	37	3	3	0.925	0.925	0.925	54.74798404447638	54.19229885851233	0.9105244185423925	0.9100458154509375	hmp_airskin_gtdb_source_abundance	sum	/tmp/minco_exact_trigger_validation_20260630/run/hmp_airskin13_baseline_table.tsv	40.0	40.0
13	validated_exact_hit_ge_0.10	40	40	37	3	3	0.925	0.925	0.925	34.6865067105835	33.96309577501465	0.9569958134423097	0.9567680276933461	hmp_airskin_gtdb_source_abundance	sum	/tmp/minco_exact_trigger_validation_20260630/run/hmp_airskin13_trigger010.tsv	40.0	40.0
5	validated_exact_hit_ge_0.30	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.18588817961991	15.41422817260958	0.9913799211896313	0.9917478920123488	cami2_toy_mouse_gut	max	NA	NA	NA
6	validated_exact_hit_ge_0.30	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189063205	20.062955823580985	0.9729828392129996	0.9737545137280396	cami2_toy_mouse_gut	max	NA	NA	NA
7	validated_exact_hit_ge_0.30	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454544	5.91567413224301	5.826327372590053	0.9984269486093535	0.9984274174395252	cami2_toy_mouse_gut	max	NA	NA	NA
0	validated_exact_hit_ge_0.30	33	36	29	7	4	0.8055555555555556	0.8787878787878788	0.8405797101449276	18.780365281635717	10.124727197423518	0.9895037710483946	0.9957539782840136	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
1	validated_exact_hit_ge_0.30	51	99	51	48	0	0.5151515151515151	1.0	0.6799999999999999	18.10588369009282	11.77322670981018	0.9973939434154936	0.9978165192517792	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
3	validated_exact_hit_ge_0.30	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106383	12.670666989685811	8.881086724946671	0.9970245468507756	0.999392798033046	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
4	validated_exact_hit_ge_0.30	106	137	102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	28.726740922959674	19.861197783006872	0.9883782682234056	0.9913715332528884	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
5	validated_exact_hit_ge_0.30	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597228	9.524072174532671	0.9983818025644172	0.9984813848525256	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
6	validated_exact_hit_ge_0.30	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468816	12.202962601464062	0.9122239933982668	0.9760025717718572	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
7	validated_exact_hit_ge_0.30	75	89	69	20	6	0.7752808988764045	0.92	0.8414634146341463	27.60939968724844	23.56912416537608	0.9875542782678014	0.9880750272858686	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
9	validated_exact_hit_ge_0.30	96	102	92	10	4	0.9019607843137256	0.9583333333333334	0.9292929292929292	31.526930250245112	22.68679514645174	0.9866666556242832	0.9927120918834786	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
10	validated_exact_hit_ge_0.30	69	69	63	6	6	0.9130434782608696	0.9130434782608696	0.9130434782608696	20.729208359157425	18.003822216674006	0.9889496865549154	0.9899775618885668	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
11	validated_exact_hit_ge_0.30	33	32	32	0	1	1.0	0.9696969696969696	0.9846153846153848	22.345748750639142	22.345748750639142	0.9390039844436854	0.9390039844436854	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
14	validated_exact_hit_ge_0.30	28	30	25	5	3	0.8333333333333334	0.8928571428571429	0.8620689655172413	14.82416797226096	11.35721262026532	0.9986364303601216	0.9989077132319848	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
15	validated_exact_hit_ge_0.30	24	22	21	1	3	0.9545454545454546	0.875	0.9130434782608696	8.89627987475038	8.527120863346111	0.9995246530616624	0.9995287270609288	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
16	validated_exact_hit_ge_0.30	10	10	10	0	0	1.0	1.0	1.0	6.914589514693794	6.914589514693794	0.9998353757011104	0.9998353757011104	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
17	validated_exact_hit_ge_0.30	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	26.5251806431128	17.66855717819079	0.996009577889128	0.996789006391613	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
18	validated_exact_hit_ge_0.30	27	26	25	1	2	0.9615384615384616	0.925925925925926	0.9433962264150944	12.02303482405378	10.640124279497062	0.9947328417202752	0.9951044194796622	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
19	validated_exact_hit_ge_0.30	111	147	104	43	7	0.7074829931972789	0.9369369369369368	0.8062015503875969	37.173740407671104	27.29324854072616	0.9634093812936608	0.980683194447156	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
20	validated_exact_hit_ge_0.30	79	106	76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054524	16.912054762225797	0.990482300426512	0.9949832014733382	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
21	validated_exact_hit_ge_0.30	34	41	33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146760935	18.16781652663409	0.9626902136826684	0.9915885745919611	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
22	validated_exact_hit_ge_0.30	21	38	19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.648590840357965	12.056025115448952	0.9885915958918304	0.9968326827201656	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
23	validated_exact_hit_ge_0.30	33	36	31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.4192319191154	24.333989815353643	0.9844470248065246	0.9854764855410798	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
24	validated_exact_hit_ge_0.30	29	26	25	1	4	0.9615384615384616	0.8620689655172413	0.9090909090909092	13.776347378835	13.138564497392158	0.9946961294046556	0.9947347218527696	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
25	validated_exact_hit_ge_0.30	49	76	45	31	4	0.5921052631578947	0.9183673469387756	0.72	23.8768298649071	14.822596296490625	0.9844760524405718	0.9924411161891388	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
28	validated_exact_hit_ge_0.30	12	15	12	3	0	0.8	1.0	0.888888888888889	18.352633533107504	10.977119798332373	0.9890339281762488	0.9978801202854538	hmp_airskin_gtdb_source_abundance	sum	NA	NA	NA
0	validated_exact_hit_ge_0.30	34	34	32	2	2	0.9411764705882352	0.9411764705882352	0.9411764705882352	19.900922102529307	18.889892034209797	0.954929442684041	0.9547660906648996	hmp_gastrooral_gtdb_source_abundance	sum	NA	NA	NA
6	validated_exact_hit_ge_0.30	47	51	44	7	3	0.8627450980392157	0.9361702127659576	0.8979591836734694	17.875675340950202	14.469366294150747	0.992238066610686	0.9929105323794636	hmp_gastrooral_gtdb_source_abundance	sum	NA	NA	NA
0	validated_exact_hit_ge_0.30	93	96	80	16	13	0.8333333333333334	0.8602150537634409	0.8465608465608465	62.229112552091635	51.34032277230055	0.9168100125114247	0.9279167037769093	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample0_baseline_table.tsv	96.0	96.0
1	validated_exact_hit_ge_0.30	104	101	88	13	16	0.8712871287128713	0.8461538461538461	0.8585365853658536	67.19360511221431	57.62110828776238	0.7216589081849197	0.738517015915491	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample1_baseline_table.tsv	101.0	101.0
2	validated_exact_hit_ge_0.30	99	116	83	33	16	0.7155172413793104	0.8383838383838383	0.772093023255814	43.81898504973305	33.20731346381674	0.9544933525370352	0.965283703719262	cami3_toy_human_gut_gtdb_source_readmap	sum	/tmp/minco_exact_trigger_validation_20260630/run/cami3_sample2_baseline_table.tsv	116.0	116.0
13	validated_exact_hit_ge_0.30	40	40	37	3	3	0.925	0.925	0.925	54.74798404447638	54.19229885851233	0.9105244185423925	0.9100458154509375	hmp_airskin_gtdb_source_abundance	sum	/tmp/minco_exact_trigger_validation_20260630/run/hmp_airskin13_baseline_table.tsv	40.0	40.0
