panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_L1_truth_only_pp	mean_Pearson_union	mean_Pearson_truth_only	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.40	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	62.73202903342466	51.832406366328826	0.8239151096773086	0.8366597306485984	62.73202903342466	0.8239151096773086	62.732029033424595	0.8239151096773089	6.394884621840902e-14	-2.220446049250313e-16
cami3_toy_human_gut_gtdb_source_readmap	exact_hit_abund_ge_0.50	0,1,2	0.8159567931704953	0.8145695364238409	246	62	50	62.73202903342466	51.832406366328826	0.8239151096773086	0.8366597306485984	62.73202903342466	0.8239151096773086	62.732029033424595	0.8239151096773089	6.394884621840902e-14	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	current_calibrated_abundance	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257849	16.915586755726274	0.9809237855745335	0.9876424418902087	22.53852648257849	0.9809237855745335	22.53852648257849	0.9809237855745335	0.0	0.0
hmp_airskin_gtdb_source_abundance	current_calibrated_raw	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.10	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.15	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.20	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.25	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.30	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
hmp_airskin_gtdb_source_abundance	exact_hit_abund_ge_0.40	0,1,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28,3,4,5,6,7,9	0.8695844068735173	0.8479868529170089	1032	307	63	22.53852648257866	16.915586755726427	0.9809237855745333	0.9876424418902087	22.53852648257866	0.9809237855745333	22.53852648257849	0.9809237855745335	1.7053025658242404e-13	-2.220446049250313e-16
