panel	sample	method	profile	exact_path	exact_available	exact_applied	p_extra	guard_passed	low_extra_gate_passed	threshold	trigger_requested	exact_accessions	exact_matched_rows	exact_fallback_rows
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.1	False	0	0	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.05	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0103193387004973	True	True	0.05	False	0	0	0
hmp_airskin_gtdb_source_abundance	3	exact_hit_abund_ge_0.00	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	True	0.0103193387004973	True	True	0.0	True	91741	47	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.50	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.5	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.40	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.4	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.30	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.3	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.25	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.25	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.20	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.2	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.15	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.15	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.10	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.1	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.05	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0475411472605068	True	True	0.05	False	0	0	0
hmp_airskin_gtdb_source_abundance	4	exact_hit_abund_ge_0.00	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	True	0.0475411472605068	True	True	0.0	True	123148	137	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.50	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.5	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.40	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.4	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.30	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.3	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.25	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.25	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.20	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.2	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.15	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.15	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.10	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.1	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.05	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	False	0.0074588551551046	True	True	0.05	False	0	0	0
hmp_airskin_gtdb_source_abundance	5	exact_hit_abund_ge_0.00	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/work/minco.best_diff_split.exact.unfiltered.tsv	True	True	0.0074588551551046	True	True	0.0	True	117397	26	0
hmp_airskin_gtdb_source_abundance	6	exact_hit_abund_ge_0.50	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	True	False	0.0121084048469189	True	True	0.5	False	0	0	0
hmp_airskin_gtdb_source_abundance	6	exact_hit_abund_ge_0.40	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	True	False	0.0121084048469189	True	True	0.4	False	0	0	0
hmp_airskin_gtdb_source_abundance	6	exact_hit_abund_ge_0.30	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	True	False	0.0121084048469189	True	True	0.3	False	0	0	0
hmp_airskin_gtdb_source_abundance	6	exact_hit_abund_ge_0.25	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	True	False	0.0121084048469189	True	True	0.25	False	0	0	0
hmp_airskin_gtdb_source_abundance	6	exact_hit_abund_ge_0.20	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_split_exact_unfiltered.tsv	True	False	0.0121084048469189	True	True	0.2	False	0	0	0
