panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	official_L1_kind	official_L1_pp	Pearson_union	Pearson_truth_only	added_mass_before_norm	selected_candidates
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha0.25_cap0.05	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	18.897901410732487	18.290489142691698	union	18.897901410732487	0.9863271650224003	0.986210849451223	0.05	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha0.5_cap0.001	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.714876454216615	13.077730718509493	union	13.714876454216615	0.9947932210673329	0.9948307066313522	0.001	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha0.5_cap0.003	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.592302327360573	12.95642707168477	union	13.592302327360573	0.9949556460773624	0.9949907141010847	0.003	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha0.5_cap0.005	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.470216057725843	12.83560622544442	union	13.470216057725843	0.9950755611638733	0.9951079333412968	0.005	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha0.5_cap0.01	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.665832278116778	13.034364078668428	union	13.665832278116778	0.9951881935711682	0.9952125577704573	0.01	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha0.5_cap0.02	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	15.009916965139455	14.384639630391579	union	15.009916965139455	0.99460389222979	0.9946064160958832	0.02	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha0.5_cap0.05	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	18.897901410732487	18.290489142691698	union	18.897901410732487	0.9863271650224003	0.986210849451223	0.05	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha1_cap0.001	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.714876454216615	13.077730718509493	union	13.714876454216615	0.9947932210673329	0.9948307066313522	0.001	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha1_cap0.003	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.592302327360573	12.95642707168477	union	13.592302327360573	0.9949556460773624	0.9949907141010847	0.003	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha1_cap0.005	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.470216057725843	12.83560622544442	union	13.470216057725843	0.9950755611638733	0.9951079333412968	0.005	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha1_cap0.01	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.665832278116778	13.034364078668428	union	13.665832278116778	0.9951881935711682	0.9952125577704573	0.01	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha1_cap0.02	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	15.009916965139455	14.384639630391579	union	15.009916965139455	0.99460389222979	0.9946064160958832	0.02	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha1_cap0.05	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	18.897901410732487	18.290489142691698	union	18.897901410732487	0.9863271650224003	0.986210849451223	0.05	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha2_cap0.001	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.714876454216615	13.077730718509493	union	13.714876454216615	0.9947932210673329	0.9948307066313522	0.001	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha2_cap0.003	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.592302327360573	12.95642707168477	union	13.592302327360573	0.9949556460773624	0.9949907141010847	0.003	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha2_cap0.005	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.470216057725843	12.83560622544442	union	13.470216057725843	0.9950755611638733	0.9951079333412968	0.005	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha2_cap0.01	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.665832278116778	13.034364078668428	union	13.665832278116778	0.9951881935711682	0.9952125577704573	0.01	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha2_cap0.02	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	15.009916965139455	14.384639630391579	union	15.009916965139455	0.99460389222979	0.9946064160958832	0.02	1
hmp_airskin_gtdb_source_abundance	24	xny_share_alpha2_cap0.05	29	27	26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	18.897901410732487	18.290489142691698	union	18.897901410732487	0.9863271650224003	0.986210849451223	0.05	1
