variant_method	feature	op	threshold	switched_samples	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	cami2_toy_mouse_gut_delta_F1	cami2_toy_mouse_gut_delta_L1_pp	cami2_toy_mouse_gut_delta_Pearson	cami2_toy_mouse_gut_switched_samples	cami2_toy_mouse_gut_improved_samples	cami2_toy_mouse_gut_worsened_samples	cami3_toy_human_gut_gtdb_source_readmap_delta_F1	cami3_toy_human_gut_gtdb_source_readmap_delta_L1_pp	cami3_toy_human_gut_gtdb_source_readmap_delta_Pearson	cami3_toy_human_gut_gtdb_source_readmap_switched_samples	cami3_toy_human_gut_gtdb_source_readmap_improved_samples	cami3_toy_human_gut_gtdb_source_readmap_worsened_samples	hmp_airskin_gtdb_source_abundance_delta_F1	hmp_airskin_gtdb_source_abundance_delta_L1_pp	hmp_airskin_gtdb_source_abundance_delta_Pearson	hmp_airskin_gtdb_source_abundance_switched_samples	hmp_airskin_gtdb_source_abundance_improved_samples	hmp_airskin_gtdb_source_abundance_worsened_samples	hmp_gastrooral_gtdb_source_abundance_delta_F1	hmp_gastrooral_gtdb_source_abundance_delta_L1_pp	hmp_gastrooral_gtdb_source_abundance_delta_Pearson	hmp_gastrooral_gtdb_source_abundance_switched_samples	hmp_gastrooral_gtdb_source_abundance_improved_samples	hmp_gastrooral_gtdb_source_abundance_worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	mean_panel_delta_Pearson
drop_prob_lt_0.5_and_breadth_lt_0.2	max_xny_median	>=	387.5	28	35	0.034463832884810565	-0.014135886912904683	17	3	-1.229688004858487	0.6488479620499419	0.0005025521160200735	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.04431588530949866	-1.616604258688707	0.0007127518594637545	25	16	2	0.004852623805953027	0.30461740727402464	-0.0008274880724093991	2	1	1	0.012292127278862922	0.0	2	0	-0.3279967128536706	0.30461740727402464	-2.8684053236411168e-05
drop_prob_lt_0.5_and_breadth_lt_0.2	max_real_min_af_median	>=	0.3875	28	35	0.034463832884810565	-0.014135886912904683	17	3	-1.229688004858487	0.6488479620499419	0.0005025521160200735	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.04431588530949866	-1.616604258688707	0.0007127518594637545	25	16	2	0.004852623805953027	0.30461740727402464	-0.0008274880724093991	2	1	1	0.012292127278862922	0.0	2	0	-0.3279967128536706	0.30461740727402464	-2.8684053236411168e-05
drop_prob_lt_0.5_and_breadth_lt_0.2	max_mean_depth_median	>=	0.46514669999999997	28	35	0.034463832884810565	-0.014135886912904683	17	3	-1.229688004858487	0.6488479620499419	0.0005025521160200735	0.0	0.0	0.0	1	0	0	0.0	0.0	0.0	0	0	0	0.04431588530949866	-1.616604258688707	0.0007127518594637545	25	16	2	0.004852623805953027	0.30461740727402464	-0.0008274880724093991	2	1	1	0.012292127278862922	0.0	2	0	-0.3279967128536706	0.30461740727402464	-2.8684053236411168e-05
drop_prob_lt_0.7_and_breadth_lt_0.2	low_real_frac	<=	0.29185471738663227	31	35	0.03431550885138103	-0.0615713346482577	16	7	-3.1477254571285704	0.7654741840761368	0.001924127001492223	-0.03721840498938104	0.09458650559942801	6.216530798600998e-05	3	0	2	0.0	0.0	0.0	0	0	0	0.04753949333964071	-4.103307380495811	0.002571689386920186	26	14	5	0.014565852298089932	0.1675743785443391	-0.0011388321592876172	2	2	0	0.0062217351620874	-0.03721840498938104	2	1	-0.960286624088011	0.1675743785443391	0.0003737556339046446
min_breadth_ge_0.05	probability_min	>=	0.35319222668242634	28	35	0.03424582338980195	-0.2347906403940887	14	3	-2.4242896724860334	0.3591673737276011	0.0018164567117173354	-0.030578139114724474	0.005900267355670508	5.664806752051869e-06	1	0	1	-0.07826354679802956	0.11972245790920037	0.003345055373165947	1	0	1	0.05648625468079001	-3.1565558041779918	0.0019823638655686203	25	14	1	0.0	0.0	0.0	1	0	0	-0.013088857807991006	-0.07826354679802956	1	2	-0.7577332697282803	0.11972245790920037	0.0013332710113716547
min_xny_ge_50	probability_min	>=	0.35319222668242634	28	35	0.03424582338980195	-0.2347906403940887	14	3	-2.4242896724860334	0.3591673737276011	0.0018164567117173354	-0.030578139114724474	0.005900267355670508	5.664806752051869e-06	1	0	1	-0.07826354679802956	0.11972245790920037	0.003345055373165947	1	0	1	0.05648625468079001	-3.1565558041779918	0.0019823638655686203	25	14	1	0.0	0.0	0.0	1	0	0	-0.013088857807991006	-0.07826354679802956	1	2	-0.7577332697282803	0.11972245790920037	0.0013332710113716547
min_xny_ge_25	max_breadth_median	>=	0.198975	31	35	0.03423245240308191	-0.007815442561205255	16	1	-1.7925578668014266	0.0	0.0014412610059817929	-0.0026051475204017516	-0.06003890740786488	7.569152403371268e-07	3	0	1	0.0	0.0	0.0	0	0	0	0.04432199872211781	-2.3145950857177873	0.0018702367585996568	26	15	0	0.004628655585945718	-0.032670650723041206	-2.7264009274496903e-05	2	1	0	0.011586376696915444	-0.0026051475204017516	2	1	-0.6018261609621733	0.0	0.00046093241614137423
min_xny_ge_25	low_breadth05_frac	<=	0.3263157894736842	31	35	0.03423245240308191	-0.007815442561205255	16	1	-1.7925578668014266	0.0	0.0014412610059817929	-0.0026051475204017516	-0.06003890740786488	7.569152403371268e-07	3	0	1	0.0	0.0	0.0	0	0	0	0.04432199872211781	-2.3145950857177873	0.0018702367585996568	26	15	0	0.004628655585945718	-0.032670650723041206	-2.7264009274496903e-05	2	1	0	0.011586376696915444	-0.0026051475204017516	2	1	-0.6018261609621733	0.0	0.00046093241614137423
min_xny_ge_25	method_dropped_rows	<=	32.00000000000001	31	35	0.03423245240308191	-0.007815442561205255	16	1	-1.7925578668014266	0.0	0.0014412610059817929	-0.0026051475204017516	-0.06003890740786488	7.569152403371268e-07	3	0	1	0.0	0.0	0.0	0	0	0	0.04432199872211781	-2.3145950857177873	0.0018702367585996568	26	15	0	0.004628655585945718	-0.032670650723041206	-2.7264009274496903e-05	2	1	0	0.011586376696915444	-0.0026051475204017516	2	1	-0.6018261609621733	0.0	0.00046093241614137423
min_xny_ge_25	method_dropped_fraction	<=	0.35386338185890265	31	35	0.03423245240308191	-0.007815442561205255	16	1	-1.7925578668014266	0.0	0.0014412610059817929	-0.0026051475204017516	-0.06003890740786488	7.569152403371268e-07	3	0	1	0.0	0.0	0.0	0	0	0	0.04432199872211781	-2.3145950857177873	0.0018702367585996568	26	15	0	0.004628655585945718	-0.032670650723041206	-2.7264009274496903e-05	2	1	0	0.011586376696915444	-0.0026051475204017516	2	1	-0.6018261609621733	0.0	0.00046093241614137423
min_xny_ge_25	method_kept_fraction	>=	0.6461366181410975	31	35	0.03423245240308191	-0.007815442561205255	16	1	-1.7925578668014266	0.0	0.0014412610059817929	-0.0026051475204017516	-0.06003890740786488	7.569152403371268e-07	3	0	1	0.0	0.0	0.0	0	0	0	0.04432199872211781	-2.3145950857177873	0.0018702367585996568	26	15	0	0.004628655585945718	-0.032670650723041206	-2.7264009274496903e-05	2	1	0	0.011586376696915444	-0.0026051475204017516	2	1	-0.6018261609621733	0.0	0.00046093241614137423
min_breadth_ge_0.05	low_prob_xny_mass_frac	<=	0.012610981293070807	31	35	0.03413070520563031	-0.2123010861328618	14	4	-2.156465076145711	0.03691260936277985	0.0012937954971754349	-0.032722804651518556	0.018204470476597123	5.486628311309379e-06	3	0	2	-0.07076702871095393	-0.11513148931159378	-0.0006985214222284079	1	0	1	0.055049507381158554	-2.776449503587364	0.0017651590370933137	25	13	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	-0.009771646121178828	-0.07076702871095393	2	2	-0.7460141320725986	0.018204470476597123	0.00023086265846555977
min_xny_ge_50	low_prob_xny_mass_frac	<=	0.012610981293070807	31	35	0.03413070520563031	-0.2123010861328618	14	4	-2.156465076145711	0.03691260936277985	0.0012937954971754349	-0.032722804651518556	0.018204470476597123	5.486628311309379e-06	3	0	2	-0.07076702871095393	-0.11513148931159378	-0.0006985214222284079	1	0	1	0.055049507381158554	-2.776449503587364	0.0017651590370933137	25	13	1	0.009353741496598622	-0.1106800058680335	-0.00014867360931397622	2	1	0	-0.009771646121178828	-0.07076702871095393	2	2	-0.7460141320725986	0.018204470476597123	0.00023086265846555977
drop_prob_lt_0.5_and_xny_lt_500	max_xny_median	>=	387.5	28	35	0.033865818797011865	-0.011210249370853576	17	5	-1.7471859760083375	0.08227400347389491	0.0010846961859776881	-0.0026601896830904526	-0.03636429715784336	3.386812831999523e-06	1	0	1	0.0	0.0	0.0	0	0	0	0.04298256792380407	-2.203353752908091	0.0013329946346391816	25	15	4	0.01637744650098849	-0.7759324701499164	0.00098167546773259	2	2	0	0.014174956185425526	-0.0026601896830904526	2	1	-0.7539126300539627	0.0	0.0005795142288009428
drop_prob_lt_0.5_and_xny_lt_500	max_real_min_af_median	>=	0.3875	28	35	0.033865818797011865	-0.011210249370853576	17	5	-1.7471859760083375	0.08227400347389491	0.0010846961859776881	-0.0026601896830904526	-0.03636429715784336	3.386812831999523e-06	1	0	1	0.0	0.0	0.0	0	0	0	0.04298256792380407	-2.203353752908091	0.0013329946346391816	25	15	4	0.01637744650098849	-0.7759324701499164	0.00098167546773259	2	2	0	0.014174956185425526	-0.0026601896830904526	2	1	-0.7539126300539627	0.0	0.0005795142288009428
drop_prob_lt_0.5_and_xny_lt_500	max_mean_depth_median	>=	0.46514669999999997	28	35	0.033865818797011865	-0.011210249370853576	17	5	-1.7471859760083375	0.08227400347389491	0.0010846961859776881	-0.0026601896830904526	-0.03636429715784336	3.386812831999523e-06	1	0	1	0.0	0.0	0.0	0	0	0	0.04298256792380407	-2.203353752908091	0.0013329946346391816	25	15	4	0.01637744650098849	-0.7759324701499164	0.00098167546773259	2	2	0	0.014174956185425526	-0.0026601896830904526	2	1	-0.7539126300539627	0.0	0.0005795142288009428
