sample	gtdb_species	truth_abundance	minco_current_calibrated_abundance	minco_current_calibrated_abundance_abs_error_pp	minco_max_split_unique_zip_p1	minco_max_split_unique_zip_p1_abs_error_pp	minco_split_mean_depth	minco_split_mean_depth_abs_error_pp	minco_split_mean_over_zip_p0.25	minco_split_mean_over_zip_p0.25_abs_error_pp	minco_current_raw_power_p0.5	minco_current_raw_power_p0.5_abs_error_pp	sylph_r232_taxonomic_abundance	sylph_r232_taxonomic_abundance_abs_error_pp
6	s__Enteroscipio sp000270285	0.009433962264150855	0.009985916285740805	0.055195402158995065	0.0099859162857408	0.055195402158994544	0.01284252978339609	0.34085675192452347	0.01210400732689071	0.2670045062739856	0.03035131074300859	2.091734847885774	0.009499018998037997	0.0065056733887142865
6	s__Lancefieldella parvula	0.004716981132075427	0.004625591381444902	0.00913897506305255	0.004625591381444919	0.009138975063050815	0.005076731927602973	0.03597507955275456	0.004978221904132424	0.02612407720569967	0.02065699399334156	1.594001286126613	0.004805009610019221	0.008802847794379346
6	s__Mycoplasma mycoides	0.004716981132075427	0.005497315328188602	0.07803341961131749	0.005497315328188669	0.07803341961132416	0.004889808607235933	0.017282747516050596	0.005053599480391458	0.03366183483160309	0.022519503707451937	1.7802522575376512	0.004877009754019508	0.016002862194408086
6	s__Negativicoccus massiliensis_A	0.004716981132075427	0.0046644258980554016	0.005255523402002572	0.004664425898055472	0.005255523401995546	0.004745754209830587	0.0028773077755160116	0.004742668200284518	0.0025687068209091085	0.020743526460108474	1.6026545328033048	0.004838009676019352	0.012102854394392508
6	s__Prevotella intermedia	0.30188679245282735	0.21322084589126247	8.866594656156487	0.21322084589126244	8.86659465615649	0.17808969010694822	12.379710234587913	0.18697380259399582	11.491298985883153	0.14024853119424951	16.16382612585778	0.2921675843351687	0.971920811765864
6	s__Prevotella sp000163055	0.07547169811320684	0.07622710215533363	0.07554040421267894	0.0762271021553336	0.07554040421267616	0.0856540246497205	1.0182326536513657	0.08349922499305219	0.8027526879845357	0.08385678263542366	0.8385084522216826	0.07488314976629953	0.05885483469073027
6	s__Slackia heliotrinireducens	0.03773584905660342	0.038496456253122216	0.07606071965187977	0.0384964562531222	0.07606071965187838	0.05198427110397799	1.4248422047374574	0.04840089794791661	1.0665048891313194	0.059592810377987415	2.1856961321384	0.03805507611015222	0.03192270535488026
6	s__Ureaplasma parvum	0.009433962264150855	0.009450599692656603	0.0016637428505748147	0.00945059969265665	0.0016637428505794985	0.011840154074225943	0.2406191810075089	0.011232517885796758	0.17985556216459034	0.029526581907549684	2.009261964339883	0.009441018882037765	0.0007056617886910116
11	s__Actinoalloteichus_A fjordicus	0.0035821167367225517	0.003817048380239807	0.02349316435172554	0.0038170483802398474	0.023493164351729573	0.00434067472152215	0.07585579847995987	0.004214163679650764	0.06320469429282127	0.014260156926004693	1.067804018928214	0.003701	0.01188832632774482
11	s__Aeromicrobium erythreum	0.0035821167367225517	0.003972891188481907	0.03907744517593556	0.003972891188481931	0.039077445175937905	0.0038731290617746938	0.02910123250521421	0.003907821305157409	0.032570456843485696	0.014548352247339589	1.0966235510617035	0.003659	0.007688326327744827
11	s__Allorhizobium ampelinum	0.0035821167367225517	0.0036662010587110066	0.008408432198845489	0.0036662010587110894	0.008408432198853772	0.0031140431870503235	0.04680735496722281	0.003252064083919953	0.033005265280259884	0.013975540455034007	1.0393423718311454	0.003675	0.009288326327744822
11	s__Bacillus velezensis	0.0035821167367225517	0.0037319896699085065	0.014987293318595484	0.0037319896699085147	0.014987293318596308	0.0025803642978109546	0.1001752438911597	0.0028369875403684167	0.0745129196354135	0.014100375845606463	1.0518259108883912	0.003852	0.02698832632774483
11	s__Bacillus_A anthracis	0.0035821167367225517	0.0037231544238933065	0.014103768717075487	0.0037231544238933638	0.014103768717081211	0.0022783400369975285	0.1303776699725023	0.002582576654795614	0.09995400819269376	0.014083675087847598	1.0501558351125047	0.003646	0.0063883263277448275
11	s__Bradyrhizobium denitrificans	0.0035821167367225517	0.0036192770010953063	0.003716026437275465	0.003619277001095359	0.0037160264372807124	0.003001969578122032	0.05801471586005195	0.0031537097649828112	0.04284069717397404	0.013885815291469789	1.0303698554747238	0.003643	0.006088326327744831
11	s__Comamonas acidovorans	0.0035821167367225517	0.003821453447003607	0.02393367102810555	0.0038214534470036336	0.023933671028108193	0.0015111580068905158	0.2070958729832036	0.0019105178636205527	0.1671598873101999	0.014268383024292373	1.068626628756982	0.003606	0.002388326327744817
11	s__Corynebacterium aurimucosum_F	0.026440285064651837	0.02897469736509935	0.2534412300447514	0.02897469736509932	0.2534412300447483	0.025631155375018363	0.0809129689633474	0.026496738312756743	0.005645324810490612	0.03928890515672812	1.2848620092076286	0.027212999999999998	0.07727149353481608
11	s__Corynebacterium diphtheriae	0.02851965559072334	0.02661654446090235	0.19031111298209896	0.02661654446090233	0.19031111298210107	0.021008164716727392	0.7511490873995947	0.02234552462001813	0.617413097070521	0.03765618408081091	0.9136528490087569	0.027212999999999998	0.1306655590723342
11	s__Corynebacterium falsenii	0.0035821167367225517	0.0040964948111962066	0.051437807447365494	0.004096494811196267	0.05143780744737156	0.005046001978233768	0.14638852415112164	0.004802033843971306	0.12199171072487541	0.014772931259649047	1.1190814522926493	0.0037459999999999998	0.016388326327744812
11	s__Corynebacterium glutamicum	0.12179196904856675	0.11189351783045269	0.9898451218114057	0.11189351783045257	0.9898451218114181	0.1104953541250868	1.1296614923479942	0.11112730891998475	1.0664660128582	0.0772081126728902	4.458385637567655	0.121658	0.013396904856674552
11	s__Corynebacterium pseudotuberculosis	0.11764132751111928	0.13219586934413083	1.4554541833011552	0.13219586934413066	1.4554541833011387	0.16765467005495527	5.0013342543835995	0.1583900021606459	4.0748674649526615	0.0839207613145693	3.3720566196549977	0.142468	2.4826672488880734
11	s__Corynebacterium simulans	0.014328466946890207	0.012468981406864022	0.18594855400261845	0.012468981406864074	0.18594855400261323	0.014632592281699575	0.03041253348093683	0.01409484323943484	0.023362370745536737	0.025773652048443587	1.1445185101553381	0.011642999999999999	0.26854669468902076
11	s__Corynebacterium stationis	0.007164233473445103	0.0076626600596355135	0.04984265861904102	0.0076626600596355	0.04984265861903963	0.008122325272433163	0.09580917989880591	0.0080254006901124	0.08611672166672965	0.020204599774908166	1.3040366301463062	0.007463	0.02987665265548967
11	s__Corynebacterium ulcerans	0.003748700437278976	0.009503552198665317	0.5754851761386341	0.009503552198665355	0.5754851761386379	0.006051843237324743	0.23031428000457668	0.006792017487997001	0.30433170507180257	0.022501084711017652	1.8752384273738674	0.0025169999999999997	0.12317004372789761
11	s__Corynebacterium uterequi	0.007164233473445103	0.007529039533781613	0.03648060603365097	0.007529039533781671	0.036480606033656784	0.009628904965620395	0.24646714921752916	0.009077768884642914	0.19135354111978112	0.02002766236354881	1.2863428890103707	0.007451	0.028676652655489684
11	s__Corynebacterium variabile	0.07082218502536579	0.07484142030465954	0.4019235279293751	0.0748414203046594	0.4019235279293612	0.0661050081372761	0.47171768880896886	0.06836327021930563	0.24589148060601557	0.06314391174945709	0.7678273275908698	0.072034	0.12118149746342122
11	s__Faucicola osloensis	0.010746350210167654	0.01167829701739952	0.0931946807231866	0.01167829701739957	0.09319468072319162	0.007447018515998781	0.32993316941688733	0.008354938479207591	0.2391411730960063	0.024943088679144715	1.4196738468977061	0.011053	0.03066497898323462
11	s__Janibacter indicus	0.0035821167367225517	0.0037193503486996067	0.013723361197705503	0.003719350348699694	0.01372336119771422	0.002121150657051462	0.14609660796710897	0.0024471295490029158	0.11349871877196359	0.014076478360975775	1.0494361624253223	0.003713	0.01308832632774485
11	s__Methylobacterium radiotolerans	0.0008274059127611169	0.0009091743946322016	0.008176848187108466	0.000909174394632284	0.008176848187116706	0.0007963907207659376	0.0031015191995179318	0.0008253116856155816	0.0002094227145535356	0.006959596651393463	0.6132190738632346	0.000844	0.0016594087238883093
11	s__Methylobacterium thiocyanatum	0.0027547108239614347	0.002953327540326205	0.019861671636477042	0.002953327540326252	0.019861671636481726	0.0016590243750262627	0.1095686448935172	0.0019212285464737364	0.08334822774876983	0.012543429121146487	0.9788718297185053	0.002878	0.012328917603856519
11	s__Moraxella bovoculi	0.06447810126100592	0.14051219663969236	7.603409537868644	0.14051219663969217	7.603409537868624	0.12046501434959436	5.598691308858844	0.12551214747403172	6.10340462130258	0.08652019389790547	2.204209263689955	0.068833	0.4354898738994084
11	s__Moraxella catarrhalis	0.021492700420335308	0.02258046450579244	0.10877640854571324	0.022580464505792486	0.10877640854571775	0.024079959064024613	0.2587258643689305	0.023756725416584926	0.22640249962496173	0.0346838187683538	1.3191118348018493	0.020813	0.06797004203353066
11	s__Moraxella ovis	0.20834610238901816	0.13680980620110825	7.1536296187909905	0.13680980620110805	7.15362961879101	0.1283194259923836	8.002667639663455	0.13072545589042295	7.7620646498595205	0.08537271369159077	12.297338869742738	0.185688	2.2658102389018167
11	s__Nakamurella multipartita	0.0035821167367225517	0.004014722704528207	0.0432605967805655	0.004014722704528298	0.04326059678057461	0.004756025045292121	0.11739083085695697	0.004570445559027745	0.09883288223051936	0.014624743219359863	1.1042626482637312	0.0037099999999999998	0.01278832632774481
11	s__Pseudomonas aeruginosa	0.0035821167367225517	0.0039483412590794065	0.036622452235685485	0.003948341259079402	0.036622452235685055	0.0032128224992787058	0.036929423744384585	0.0033914098083325907	0.019070692838996095	0.014503332830531832	1.092121609380928	0.0036420000000000003	0.005988326327744861
11	s__Rhizorhabdus wittichii	5.282413547988994e-05	0.0	0.005282413547988994	0.0	0.005282413547988994	0.0	0.005282413547988994	0.0	0.005282413547988994	0.0	0.005282413547988994	8.3e-05	0.0030175864520110055
11	s__Sphingomonas panacis	0.003529292601243736	0.0037267239603186067	0.01974313590748706	0.003726723960318606	0.019743135907486976	0.004299577773795035	0.07702851725512987	0.004159227876818811	0.06299352755750748	0.014090424760543088	1.0561132159299351	0.003693	0.016370739875626403
11	s__Staphylococcus aureus	0.2149944617979613	0.18944213122246065	2.555233057550066	0.18944213122246037	2.555233057550094	0.20725671242314564	0.7737749374815667	0.2031712012593937	1.182326053856761	0.10046129170261507	11.453317009534624	0.2113	0.3694461797961318
11	s__Staphylococcus epidermidis	0.0035821167367225517	0.004208355881808008	0.06262391450854565	0.004208355881808041	0.06262391450854894	0.005549217894385917	0.19671011576633657	0.005191746756701153	0.16096300199786012	0.014973271588041638	1.1391154851319085	0.003634	0.005188326327744842
11	s__Staphylococcus equorum	0.007164233473445103	0.008086947966244014	0.09227144927989109	0.00808694796624409	0.09227144927989872	0.00705043306185213	0.011380041159297308	0.00731508807374713	0.015085460030202658	0.020756436579262304	1.3592203105817202	0.007456000000000001	0.02917665265548975
11	s__Staphylococcus lugdunensis	0.010678892615573051	0.011873145892642422	0.11942532770693702	0.011873145892642427	0.11942532770693753	0.01408048860524456	0.3401595989671508	0.013527461205813635	0.28485685902405833	0.025150311859038068	1.4471419243465016	0.011075	0.03961073844269483
11	s__Staphylococcus warneri	0.014328466946890207	0.013402221980547224	0.09262449663429828	0.01340222198054725	0.09262449663429567	0.013831039987617198	0.04974269592730087	0.013757733147460803	0.057073379942940324	0.026720764280480196	1.239229733358999	0.012397	0.19314669468902065
