method	panel	sample_count	mean_L1_delta_pp	max_worse_L1_delta_pp	improved_samples	worsened_samples	mean_Pearson_delta
genus_raw_breadth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.25749756011961744	0.12045204097146822	17	7	0.00039213232446528207
genus_raw_breadth_a0.05	hmp_gastrooral_gtdb_source_abundance	2	0.11516143620320296	0.21015495007104334	0	2	-0.000848865646750574
genus_raw_breadth_a0.1	cami2_toy_mouse_gut	3	-0.1425829027349884	0.07547183749815911	2	1	-3.3987198535682474e-05
genus_raw_breadth_a0.1	cami3_toy_human_gut_gtdb_source_readmap	3	-0.28261054247480405	-0.0010756959288613643	3	0	-0.000164800825272556
genus_raw_breadth_a0.1	hmp_airskin_gtdb_source_abundance	24	-0.43978393821887396	0.27901978331227895	16	8	0.0007318664872318636
genus_raw_breadth_a0.1	hmp_gastrooral_gtdb_source_abundance	2	0.23195742174955125	0.4203099001420867	0	2	-0.0017408347497867016
genus_raw_breadth_a0.25	cami2_toy_mouse_gut	3	-0.14277512243253435	0.28195777823930257	2	1	-0.00012823482313747045
genus_raw_breadth_a0.25	cami3_toy_human_gut_gtdb_source_readmap	3	-0.6398236458664949	-0.002527370775553095	3	0	-0.0007804822278725254
genus_raw_breadth_a0.25	hmp_airskin_gtdb_source_abundance	24	-0.8040855537334801	0.754723010334736	15	9	0.0014490374826296958
genus_raw_breadth_a0.25	hmp_gastrooral_gtdb_source_abundance	2	0.5831041256552965	1.050774750355174	0	2	-0.004671128245961165
genus_raw_hit_breadth_a0.005	cami2_toy_mouse_gut	3	-0.04774777438656604	-0.007648502669558965	3	0	6.157279316654218e-05
genus_raw_hit_breadth_a0.005	cami3_toy_human_gut_gtdb_source_readmap	3	-0.02004330490968916	0.010178540838850836	2	1	-2.8130908076666e-05
genus_raw_hit_breadth_a0.005	hmp_airskin_gtdb_source_abundance	24	-0.09652966696722294	-0.010407939483153328	24	0	9.542443378376027e-05
genus_raw_hit_breadth_a0.005	hmp_gastrooral_gtdb_source_abundance	2	-0.04348740850891364	-0.02706274008958509	2	0	0.0002726122557007993
genus_raw_hit_breadth_a0.01	cami2_toy_mouse_gut	3	-0.09549554877313031	-0.015297005339107272	3	0	0.00012272031127695074
genus_raw_hit_breadth_a0.01	cami3_toy_human_gut_gtdb_source_readmap	3	-0.04008660981934516	0.020357081677801148	2	1	-5.727508106874909e-05
genus_raw_hit_breadth_a0.01	hmp_airskin_gtdb_source_abundance	24	-0.19236900182262684	-0.02081587896631021	24	0	0.00018881261126901805
genus_raw_hit_breadth_a0.01	hmp_gastrooral_gtdb_source_abundance	2	-0.07284464951533032	-0.025865145174176263	2	0	0.0005424895421665688
genus_raw_hit_breadth_a0.02	cami2_toy_mouse_gut	3	-0.18792068131483486	-0.030594010678210104	3	0	0.00024374309890684565
genus_raw_hit_breadth_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.0789439035760869	0.040714163355616506	2	1	-0.00011858777373948322
genus_raw_hit_breadth_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.38130643420948446	-0.041631757932625746	24	0	0.0003695429344884223
genus_raw_hit_breadth_a0.02	hmp_gastrooral_gtdb_source_abundance	2	-0.1260231385031103	-0.012397969293266087	2	0	0.0010741127392828176
genus_raw_hit_breadth_a0.05	cami2_toy_mouse_gut	3	-0.40064132001935143	-0.07648502669552482	3	0	0.000596697745647449
genus_raw_hit_breadth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.18362965328743522	0.10178731305437339	2	1	-0.00032644425696267315
genus_raw_hit_breadth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.9167517501337974	0.11253323818331573	23	1	0.0008644821256592236
genus_raw_hit_breadth_a0.05	hmp_gastrooral_gtdb_source_abundance	2	-0.2803051823529703	0.03851040457645283	1	1	0.002605239640227186
genus_raw_hit_breadth_a0.1	cami2_toy_mouse_gut	3	-0.6506025402526484	-0.13643392651924202	3	0	0.0011516701815477888
genus_raw_hit_breadth_a0.1	cami3_toy_human_gut_gtdb_source_readmap	3	-0.34027641656991864	0.20360353322475078	2	1	-0.0007507793541893237
genus_raw_hit_breadth_a0.1	hmp_airskin_gtdb_source_abundance	24	-1.6880380478322585	0.4929587651093055	23	1	0.0015391492028014552
genus_raw_hit_breadth_a0.1	hmp_gastrooral_gtdb_source_abundance	2	-0.5374419221027438	0.12335769435929933	1	1	0.004953167319306617
genus_raw_hit_breadth_a0.25	cami2_toy_mouse_gut	3	-0.7920009533536536	-0.05229236493282308	3	0	0.0025750580896904593
genus_raw_hit_breadth_a0.25	cami3_toy_human_gut_gtdb_source_readmap	3	-0.5168503614549257	0.5427384358332574	2	1	-0.0025743236849737152
genus_raw_hit_breadth_a0.25	hmp_airskin_gtdb_source_abundance	24	-2.609850270927588	2.0030021274163055	22	2	0.002567094184042435
genus_raw_hit_breadth_a0.25	hmp_gastrooral_gtdb_source_abundance	2	-1.171878420099314	0.6518470062133961	1	1	0.010620917276736253
genus_raw_mean_breadth_a0.005	cami2_toy_mouse_gut	3	-0.04671965613696324	-0.008309155738753127	3	0	5.324743070589388e-05
genus_raw_mean_breadth_a0.005	cami3_toy_human_gut_gtdb_source_readmap	3	-0.020095170788820838	0.007823096213641634	2	1	-4.067073180495188e-05
genus_raw_mean_breadth_a0.005	hmp_airskin_gtdb_source_abundance	24	-0.10211395392819304	0.016435544805961655	23	1	0.00010304005304796748
genus_raw_mean_breadth_a0.005	hmp_gastrooral_gtdb_source_abundance	2	-0.03379192790031116	-0.029087471440776724	2	0	0.00015338218879240584
genus_raw_mean_breadth_a0.01	cami2_toy_mouse_gut	3	-0.09343931227391196	-0.016618311477496484	3	0	0.00010614653818160254
genus_raw_mean_breadth_a0.01	cami3_toy_human_gut_gtdb_source_readmap	3	-0.04019034157764404	0.015646192427283268	2	1	-8.292696028337303e-05
genus_raw_mean_breadth_a0.01	hmp_airskin_gtdb_source_abundance	24	-0.2030461912033459	0.03287108961198015	23	1	0.00020319711081551636
genus_raw_mean_breadth_a0.01	hmp_gastrooral_gtdb_source_abundance	2	-0.053639233732106106	-0.030285698744492606	2	0	0.00030463936895952504
genus_raw_mean_breadth_a0.02	cami2_toy_mouse_gut	3	-0.18433562759729494	-0.03323662295499741	3	0	0.00021090281682845102
genus_raw_mean_breadth_a0.02	cami3_toy_human_gut_gtdb_source_readmap	3	-0.0803806831552573	0.03129238485462338	2	1	-0.00017217133054366526
genus_raw_mean_breadth_a0.02	hmp_airskin_gtdb_source_abundance	24	-0.3974286366689774	0.06574217922396741	23	1	0.00039496276150162896
genus_raw_mean_breadth_a0.02	hmp_gastrooral_gtdb_source_abundance	2	-0.0877830557278445	-0.02158057401627822	2	0	0.0006008362340931273
genus_raw_mean_breadth_a0.05	cami2_toy_mouse_gut	3	-0.3955095765694783	-0.08140317407860564	3	0	0.0005168906305797286
genus_raw_mean_breadth_a0.05	cami3_toy_human_gut_gtdb_source_readmap	3	-0.19249625558496555	0.07823367405842419	2	1	-0.00047731932349311573
genus_raw_mean_breadth_a0.05	hmp_airskin_gtdb_source_abundance	24	-0.9345525595125755	0.1643554480599292	22	2	0.0009036781337166169
