rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	switched_samples	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
two_feature_and	s_xny_median	<=	922.05	blend_perturb_max_frac	>=	0.001848269724903565	32	25	-0.8033027239305233	0.2204793383230292	23	2	-0.5047576383388508	-0.16267829467420525	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	blend_perturb_max_frac	>=	0.001848269724903565	32	25	-0.8033027239305233	0.2204793383230292	23	2	-0.5047576383388508	-0.16267829467420525	4	0
two_feature_and	xny_max_median	<=	922.05	blend_perturb_max_frac	>=	0.001848269724903565	32	25	-0.8033027239305233	0.2204793383230292	23	2	-0.5047576383388508	-0.16267829467420525	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	s_breadth_median	<=	0.6811482000000001	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	s_breadth_median	<=	0.6811482000000001	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	s_breadth_median	<=	0.6811482000000001	s_xny_mean	<=	783.8035164835164	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	s_breadth_median	<=	0.6811482000000001	s_depth_median	<=	3.0571624000000006	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	783.8035164835164	u_xny_median	<=	650.0500000000001	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	783.8035164835164	u_breadth_median	<=	0.65005	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	3.0571624000000006	u_xny_median	<=	650.0500000000001	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	3.0571624000000006	u_breadth_median	<=	0.65005	32	24	-0.8016951095658447	0.019184822225343	23	1	-0.5028228735966933	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	u_xny_median	<=	650.0500000000001	32	24	-0.799771645813047	0.0392577798145055	22	2	-0.47358366700693666	-0.15628335393242426	4	0
two_feature_and	base_mass_multi_genus_frac	>=	0.37501510201405147	u_breadth_median	<=	0.65005	32	24	-0.799771645813047	0.0392577798145055	22	2	-0.47358366700693666	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	blend_perturb_base_frac	>=	0.0069480424574381704	32	25	-0.7996797431716725	0.0392577798145055	23	2	-0.5021510847986359	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	probability_mean	<=	0.8826788705173912	32	25	-0.799661731010752	0.0392577798145055	22	3	-0.47354702873950494	-0.15628335393242426	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	probability_mean	<=	0.8826788705173912	32	25	-0.799661731010752	0.0392577798145055	22	3	-0.47354702873950494	-0.15628335393242426	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	blend_perturb_base_frac	>=	0.0069480424574381704	32	26	-0.7995698283693775	0.0392577798145055	23	3	-0.5021144465312043	-0.15628335393242426	4	0
two_feature_and	adjusted_base_row_frac	>=	0.44179566563467493	blend_perturb_max_frac	>=	0.001848269724903565	32	25	-0.7992179886557269	0.2204793383230292	22	3	-0.47479800790842785	-0.16267829467420525	4	0
two_feature_and	blend_perturb_row_frac	>=	0.44179566563467493	blend_perturb_max_frac	>=	0.001848269724903565	32	25	-0.7992179886557269	0.2204793383230292	22	3	-0.47479800790842785	-0.16267829467420525	4	0
two_feature_and	s_xny_mean	<=	783.8035164835164	blend_perturb_max_frac	>=	0.001848269724903565	32	22	-0.7987429681866541	0.0	22	0	-0.503237719757561	-0.16267829467420525	4	0
two_feature_and	s_xny_mean	<=	783.8035164835164	blend_perturb_max_frac	>=	0.002050987256114475	32	22	-0.7987429681866541	0.0	22	0	-0.503237719757561	-0.16267829467420525	4	0
two_feature_and	s_depth_median	<=	3.0571624000000006	blend_perturb_max_frac	>=	0.001848269724903565	32	22	-0.7987429681866541	0.0	22	0	-0.503237719757561	-0.16267829467420525	4	0
two_feature_and	s_depth_median	<=	3.0571624000000006	blend_perturb_max_frac	>=	0.002050987256114475	32	22	-0.7987429681866541	0.0	22	0	-0.503237719757561	-0.16267829467420525	4	0
single	s_xny_median	<=	922.05				32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
single	s_xny_mean	<=	848.9395833333334				32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
single	xny_max_median	<=	922.05				32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	s_xny_median	<=	922.05	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	s_xny_mean	<=	848.9395833333334	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	max_species_per_genus	>=	5.0	xny_max_median	<=	922.05	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	s_xny_mean	<=	848.9395833333334	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	xny_max_median	<=	922.05	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	candidate_added_rows	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	n_candidate_calls	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	candidate_call_frac	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	candidate_raw_mass	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	candidate_raw_frac	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	u_zip_median	<=	1.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_median	<=	922.05	probability_min	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	xny_max_median	<=	922.05	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	candidate_added_rows	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	n_candidate_calls	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	candidate_call_frac	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	candidate_raw_mass	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	candidate_raw_frac	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	u_zip_median	<=	1.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_xny_mean	<=	848.9395833333334	probability_min	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	candidate_added_rows	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	metadata_candidate_raw_mass_before	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	n_candidate_calls	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	candidate_call_frac	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	candidate_raw_mass	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	candidate_raw_frac	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	u_zip_median	<=	1.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	xny_max_median	<=	922.05	probability_min	>=	0.0	32	28	-0.7980816227906116	0.2615437606112749	24	4	-0.4716498221015737	-0.15628335393242426	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	blend_perturb_max_frac	>=	0.002050987256114475	32	23	-0.7975161625674508	0.0392577798145055	22	1	-0.50282878455116	-0.16267829467420525	4	0
two_feature_and	probability_mean	<=	0.8826788705173912	blend_perturb_max_frac	>=	0.002050987256114475	32	23	-0.7975161625674508	0.0392577798145055	22	1	-0.50282878455116	-0.16267829467420525	4	0
two_feature_and	s_depth_median	<=	5.294014250000002	base_mass_multi_genus_frac	>=	0.37501510201405147	32	26	-0.7972974072384571	0.2615437606112749	23	3	-0.4427903649120314	-0.15628335393242426	4	0
