panel	method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_delta_F1	min_delta_F1	worsened_samples	improved_samples	mean_official_L1_pp	mean_delta_official_L1_pp	max_worse_official_L1_pp	mean_official_Pearson	mean_delta_official_Pearson	current_panel_mean_F1	current_panel_pooled_F1	current_panel_L1_pp	current_panel_Pearson	delta_panel_mean_F1	delta_panel_pooled_F1	delta_panel_L1_pp	delta_panel_Pearson
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_realaf_lt_0.05	5,6,7	0.8927916126138998	0.8763250883392226	372	10	95	-0.00104714742597752	-0.00314144227793256	1	0	13.72275966249398	-0.045077460432575954	0.0	0.9879774356755392	8.27948901290417e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.001047147425977557	-0.0013219704843068225	-0.04507746043257832	8.279489012164021e-07
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_realaf_lt_0.1	5,6,7	0.8896103896103896	0.8723404255319147	369	10	98	-0.00422837042948776	-0.009477124183006502	2	0	13.72237343891441	-0.045463684012148065	0.01700112328218495	0.9879771476859961	5.399593581145723e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.00422837042948776	-0.005306633291614737	-0.045463684012148065	5.399593581145723e-07
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_realaf_lt_0.2	5,6,7	0.8820599037865087	0.8629320619785459	362	10	105	-0.011778856253368645	-0.01911487758945385	2	0	13.766509419968578	-0.0013277029579796817	0.217672173921585	0.9879788834961052	2.2757694672081996e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.011778856253368719	-0.014714996844983563	-0.0013277029579796817	2.2757694672081996e-06
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_realaf_lt_0.3	5,6,7	0.8820599037865087	0.8629320619785459	362	10	105	-0.011778856253368645	-0.01911487758945385	2	0	13.766509419968578	-0.0013277029579796817	0.217672173921585	0.9879788834961052	2.2757694672081996e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.011778856253368719	-0.014714996844983563	-0.0013277029579796817	2.2757694672081996e-06
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_xny_lt_100	5,6,7	0.8896103896103896	0.8723404255319147	369	10	98	-0.00422837042948776	-0.009477124183006502	2	0	13.72237343891441	-0.045463684012148065	0.01700112328218495	0.9879771476859961	5.399593581145723e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.00422837042948776	-0.005306633291614737	-0.045463684012148065	5.399593581145723e-07
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_xny_lt_200	5,6,7	0.8820599037865087	0.8629320619785459	362	10	105	-0.011778856253368645	-0.01911487758945385	2	0	13.766509419968578	-0.0013277029579796817	0.217672173921585	0.9879788834961052	2.2757694672081996e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.011778856253368719	-0.014714996844983563	-0.0013277029579796817	2.2757694672081996e-06
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_xny_lt_25	5,6,7	0.8927916126138998	0.8763250883392226	372	10	95	-0.00104714742597752	-0.00314144227793256	1	0	13.72275966249398	-0.045077460432575954	0.0	0.9879774356755392	8.27948901290417e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.001047147425977557	-0.0013219704843068225	-0.04507746043257832	8.279489012164021e-07
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_xny_lt_50	5,6,7	0.8927916126138998	0.8763250883392226	372	10	95	-0.00104714742597752	-0.00314144227793256	1	0	13.72275966249398	-0.045077460432575954	0.0	0.9879774356755392	8.27948901290417e-07	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.001047147425977557	-0.0013219704843068225	-0.04507746043257832	8.279489012164021e-07
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_xny_lt_500	5,6,7	0.8761106914485083	0.8574850299401197	358	10	109	-0.017728068591369033	-0.022839771443123436	3	0	13.939538385255622	0.1717012623290645	0.7326307232580582	0.9879755550454128	-1.0526812251517488e-06	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	-0.017728068591369106	-0.02016202888340979	0.1717012623290639	-1.0526812251887563e-06
cami2_toy_mouse_gut	drop_prob_lt_0.5_and_zipaf_lt_0.1	5,6,7	0.8938387600398774	0.8776470588235294	373	10	94	0.0	0.0	0	0	13.767837122926558	0.0	0.0	0.987976607726638	0.0	0.8938387600398774	0.8776470588235294	13.767837122926558	0.987976607726638	0.0	0.0	0.0	0.0
