panel	method	samples	sample_count	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_official_L1_pp	mean_Pearson_union	mean_added_mass_before_norm
cami3_toy_human_gut_gtdb_source_readmap	xny_share_alpha2_cap0.02	0,1,2	3	251	62	45	0.8243021346469621	58.221582024527265	0.851170413977989	0.03333333333333333
cami3_toy_human_gut_gtdb_source_readmap	xny_share_alpha2_cap0.05	0,1,2	3	251	62	45	0.8243021346469621	53.40987094551725	0.878625149211803	0.08333333333333333
cami3_toy_human_gut_gtdb_source_readmap	xny_share_alpha5	0,1,2	3	251	62	45	0.8243021346469621	147.35588522272107	0.3478331768851244	5.0
cami3_toy_human_gut_gtdb_source_readmap	xny_share_cap0.001	0,1,2	3	251	62	45	0.8243021346469621	62.482947466123164	0.8254358333480352	0.0016666666666666668
cami3_toy_human_gut_gtdb_source_readmap	xny_share_cap0.003	0,1,2	3	251	62	45	0.8243021346469621	62.018997833117254	0.8284295003175458	0.005
cami3_toy_human_gut_gtdb_source_readmap	xny_share_cap0.005	0,1,2	3	251	62	45	0.8243021346469621	61.559175131709	0.831358548447145	0.008333333333333333
cami3_toy_human_gut_gtdb_source_readmap	xny_share_cap0.01	0,1,2	3	251	62	45	0.8243021346469621	60.42424809041899	0.8383917268615155	0.016666666666666666
cami3_toy_human_gut_gtdb_source_readmap	xny_share_cap0.02	0,1,2	3	251	62	45	0.8243021346469621	58.221582024527265	0.851170413977989	0.03333333333333333
cami3_toy_human_gut_gtdb_source_readmap	xny_share_cap0.05	0,1,2	3	251	62	45	0.8243021346469621	53.40987094551725	0.878625149211803	0.08333333333333333
cami3_toy_human_gut_gtdb_source_readmap	zero_mass	0,1,2	3	251	62	45	0.8243021346469621	62.73202903342466	0.8239151096773086	0.0
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.535363444577442	0.9809292694583854	4.6631250000000005e-05
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.1	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.53220157484721	0.9809343932403761	9.326250000000001e-05
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.523994953181585	0.9809460928028882	0.00021871874999999997
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.25_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.52272296786157	0.9809493859102082	0.00023315625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.507122738500602	0.9809731085228495	0.0004663125
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.515573890926458	0.980955613002965	0.00037035416666666667
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.507122738500602	0.9809731085228495	0.0004663125
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.507122738500602	0.9809731085228495	0.0004663125
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.507122738500602	0.9809731085228495	0.0004663125
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.507122738500602	0.9809731085228495	0.0004663125
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.507122738500602	0.9809731085228495	0.0004663125
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.476207975964428	0.9810157880454007	0.000932625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha10	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.978832146302775	0.9806608971396417	0.00932625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51245483113213	0.9809602224161548	0.00046991666666666666
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.484727939584605	0.9809959950968071	0.0008332083333333334
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.477583567443435	0.9810127417293719	0.0009165416666666666
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.476207975964428	0.9810157880454007	0.000932625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.476207975964428	0.9810157880454007	0.000932625
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.476207975964428	0.9810157880454007	0.000932625
