panel	sample	status	TP_delta	FP_delta	FN_delta	F1_delta	official_L1_delta_pp	official_Pearson_delta	method
hmp_airskin_gtdb_source_abundance	28	compared	0	0	0	0.0	-0.30770192337683255	0.0008352324561241575	genus_xny_a0.10
hmp_gastrooral_gtdb_source_abundance	0	compared	0	0	0	0.0	0.09307184779481581	-0.0003554096090602199	genus_xny_a0.10
hmp_gastrooral_gtdb_source_abundance	6	compared	0	0	0	-1.1102230246251565e-16	-0.24557222860852335	0.0020018958576517587	genus_xny_a0.10
cami2_toy_mouse_gut	5	compared	0	0	0	0.0	-0.36543463848051694	0.0001044888550457701	genus_xny_a0.15
cami2_toy_mouse_gut	6	compared	0	0	0	0.0	-0.11503042101273309	-0.00024030034771715947	genus_xny_a0.15
cami2_toy_mouse_gut	7	compared	0	0	0	1.1102230246251565e-16	-0.00853702342732987	-9.332439501852363e-05	genus_xny_a0.15
cami3_toy_human_gut_gtdb_source_readmap	0	compared	0	0	0	0.0	-0.14143066171014596	0.00040029058591561917	genus_xny_a0.15
cami3_toy_human_gut_gtdb_source_readmap	1	compared	0	0	0	0.0	-0.10699055019834702	0.0005106871472675412	genus_xny_a0.15
cami3_toy_human_gut_gtdb_source_readmap	2	compared	0	0	0	0.0	-0.8432466222676283	0.0005101446109757601	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	0	compared	0	0	0	0.0	-0.9124417547953705	0.0020178372655587085	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	1	compared	0	0	0	0.0	-0.44637482324198174	0.00014916016309940439	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	3	compared	0	0	0	1.1102230246251565e-16	-0.2770470992871914	2.467535715366953e-05	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	4	compared	0	0	0	0.0	-0.7825269858042603	0.00032893036149939103	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	5	compared	0	0	0	0.0	-0.06969967452177528	-2.197295969197377e-05	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	6	compared	0	0	0	1.1102230246251565e-16	0.5808056704830982	-0.0025397707441412454	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	7	compared	0	0	0	0.0	-1.1798189223014717	0.000495484091822429	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	9	compared	0	0	0	1.1102230246251565e-16	-2.2098197059855345	0.0016813973739921995	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	10	compared	0	0	0	-1.1102230246251565e-16	-0.14124870245712984	-0.00017920056848763632	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	11	compared	0	0	0	-1.1102230246251565e-16	0.0215433688991169	0.001050047748141436	genus_xny_a0.15
hmp_airskin_gtdb_source_abundance	13	compared	0	0	0	0.0	-0.9012262830796516	0.003248260353760357	genus_xny_a0.15
