panel	sample	method	F1	official_L1_pp	official_Pearson	truth_mass_detected_pct	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	abundance_feature_allocator_switch	abundance_feature_allocator_applied	abundance_feature_allocator_guard_passed	abundance_feature_allocator_method	abundance_feature_allocator_alpha	abundance_feature_allocator_target	abundance_feature_allocator_guard_feature	abundance_feature_allocator_guard_threshold	abundance_feature_allocator_base_mass_multi_genus_frac	abundance_feature_allocator_adjusted_rows_n	abundance_feature_allocator_rule	delta_L1_pp	delta_Pearson
hmp_airskin_gtdb_source_abundance	7	wrapper_guarded_genus_hit_breadth_a002	0.8414634146341463	26.706932507585663	0.9881143615403013	99.27471781448712	22.00153074942936	0.7252821855128652	3.980119572643421	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9672559240789718	66.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.9024671796629526	0.0005600832724995675
hmp_airskin_gtdb_source_abundance	9	current_selected_abundance	0.9292929292929293	31.526930250245535	0.9866666556242832	99.9291442182978	22.615939364749867	0.07085578170228189	8.840135103793381												0.0	0.0
hmp_airskin_gtdb_source_abundance	9	wrapper_guarded_genus_hit_breadth_a002	0.9292929292929293	30.547026674170613	0.9875022565513235	99.9291442182978	21.79808699996262	0.07085578170228189	8.67808389250572	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9607358824925907	68.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.9799035760749213	0.0008356009270402698
hmp_airskin_gtdb_source_abundance	10	current_selected_abundance	0.9130434782608695	20.72920835915743	0.9889496865549151	98.25010636241484	16.253928579088832	1.7498936375851832	2.7253861424834174												0.0	0.0
hmp_airskin_gtdb_source_abundance	10	wrapper_guarded_genus_hit_breadth_a002	0.9130434782608695	20.206809982083858	0.9893328085646688	98.25010636241484	15.77660824637133	1.7498936375851832	2.680308098127356	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.7283247274314621	48.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.5223983770735714	0.00038312200975365585
hmp_airskin_gtdb_source_abundance	11	current_selected_abundance	0.9846153846153847	22.34574875063917	0.9390039844436852	99.99471758645197	22.340466337091186	0.005282413547989002	0.0												0.0	0.0
hmp_airskin_gtdb_source_abundance	11	wrapper_guarded_genus_hit_breadth_a002	0.9846153846153847	22.27561171781303	0.9389637625042883	99.99471758645197	22.27032930426504	0.005282413547989002	0.0	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9465605495406406	20.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.07013703282613903	-4.022193939690055e-05
hmp_airskin_gtdb_source_abundance	13	current_selected_abundance	0.925	54.747984044476524	0.9105244185423927	99.97753483086265	54.169833689375125	0.02246516913736668	0.5556851859640487												0.0	0.0
hmp_airskin_gtdb_source_abundance	13	wrapper_guarded_genus_hit_breadth_a002	0.925	54.572251905738725	0.9114327767598327	99.97753483086265	54.00322695602504	0.02246516913736668	0.54655978057632	guarded-genus-hit-breadth-a002	True	True	genus_raw_hit_breadth_a0.02	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac	0.37501510201405147	0.9723627662797747	32.0	if base_mass_multi_genus_frac>=0.375015 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved	-0.17573213873779991	0.0009083582174399529
hmp_airskin_gtdb_source_abundance	14	current_selected_abundance	0.8999999999999999	14.247572698891528	0.9988928181803317	99.27007299270075	10.07466724152293	0.7299270072992409	3.44297845006936												0.0	0.0
