sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called
6	minco_raw_p1.25_genus_realloc_xny	16	16	15	1	1	0.9375	0.9375	0.9375	30.14823408829447	20.554058447212263	0.9239808457236004	0.9670941609570283	
6	minco_raw_p1.5_genus_realloc_mutdiff_light	16	16	15	1	1	0.9375	0.9375	0.9375	31.455584663031477	21.56328822557238	0.9404849352522352	0.9831895387252563	
6	minco_raw_p1.5_genus_realloc_mutdiff_strong	16	16	15	1	1	0.9375	0.9375	0.9375	31.260702003910403	21.88847046172207	0.9380309734824731	0.9767807931096255	
6	minco_raw_p1.5_genus_realloc_xny	16	16	15	1	1	0.9375	0.9375	0.9375	31.661585212948683	22.65234625665809	0.9388722639059396	0.9745281992758559	
6	minco_split_mean_over_zip_p0.25	16	16	15	1	1	0.9375	0.9375	0.9375	33.488138642932896	23.80678687399428	0.887050805127407	0.9351939570231721	
6	minco_unique_mean_over_zip_p0.25	16	16	15	1	1	0.9375	0.9375	0.9375	57.54255708312391	49.89565619651769	0.8666275748384207	0.9016144455883007	
6	minco_current_raw_power_p0.25	16	16	15	1	1	0.9375	0.9375	0.9375	82.39858791491899	73.92583855363164	0.7389410135193639	0.8175756815453239	
6	minco_split_mean_over_zip_p0.5	16	16	15	1	1	0.9375	0.9375	0.9375	29.941459640665897	19.81104064495222	0.8998091727846277	0.9534002037045474	
6	minco_unique_mean_over_zip_p0.5	16	16	15	1	1	0.9375	0.9375	0.9375	51.481035150067235	44.414064701751684	0.9152373217413855	0.9423285961311062	
6	minco_current_raw_power_p0.5	16	16	15	1	1	0.9375	0.9375	0.9375	58.07939137191788	48.00021479287785	0.8427160295420225	0.9248478348925062	
6	minco_split_mean_over_zip_p0.75	16	16	15	1	1	0.9375	0.9375	0.9375	26.50703331137668	15.932398178419993	0.9080339600447783	0.9668737194388636	
6	minco_unique_mean_over_zip_p0.75	16	16	15	1	1	0.9375	0.9375	0.9375	45.37631851521883	38.89904948539842	0.9425602950735253	0.9629872063057222	
6	minco_current_raw_power_p0.75	16	16	15	1	1	0.9375	0.9375	0.9375	37.60811610599481	26.72249959506814	0.8861091054599863	0.960297422161752	
6	minco_split_mean_over_zip_p1	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468812	12.20296260146406	0.9122239933982668	0.9760025717718571	
6	minco_unique_mean_over_zip_p1	16	16	15	1	1	0.9375	0.9375	0.9375	39.19128347095011	33.305029121400565	0.9524951815803722	0.9677175464926748	
6	minco_current_raw_power_p1	16	16	15	1	1	0.9375	0.9375	0.9375	23.215391722468816	12.20296260146406	0.9122239933982668	0.9760025717718571	
6	minco_split_mean_over_zip_p1.25	16	16	15	1	1	0.9375	0.9375	0.9375	23.974460880295	12.532076300287018	0.9130155258312124	0.981347386506487	
6	minco_unique_mean_over_zip_p1.25	16	16	15	1	1	0.9375	0.9375	0.9375	36.28890421146664	30.98612801274759	0.9500878674453104	0.9614025024407233	
6	minco_current_raw_power_p1.25	16	16	15	1	1	0.9375	0.9375	0.9375	27.80976938762428	17.133039533334475	0.9293350881261252	0.9827332283161724	
6	minco_split_mean_over_zip_p1.5	16	16	15	1	1	0.9375	0.9375	0.9375	26.273831877931354	14.410579482881225	0.9110914162293935	0.9835518303801383	
6	minco_unique_mean_over_zip_p1.5	16	16	15	1	1	0.9375	0.9375	0.9375	35.94112071011318	31.205590502882824	0.9398293477771559	0.9482366260642052	
6	minco_current_raw_power_p1.5	16	16	15	1	1	0.9375	0.9375	0.9375	31.508816382541372	21.440953960298874	0.940565166943229	0.9846129832671017	
6	sylph_r232_taxonomic_abundance	16	18	16	2	0	0.8888888888888888	1.0	0.9411764705882353	3.403013495520682	1.8897104689146282	0.9989848198040682	0.9996990497657613	18.0
11	minco_current_calibrated_abundance	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750638947	22.345748750638947	0.9390039844436856	0.9390039844436856	
11	minco_current_calibrated_raw	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.345748750639043	22.345748750639043	0.9390039844436855	0.9390039844436855	
11	minco_split_mean_depth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	24.888778376390164	24.888778376390164	0.9363650635890058	0.9363650635890058	
11	minco_unique_mean_depth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	63.63133899381942	63.63133899381942	0.7616877731850425	0.7616877731850425	
11	minco_split_hit_mean_x_breadth	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	25.429528279087343	25.429528279087343	0.9361928436531671	0.9361928436531671	
