panel	method	samples	sample_count	pooled_F1	mean_F1	mean_L1_union_pp	mean_Pearson_union	TP	FP	FN	rescued_TP	rescued_FP
cami2_toy_mouse_gut	raw_ani0.97_xny100_breadth0.10	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny100_breadth0.20	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny100_breadth0.30	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny100_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny250_breadth0.05	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny250_breadth0.10	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny250_breadth0.20	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny250_breadth0.30	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny250_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny500_breadth0.05	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny500_breadth0.10	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny500_breadth0.20	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny500_breadth0.30	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny500_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny650_breadth0.05	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny650_breadth0.10	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny650_breadth0.20	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny650_breadth0.30	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_ani0.97_xny650_breadth0.50	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami2_toy_mouse_gut	raw_default_major	5,6,7	3	0.8776470588235294	0.8938387600398774	15.339987166975106	0.9875965696706616	373	10	94	0	0
cami3_source_readmap_extension_after_recovery	current_default	3,4,5	3	0.69921875	0.6951404891573879	44.57919101805288	0.9184820824877019	179	41	113	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny100_breadth0.05	3,4,5	3	0.6967984934086628	0.6950377609195737	44.57919101805288	0.9186657757183513	185	54	107	6	13
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny100_breadth0.10	3,4,5	3	0.6967984934086628	0.6950377609195737	44.57919101805288	0.9186657757183513	185	54	107	6	13
cami3_source_readmap_extension_after_recovery	raw_ani0.93_xny100_breadth0.20	3,4,5	3	0.6943396226415095	0.692188987773292	44.57919101805288	0.9186657757183513	184	54	108	5	13
