panel	sample	truth_species	called_truth_species	FN	FN_truth_mass_pct	FN_candidate_visible	FN_candidate_absent	FN_candidate_visible_truth_mass_pct	high_truth_FN	high_truth_FN_mass_pct	high_truth_FN_candidate_visible	high_truth_FN_candidate_absent	high_truth_threshold_pct	candidate_rows	candidate_rows_mapped	called_rows	uncalled_candidate_rows	full_emitted_candidate_surface	profile_path
hmp_airskin_gtdb_source_abundance	19	111	104	7	1.840076494677512	0	7	0.0	0	0.0	0	0	1.0	147	147	147	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv
hmp_airskin_gtdb_source_abundance	20	79	76	3	3.7889349904753336	0	3	0.0	1	3.7875707151379676	0	1	1.0	106	106	106	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin20_20260627/minco_sample20_current_default.tsv
hmp_airskin_gtdb_source_abundance	21	34	33	1	0.0006512189938602438	0	1	0.0	0	0.0	0	0	1.0	41	41	41	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin21_20260627/minco_sample21_current_default.tsv
hmp_airskin_gtdb_source_abundance	22	21	19	2	0.00800526840008274	0	2	0.0	0	0.0	0	0	1.0	38	38	38	0	False	/tmp/minco_current_code_hmp_airskin22_20260627/minco_sample22_current_default.tsv
hmp_airskin_gtdb_source_abundance	23	33	31	2	7.328987148033696	0	2	0.0	2	7.328987148033696	0	2	1.0	36	36	36	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin23_20260627/minco_sample23_current_default.tsv
hmp_airskin_gtdb_source_abundance	24	29	25	4	1.8034951439967912	0	4	0.0	0	0.0	0	0	1.0	26	26	26	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv
hmp_airskin_gtdb_source_abundance	25	49	45	4	2.554027504911384	0	4	0.0	1	1.3752455795676723	0	1	1.0	76	76	76	0	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin25_20260627/minco_sample25_current_default.tsv
hmp_airskin_gtdb_source_abundance	28	12	12	0	0.0	0	0	0.0	0	0.0	0	0	1.0	30761	30761	15	30746	True	/tmp/minco_current_code_hmp_airskin28_20260627/minco_sample28_current_default.tsv
hmp_gastrooral_gtdb_source_abundance	0	34	32	2	8.61295176151669	0	2	0.0	1	8.611111111111212	0	1	1.0	34	34	34	0	False	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample0_current_default.tsv
hmp_gastrooral_gtdb_source_abundance	6	47	44	3	0.33992200222118835	0	3	0.0	0	0.0	0	0	1.0	51	51	51	0	False	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv
cami3_toy_human_gut_gtdb_source_readmap	0	93	78	15	22.961269931161144	12	3	22.959944513183807	4	21.63904500622424	4	0	1.0	18254	18254	94	18160	True	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv
cami3_toy_human_gut_gtdb_source_readmap	1	104	86	18	32.486201088034846	16	2	32.4844976829509	3	30.717602737189537	3	0	1.0	20059	20059	99	19960	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv
cami3_toy_human_gut_gtdb_source_readmap	2	99	82	17	7.302785229682119	7	10	6.824861950581168	1	6.817498937318965	1	0	1.0	18066	18066	115	17951	True	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv
