panel	sample	method	delta_F1	delta_L1_union_pp	delta_Pearson_union	TP_delta	FP_delta	FN_delta	rescued_species	rescued_TP	rescued_FP
hmp_airskin_gtdb_source_abundance	13	wrapper_accession-current-or-ani93-xny650-br20_zero	0.013271604938271508	0.0	-2.220446049250313e-16	1	0	-1	0	0	0
hmp_airskin_gtdb_source_abundance	13	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.013271604938271508	1.5278985419101119	-0.0009917456538618419	1	0	-1	0	0	0
hmp_airskin_gtdb_source_abundance	14	wrapper_accession-current-or-ani93-xny650-br20_zero	0.037931034482758585	-1.4210854715202004e-14	-1.1102230246251565e-16	2	0	-2	0	0	0
hmp_airskin_gtdb_source_abundance	14	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.037931034482758585	-0.5765952733694739	0.00025638782020931394	2	0	-2	0	0	0
hmp_airskin_gtdb_source_abundance	15	wrapper_accession-current-or-ani93-xny650-br20_zero	0.04528985507246386	0.0	0.0	2	0	-2	0	0	0
hmp_airskin_gtdb_source_abundance	15	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.04528985507246386	-0.30606715661517114	0.00011801379734444062	2	0	-2	0	0	0
hmp_airskin_gtdb_source_abundance	16	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	16	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	17	wrapper_accession-current-or-ani93-xny650-br20_zero	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	17	wrapper_accession-current-or-ani93-xny650-br20_normalized-depth-alpha2	0.0	0.0	0.0	0	0	0	0	0	0
hmp_airskin_gtdb_source_abundance	18	wrapper_accession-current-or-ani93-xny650-br20_zero	0.019566736547868557	1.0658141036401503e-14	0.0	1	0	-1	0	0	0
