method	panel	sample	source_profile	adjusted_profile	alpha	cap_sample_base_frac	called_rows	candidate_added_rows	eligible_base_rows	adjusted_base_rows	capped_genus_count	min_effective_alpha	base_raw_mass_before	base_raw_mass_after	candidate_raw_mass_before	candidate_raw_mass_after	called_raw_mass_before	called_raw_mass_after
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	20	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample20.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample20.genus_xny_a0.02.tsv	0.02		106	0	106	66	0	0.02	724.4890725705683	724.4890725705684	0.0	0.0	724.4890725705683	724.4890725705684
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	21	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample21.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample21.genus_xny_a0.02.tsv	0.02		41	0	41	29	0	0.02	391.7033044552195	391.7033044552195	0.0	0.0	391.7033044552195	391.7033044552195
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	22	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample22.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample22.genus_xny_a0.02.tsv	0.02		38	0	38	17	0	0.02	848.8703787107715	848.8703787107717	0.0	0.0	848.8703787107715	848.8703787107717
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	23	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample23.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample23.genus_xny_a0.02.tsv	0.02		36	0	36	26	0	0.02	464.9654682128142	464.96546821281424	0.0	0.0	464.9654682128142	464.96546821281424
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	24	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample24.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample24.genus_xny_a0.02.tsv	0.02		27	1	26	19	0	0.02	803.4474522446819	803.4474522446818	3.856547770774472	3.856547770774472	807.3040000154564	807.3040000154563
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	25	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample25.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample25.genus_xny_a0.02.tsv	0.02		77	1	76	44	0	0.02	648.1995145689457	648.1995145689458	1.527158056324436	1.527158056324436	649.7266726252701	649.7266726252702
genus_xny_a0.02	hmp_airskin_gtdb_source_abundance	28	/tmp/minco_candidate_preset_replay_20260629/hmp_airskin_gtdb_source_abundance.sample28.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_airskin_gtdb_source_abundance.sample28.genus_xny_a0.02.tsv	0.02		15	0	15	9	0	0.02	36.13808924085987	36.13808924085988	0.0	0.0	36.13808924085987	36.13808924085988
genus_xny_a0.02	hmp_gastrooral_gtdb_source_abundance	0	/tmp/minco_candidate_preset_replay_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_gastrooral_gtdb_source_abundance.sample0.genus_xny_a0.02.tsv	0.02		35	1	34	15	0	0.02	527.8164302688051	527.8164302688052	33.37172162017547	33.37172162017547	561.1881518889805	561.1881518889807
genus_xny_a0.02	hmp_gastrooral_gtdb_source_abundance	6	/tmp/minco_candidate_preset_replay_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.02/hmp_gastrooral_gtdb_source_abundance.sample6.genus_xny_a0.02.tsv	0.02		52	1	51	28	0	0.02	81.90196039061986	81.90196039061988	0.5867456442384007	0.5867456442384007	82.48870603485827	82.48870603485828
genus_xny_a0.05	cami2_toy_mouse_gut	5	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample5.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/cami2_toy_mouse_gut.sample5.genus_xny_a0.05.tsv	0.05		162	0	162	83	0	0.05	447.62143312003894	447.621433120039	0.0	0.0	447.62143312003894	447.621433120039
genus_xny_a0.05	cami2_toy_mouse_gut	6	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample6.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/cami2_toy_mouse_gut.sample6.genus_xny_a0.05.tsv	0.05		158	1	157	90	0	0.05	471.51613109747154	471.51613109747143	1.5003643291521545	1.5003643291521545	473.0164954266237	473.0164954266236
genus_xny_a0.05	cami2_toy_mouse_gut	7	/tmp/minco_candidate_preset_replay_20260629/toymouse_sample7.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/cami2_toy_mouse_gut.sample7.genus_xny_a0.05.tsv	0.05		64	0	64	29	0	0.05	809.105830481334	809.105830481334	0.0	0.0	809.105830481334	809.105830481334
genus_xny_a0.05	cami3_toy_human_gut_gtdb_source_readmap	0	/tmp/minco_candidate_preset_replay_20260629/cami3_sample0.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/cami3_toy_human_gut_gtdb_source_readmap.sample0.genus_xny_a0.05.tsv	0.05		96	2	94	33	0	0.05	836.1992031056135	836.1992031056135	37.869789510247024	37.869789510247024	874.0689926158605	874.0689926158606
genus_xny_a0.05	cami3_toy_human_gut_gtdb_source_readmap	1	/tmp/minco_candidate_preset_replay_20260629/cami3_sample1.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/cami3_toy_human_gut_gtdb_source_readmap.sample1.genus_xny_a0.05.tsv	0.05		101	2	99	37	0	0.05	696.5458701465375	696.5458701465376	32.50918885147921	32.50918885147921	729.0550589980166	729.0550589980168
genus_xny_a0.05	cami3_toy_human_gut_gtdb_source_readmap	2	/tmp/minco_candidate_preset_replay_20260629/cami3_sample2.candidate_preset.tsv	/tmp/minco_candidate_preset_genus_xny_alpha_sweep_20260629/genus_xny_a0.05/cami3_toy_human_gut_gtdb_source_readmap.sample2.genus_xny_a0.05.tsv	0.05		116	1	115	52	0	0.05	614.1982610081561	614.1982610081561	13.511133345657417	13.511133345657417	627.7093943538135	627.7093943538135
