panel	method	samples	mean_F1	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_official_L1_pp	mean_union_L1_pp	mean_truth_only_L1_pp	mean_official_Pearson	mean_truth_mass_detected_pct	mean_pred_mass_total_pct	mean_matched_abs_error_pp	mean_missing_truth_mass_pp	mean_extra_pred_mass_pp
hmp_airskin_gtdb_source_abundance	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8695844068735173	1032	307	63	0.8479868529170089	22.53852648257859	22.53852648257859	16.915586755726373	0.9809237855745335	98.70722989446968	100.0	15.622816650196057	1.2927701055303171	5.622939726852215
hmp_airskin_gtdb_source_abundance	oracle_current_tp_abundance_renorm	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8695844068735173	1032	307	63	0.8479868529170089	16.08553171995163	16.08553171995163	16.08553171995163	0.9877815520055121	98.70722989446968	100.0	14.792761614421314	1.2927701055303171	0.0
hmp_airskin_gtdb_source_abundance	oracle_fixed_calls_truth_mass	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8695844068735173	1032	307	63	0.8479868529170089	1.2927701055303171	1.2927701055303171	1.2927701055303171	0.999331256141644	98.70722989446968	98.70722989446968	0.0	1.2927701055303171	0.0
hmp_airskin_gtdb_source_abundance	oracle_fixed_calls_truth_renorm	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.8695844068735173	1032	307	63	0.8479868529170089	2.5855402110606405	2.5855402110606405	2.5855402110606405	0.9993312561416441	98.70722989446968	100.00000000000001	1.2927701055303233	1.2927701055303171	0.0
hmp_airskin_gtdb_source_abundance	sylph_gtdb_source_abundance	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	0.9609328477275184	1061	43	34	0.9649840836743975	5.356745059601379	5.356745059601379	4.6552574192225995	0.9979498059022434	99.65705923135795	100.0	4.312316650580527	0.34294076864207196	0.7014876403787792
hmp_gastrooral_gtdb_source_abundance	minco_current_raw_default_gastrooral_source_abundance	0,6	0.9195678271308523	76	9	5	0.9156626506024096	48.98699110632455	48.98699110632455	46.62558013379838	0.8822766995655476	95.52356311813107	100.0	42.14914325192944	4.476436881868939	2.361410972526176
hmp_gastrooral_gtdb_source_abundance	oracle_current_tp_abundance_renorm	0,6	0.9195678271308523	76	9	5	0.9156626506024096	47.45241767273536	47.45241767273536	47.45241767273536	0.8828286945264703	95.52356311813107	100.0	42.9759807908664	4.476436881868939	0.0
hmp_gastrooral_gtdb_source_abundance	oracle_fixed_calls_truth_mass	0,6	0.9195678271308523	76	9	5	0.9156626506024096	4.476436881868939	4.476436881868939	4.476436881868939	0.9862893048000199	95.52356311813107	95.52356311813107	0.0	4.476436881868939	0.0
hmp_gastrooral_gtdb_source_abundance	oracle_fixed_calls_truth_renorm	0,6	0.9195678271308523	76	9	5	0.9156626506024096	8.952873763737873	8.952873763737873	8.952873763737873	0.9862893048000203	95.52356311813107	100.00000000000001	4.476436881868936	4.476436881868939	0.0
hmp_gastrooral_gtdb_source_abundance	sylph_gtdb_r232_gastrooral_source_abundance	0,6	0.9552995391705069	78	4	3	0.9570552147239264	5.063129406373164	5.063129406373164	3.877027678419063	0.9991248095933805	99.99757495837572	100.0	3.8746026367947755	0.0024250416242874856	1.1861017279541004
