panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	union_L1_pp	truth_only_L1_pp	truth_mass_detected_pct	pred_mass_on_truth_pct	pred_mass_extra_pct	Pearson_truth_only	Pearson_union	truth_source	pred_source	prediction_rule
hmp_airskin_gtdb_source_abundance	3	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	47	47	45	2	2	0.9574468085106383	0.9574468085106383	0.9574468085106385	8.663260840362875	0.21782588458383687	3.789580264739139	12.670666989685852	8.881086724946712	99.78217411541614	96.21041973526084	3.789580264739139	0.9993927980330461	0.9970245468507751	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin3_20260627/minco_sample3_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	3	sylph_gtdb_source_abundance	47	46	46	0	1	1.0	0.9787234042553191	0.989247311827957	2.9614949192397106	0.0004345802360065404	0.0	2.9619294994757173	2.9619294994757173	99.99956541976398	99.99999999999999	0.0	0.9999263417258691	0.9999263417258691	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample3/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	4	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	106	137	102	35	4	0.7445255474452555	0.9622641509433962	0.8395061728395061	18.526521250982164	1.3346765320244482	8.865543139952738	28.726740922959348	19.861197783006613	98.66532346797554	91.13445686004728	8.865543139952738	0.9913715332528887	0.9883782682234047	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin4_20260627/minco_sample4_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	4	sylph_gtdb_source_abundance	106	108	104	4	2	0.9629629629629629	0.9811320754716981	0.9719626168224299	3.881661378917135	0.001286920670642366	0.7099992900007099	4.592947589588486	3.8829482995877767	99.99871307932935	99.29000070999932	0.7099992900007099	0.9998157947885604	0.9997707840387127	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample4/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	5	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	26	26	25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	8.085223253669252	1.4388489208633206	0.8136634300645512	10.337735604597125	9.524072174532574	98.56115107913668	99.18633656993543	0.8136634300645512	0.9984813848525257	0.9983818025644172	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/minco_current_code_hmp_airskin5_20260627/minco_sample5_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	5	sylph_gtdb_source_abundance	26	27	25	2	1	0.9259259259259259	0.9615384615384616	0.9433962264150944	2.939675117019014	1.4388489208633206	1.5868031736063473	5.965327211488682	4.378524037882334	98.56115107913668	98.41319682639364	1.5868031736063473	0.9989834528921162	0.9982783007541336	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample5/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	6	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	16	16	15	1	1	0.9375	0.9375	0.9375	10.316170148633907	1.886792452830171	11.012429121004756	23.21539172246883	12.202962601464076	98.11320754716985	88.98757087899523	11.012429121004756	0.9760025717718567	0.9122239933982665	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample6_current_exact.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	6	sylph_gtdb_source_abundance	16	18	16	2	0	0.8888888888888888	1.0	0.9411764705882353	1.889710468914646	0.0	1.5133030266060536	3.4030134955207	1.889710468914646	100.00000000000003	98.48669697339395	1.5133030266060536	0.9996990497657611	0.9989848198040682	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample6/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	7	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	75	89	69	20	6	0.7752808988764045	0.92	0.8414634146341463	22.843841979863015	0.7252821855128653	4.040275521872296	27.609399687248175	23.56912416537588	99.27471781448712	95.95972447812771	4.040275521872296	0.9880750272858687	0.9875542782678018	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	7	sylph_gtdb_source_abundance	75	77	73	4	2	0.948051948051948	0.9733333333333334	0.9605263157894737	4.740275129128991	0.10284141698451588	0.362601813009065	5.205718359122571	4.843116546113506	99.89715858301545	99.63739818699088	0.362601813009065	0.9994491106272495	0.9994444134687459	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample7/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	9	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	96	102	92	10	4	0.9019607843137255	0.9583333333333334	0.9292929292929293	22.61593936474945	0.0708557817022819	8.840135103793365	31.5269302502451	22.686795146451733	99.92914421829781	91.15986489620663	8.840135103793365	0.9927120918834786	0.9866666556242835	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin9_20260627/minco_sample9_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	9	sylph_gtdb_source_abundance	96	95	93	2	3	0.9789473684210527	0.96875	0.9738219895287958	7.526106721409331	0.06327741191868608	0.09779990220009781	7.687184035528115	7.589384133328017	99.93672258808138	99.90220009779992	0.09779990220009781	0.9980969824028046	0.9980983985941578	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample9/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	10	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	69	69	63	6	6	0.9130434782608695	0.9130434782608695	0.9130434782608695	16.253928579088637	1.7498936375851832	2.7253861424834	20.72920835915722	18.00382221667382	98.25010636241484	97.27461385751668	2.7253861424834	0.9899775618885672	0.9889496865549153	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin10_20260627/minco_sample10_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	10	sylph_gtdb_source_abundance	69	67	64	3	5	0.9552238805970149	0.927536231884058	0.9411764705882353	6.607562539691027	1.9642728335426771	2.6009026009026015	11.172737974136304	8.571835373233704	98.03572716645736	97.3990973990974	2.6009026009026015	0.9957695941224082	0.9931350210509233	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample10/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	11	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	33	32	32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.34046633709109	0.005282413547989002	0.0	22.34574875063908	22.34574875063908	99.99471758645198	99.99999999999999	0.0	0.9390039844436857	0.9390039844436857	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/minco_current_code_hmp_refresh_20260627/minco_sample11_current_exact.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	11	sylph_gtdb_source_abundance	33	33	33	0	0	1.0	1.0	1.0	6.864304715532985	0.0	0.0	6.864304715532985	6.864304715532985	99.99999999999997	100.0	0.0	0.9941596246642731	0.9941596246642731	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/tmp/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample11/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	13	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	40	40	37	3	3	0.925	0.925	0.925	54.16983368937501	0.02246516913736668	0.5556851859640412	54.74798404447642	54.19229885851238	99.97753483086265	99.44431481403598	0.5556851859640412	0.9100458154509377	0.9105244185423927	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin13_20260627/minco_sample13_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	13	sylph_gtdb_source_abundance	40	41	40	1	0	0.975609756097561	1.0	0.9876543209876543	8.299658693182161	0.0	0.0447000894001788	8.344358782582342	8.299658693182161	100.00000000000003	99.95529991059985	0.0447000894001788	0.9973977617370005	0.997402892612516	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample13/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	14	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	28	30	25	5	3	0.8333333333333334	0.8928571428571429	0.8620689655172413	8.437504591068336	2.9197080291968933	3.466955351995625	14.824167972260854	11.35721262026523	97.08029197080307	96.53304464800439	3.466955351995625	0.9989077132319847	0.9986364303601222	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin14_20260627/minco_sample14_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	14	sylph_gtdb_source_abundance	28	31	28	3	0	0.9032258064516129	1.0	0.9491525423728813	2.521965856744686	0.0	1.550898449101551	4.072864305846237	2.521965856744686	99.99999999999996	98.44910155089846	1.550898449101551	0.9999800542890702	0.9998420737423819	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample14/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	15	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	24	22	21	1	3	0.9545454545454546	0.875	0.9130434782608695	6.948509782447711	1.5786110808983413	0.36915901140426033	8.896279874750313	8.527120863346052	98.42138891910169	99.63084098859572	0.36915901140426033	0.9995287270609288	0.9995246530616625	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	15	sylph_gtdb_source_abundance	24	25	23	2	1	0.92	0.9583333333333334	0.9387755102040817	0.6482886588843285	0.02757563023261003	0.3026000000000001	0.9784642891169386	0.6758642891169385	99.97242436976744	99.6974	0.3026000000000001	0.9999918288894338	0.999984242699932	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample15/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	16	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	10	10	10	0	0	1.0	1.0	1.0	6.91458951469376	0.0	0.0	6.91458951469376	6.91458951469376	100.0	100.0	0.0	0.9998353757011105	0.9998353757011105	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin16_20260627/minco_sample16_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	16	sylph_gtdb_source_abundance	10	10	10	0	0	1.0	1.0	1.0	1.2885885172944354	0.0	0.0	1.2885885172944354	1.2885885172944354	100.0	100.0	0.0	0.9999595863424355	0.9999595863424355	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample16/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	17	minco_current_default_gtdb_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28	46	73	46	27	0	0.6301369863013698	1.0	0.773109243697479	17.668557178190873	0.0	8.85662346492196	26.525180643112833	17.668557178190873	100.00000000000003	91.14337653507802	8.85662346492196	0.996789006391613	0.9960095778891281	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin17_20260627/minco_sample17_current_default.tsv	official HMP MinCO mapping: best reference accession, fallback raw best ref; summed per GTDB species; renormalized
hmp_airskin_gtdb_source_abundance	17	sylph_gtdb_source_abundance	46	48	46	2	0	0.9583333333333334	1.0	0.9787234042553191	1.5343775642809498	0.0	0.3381993236013528	1.8725768878823026	1.5343775642809498	100.00000000000003	99.66180067639866	0.3381993236013528	0.9999794496100463	0.9999665749948402	/home/ubuntu/yihuiguang/tools/KSSD3mini/research/experiments/2026-06-27_universal_strategy_decision/results/hmp_current_refresh_r232_source_abundance_sample19_0_1_3_4_5_6_7_9_10_11_13_14_15_16_17_18_20_21_22_23_24_25_28_truth.tsv	/mnt/new3T/minco_release_holdouts_20260628/cami2_hmp_unseen_transfer_20260626/run_sylph_r232/sylph_sample17/profile.tsv	Sylph rows mapped by accession; summed per GTDB species; renormalized
