method	panel_count	sample_count	mean_delta_F1	min_delta_F1	improved_samples	worsened_samples	mean_panel_delta_F1	min_panel_delta_F1	improved_panels	worsened_panels	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson	decision
drop_xny_lt_500_and_breadth_lt_0.1	4	32	0.001994639878440025	-0.26980341604898483	14	8	-0.07183276292097876	-0.23790121727832814	2	2	-2.320505534748752	0.4959358345034026	0.002200367951257165	f1_tradeoff_not_default
max_breadth_ge_0.1	4	32	0.001994639878440025	-0.26980341604898483	14	8	-0.07183276292097876	-0.23790121727832814	2	2	-2.320505534748752	0.4959358345034026	0.002200367951257165	f1_tradeoff_not_default
s_breadth_ge_0.1	4	32	0.001994639878440025	-0.26980341604898483	14	8	-0.07183276292097876	-0.23790121727832814	2	2	-2.320505534748752	0.4959358345034026	0.002200367951257165	f1_tradeoff_not_default
drop_depth_lt_2_and_breadth_lt_0.1	4	32	0.0015676212448996509	-0.26980341604898483	14	8	-0.07197510246549224	-0.23790121727832814	2	2	-2.137729601432459	0.4959358345034026	0.0017820308640444267	f1_tradeoff_not_default
drop_depth_lt_0.5_and_breadth_lt_0.1	4	32	0.0008219848406685083	-0.2528416266734024	14	8	-0.07130813112365594	-0.23371599757586714	2	2	-1.5928179775858116	0.4959358345034026	0.001180131781475028	f1_tradeoff_not_default
drop_depth_lt_1_and_breadth_lt_0.1	4	32	0.0003233380183620318	-0.273204455255409	14	8	-0.07263785598313988	-0.23903489701380287	2	2	-1.6015781793307406	0.4959358345034026	0.001206176473846965	f1_tradeoff_not_default
drop_prob_lt_0.95_and_realaf_lt_0.1	4	32	0.002463338844083736	-0.1964030664295916	13	8	-0.05314997842158237	-0.17382338631134897	1	3	-0.8793745695957618	0.4099969691667482	0.0009416671333857957	f1_tradeoff_not_default
drop_prob_lt_0.95_and_xny_lt_100	4	32	0.002463338844083736	-0.1964030664295916	13	8	-0.05314997842158237	-0.17382338631134897	1	3	-0.8793745695957618	0.4099969691667482	0.0009416671333857957	f1_tradeoff_not_default
drop_prob_lt_0.5_and_breadth_lt_0.2	4	32	0.023147142616857633	-0.10356444251249719	15	9	-0.011798917639812279	-0.08143159455837334	2	2	-1.7848031487247167	0.6488479620499419	0.001464019744334008	f1_tradeoff_not_default
s_zip_af_ge_0.2	4	32	0.005017547485792383	-0.13052763461374184	16	9	-0.028307533574097182	-0.12323116132572287	2	2	-3.750839456416548	0.7821812082150217	0.003002216596879704	f1_tradeoff_not_default
