panel	method	samples	sample_count	pooled_TP	pooled_FP	pooled_FN	pooled_F1	mean_L1_union_pp	mean_Pearson_union	mean_added_mass_before_norm
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.50551715338216	0.9809770590843788	0.00048499999999999997
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha0.5_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.50551715338216	0.9809770590843788	0.00048499999999999997
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.473015405134475	0.9810226338545261	0.0009699999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha10	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	23.03744689952346	0.9805238316397792	0.0097
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.001	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.51245483113213	0.9809602224161548	0.00046991666666666666
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.003	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.484727939584605	0.9809959950968069	0.0008332083333333334
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.005	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.477583567443435	0.9810127417293719	0.0009165416666666666
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.01	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.473015405134475	0.9810226338545261	0.0009699999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.02	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.473015405134475	0.9810226338545261	0.0009699999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha1_cap0.05	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.473015405134475	0.9810226338545261	0.0009699999999999999
hmp_airskin_gtdb_source_abundance	normalized_depth_alpha2	0,1,3,4,5,6,7,9,10,11,13,14,15,16,17,18,19,20,21,22,23,24,25,28	24	1043	308	52	0.8528209321340964	22.421593609537194	0.9810913152083991	0.0019399999999999999
