method	sample_key	dataset	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	F1	FP_plus_FN	L1	Pearson	tp_abundance_n	added	abundance_mode	source	p_extra	count_ratio	base_n	prob035_n	old_mode	median_uaf	tail_rule_triggered	tail_rescue_added_n	tail_rescue_median_uaf_threshold	tail_rescue_probability_threshold	prob_min	s_xny_min	s_ani_min	s_af_min	s_breadth_min	s_mean_depth_min	topn_per_genus
loose_cami3_split_rescue_tail_safe	strain0	strain	20	13	8	5	12	0.6153846153846154	0.4	0.4848484848484849	17	0.2940342475929612	0.9676959149201451	8	0	tail_safe	cached20	0.30312992790955784	1.0	13	13	probability	0.238	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	strain0	strain	20	13	8	5	12	0.6153846153846154	0.4	0.4848484848484849	17	0.44069202930206347	0.9298073445095212	8	0	zip_p025	cached20	0.30312992790955784	1.0	13	13	probability	0.238	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	strain1	strain	20	20	10	10	10	0.5	0.5	0.5	20	0.5654101550434073	0.969293708183309	10	0	tail_safe	cached20	0.07969768095989664	1.1111111111111112	18	20	probability	0.15849999999999997	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	strain1	strain	20	22	11	11	9	0.5	0.55	0.5238095238095238	20	0.5789712084142594	0.9676381294320062	11	2	tail_safe	cached20	0.07969768095989664	1.1111111111111112	18	20	probability	0.15849999999999997	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	strain1	strain	20	22	11	11	9	0.5	0.55	0.5238095238095238	20	0.6505544987959901	0.9705141216884015	11	2	zip_p025	cached20	0.07969768095989664	1.1111111111111112	18	20	probability	0.15849999999999997	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	strain2	strain	20	13	9	4	11	0.6923076923076923	0.45	0.5454545454545455	15	0.8908398740630835	0.7536091834440307	9	0	tail_safe	cached20	0.012414890947890268	1.0	12	12	strict_plain	0.22499999999999998	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	strain2	strain	20	14	9	5	11	0.6428571428571429	0.45	0.5294117647058824	16	0.8949954819188001	0.7536091834440306	9	1	tail_safe	cached20	0.012414890947890268	1.0	12	12	strict_plain	0.22499999999999998	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	strain2	strain	20	14	9	5	11	0.6428571428571429	0.45	0.5294117647058824	16	0.6388043266541711	0.8340971183046114	9	1	zip_p025	cached20	0.012414890947890268	1.0	12	12	strict_plain	0.22499999999999998	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	hmp_gastrooral0	hmp_gastrooral	35	35	31	4	4	0.8857142857142857	0.8857142857142857	0.8857142857142857	8	0.6200930884472461	0.9079252785363574	31	0	tail_safe	cached20	0.00419902246754604	1.2	35	42	base	0.684	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	hmp_gastrooral0	hmp_gastrooral	35	36	32	4	3	0.8888888888888888	0.9142857142857143	0.9014084507042254	7	0.6313558368445324	0.8992888724499196	32	1	tail_safe	cached20	0.00419902246754604	1.2	35	42	base	0.684	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	hmp_gastrooral0	hmp_gastrooral	35	36	32	4	3	0.8888888888888888	0.9142857142857143	0.9014084507042254	7	0.6139912776539107	0.895515871207371	32	1	zip_p025	cached20	0.00419902246754604	1.2	35	42	base	0.684	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	hmp_gastrooral6	hmp_gastrooral	46	51	40	11	6	0.7843137254901961	0.8695652173913043	0.8247422680412372	17	0.9148994480208255	0.8261071994556622	40	0	tail_safe	cached20	0.3104491763906995	1.3953488372093024	43	60	rescue	0.559	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	hmp_gastrooral6	hmp_gastrooral	46	51	40	11	6	0.7843137254901961	0.8695652173913043	0.8247422680412372	17	0.9148994480208255	0.8261071994556622	40	0	tail_safe	cached20	0.3104491763906995	1.3953488372093024	43	60	rescue	0.559	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	hmp_gastrooral6	hmp_gastrooral	46	51	40	11	6	0.7843137254901961	0.8695652173913043	0.8247422680412372	17	1.0026921471707009	0.7612418373808254	40	0	zip_p025	cached20	0.3104491763906995	1.3953488372093024	43	60	rescue	0.559	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	plant_holdout3	plant_holdout	85	81	52	29	33	0.6419753086419753	0.611764705882353	0.6265060240963856	62	1.0455307922308632	0.9921625577669424	52	0	tail_safe	cached20	0.06044242628723505	1.5576923076923077	52	81	probability	0.225	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	plant_holdout3	plant_holdout	85	85	52	33	33	0.611764705882353	0.611764705882353	0.611764705882353	66	1.131360326012038	0.9921625577669424	52	4	tail_safe	cached20	0.06044242628723505	1.5576923076923077	52	81	probability	0.225	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	plant_holdout3	plant_holdout	85	85	52	33	33	0.611764705882353	0.611764705882353	0.611764705882353	66	1.2306100472424741	0.9333735925557769	52	4	zip_p025	cached20	0.06044242628723505	1.5576923076923077	52	81	probability	0.225	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
baseline_tail_low_uaf_probability	plant_holdout4	plant_holdout	84	81	52	29	32	0.6419753086419753	0.6190476190476191	0.6303030303030304	61	0.47886304811206637	0.9980485778919341	52	0	tail_safe	cached20	0.03585420245279319	1.4210526315789473	57	81	probability	0.202	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_tail_safe	plant_holdout4	plant_holdout	84	86	52	34	32	0.6046511627906976	0.6190476190476191	0.611764705882353	66	0.5878077013082295	0.9980485778919339	52	5	tail_safe	cached20	0.03585420245279319	1.4210526315789473	57	81	probability	0.202	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
loose_cami3_split_rescue_zip_p025	plant_holdout4	plant_holdout	84	86	52	34	32	0.6046511627906976	0.6190476190476191	0.611764705882353	66	0.7044395528932533	0.9763719882225489	52	5	zip_p025	cached20	0.03585420245279319	1.4210526315789473	57	81	probability	0.202	False	0	0.35	0.25	0.02	300.0	0.93	0.3	0.2	1.0	1
