sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only
1	split_mean_over_zip_p0.25	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	72.80132508803298	66.60912136427217	0.6735024658256528	0.6781599283991093
1	split_mean_over_zip_p0.5	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	72.60776592384877	65.4328711390592	0.6743047223471006	0.6817333868708656
1	split_mean_over_zip_p0.75	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	73.3548168503079	65.02239270173777	0.6695318553153065	0.6806762212472531
1	split_mean_over_zip_p1	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	75.04358937786795	65.46100214605637	0.6504147643645247	0.6658588506113589
1	split_mean_over_zip_p1.25	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	85.36924049678377	74.76305121673235	0.5623078882802811	0.5783560810843436
1	split_mean_over_zip_floor0.01	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	74.55038687304184	64.94481166426341	0.6555374979914531	0.6714045993932636
1	split_mean_over_zip_floor0.05	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	73.37993666159144	63.661206322350274	0.6625366427997127	0.6791090789875853
1	split_mean_over_zip_floor0.1	104	99	86	13	18	0.8686868686868687	0.8269230769230769	0.8472906403940886	73.07046270714655	63.45486711892659	0.6634116222190485	0.6800104168954313
2	current_calibrated_abundance	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	50.07604500394408	38.64523608888298	0.9105517870034346	0.9212311577120741
2	current_calibrated_raw	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	50.07604500394414	38.645236088882996	0.9105517870034342	0.9212311577120739
2	split_mean_depth	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	46.61324033115084	34.2034306929872	0.9230177686350207	0.9369034824137144
2	split_hit_mean_x_breadth	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	57.913076540685005	41.81382589636781	0.9055900293977979	0.9287546405170042
2	split_normalized_depth	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	46.613916248709195	34.2043310637357	0.9230165296005254	0.9369018417558355
2	split_relative_depth	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	46.613916248709195	34.2043310637357	0.9230165296005254	0.9369018417558355
2	unique_mean_depth	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	57.140058713292106	47.43988355084857	0.8809691012523402	0.8918939555381518
2	split_mean_prob	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	50.452153984962635	40.60230756981112	0.9145295228553034	0.9262987500632233
2	split_mean_prob2	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	55.98158513208984	47.489558430309955	0.8969443435671193	0.9088680965670661
2	split_mean_over_zip_p0.25	99	115	82	33	17	0.7130434782608696	0.8282828282828283	0.7663551401869159	48.16041781881263	33.290853087016856	0.9183239177337208	0.9365921573611107
