panel	sample	method	truth_species	pred_species	TP	FP	FN	precision	recall	F1	L1_union_pp	Pearson_union	rescued_species	rescued_TP	rescued_FP	rule
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.05	198	163	158	5	40	0.9693251533742331	0.797979797979798	0.8753462603878116	17.185888179619642	0.991379921189631	1	1	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.10	198	163	158	5	40	0.9693251533742331	0.797979797979798	0.8753462603878116	17.185888179619642	0.991379921189631	1	1	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.20	198	163	158	5	40	0.9693251533742331	0.797979797979798	0.8753462603878116	17.185888179619642	0.991379921189631	1	1	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.30	198	163	158	5	40	0.9693251533742331	0.797979797979798	0.8753462603878116	17.185888179619642	0.991379921189631	1	1	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.97_xny100_breadth0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny100_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.97_xny100_breadth0.10	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny100_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.97_xny100_breadth0.20	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny100_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.97_xny100_breadth0.30	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny100_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.97_xny100_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny100_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.97_xny250_breadth0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny250_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.97_xny250_breadth0.10	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny250_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.97_xny250_breadth0.20	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny250_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.97_xny250_breadth0.30	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny250_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.97_xny250_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny250_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.97_xny500_breadth0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny500_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.97_xny500_breadth0.10	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny500_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.97_xny500_breadth0.20	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny500_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.97_xny500_breadth0.30	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny500_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.97_xny500_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny500_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.97_xny650_breadth0.05	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny650_breadth0.05
cami2_toy_mouse_gut	5	raw_ani0.97_xny650_breadth0.10	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny650_breadth0.10
cami2_toy_mouse_gut	5	raw_ani0.97_xny650_breadth0.20	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny650_breadth0.20
cami2_toy_mouse_gut	5	raw_ani0.97_xny650_breadth0.30	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny650_breadth0.30
cami2_toy_mouse_gut	5	raw_ani0.97_xny650_breadth0.50	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.97_xny650_breadth0.50
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.20_depth2	198	164	158	6	40	0.9634146341463414	0.797979797979798	0.8729281767955802	17.185888179619642	0.991380913351835	2	1	1	zero-mass raw candidate retention rule raw_ani0.93_xny500_breadth0.20_depth2
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.20_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny500_breadth0.20_depth5
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.30_depth2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny500_breadth0.30_depth2
cami2_toy_mouse_gut	5	raw_ani0.93_xny500_breadth0.30_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny500_breadth0.30_depth5
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.20_depth2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny650_breadth0.20_depth2
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.20_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny650_breadth0.20_depth5
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.30_depth2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny650_breadth0.30_depth2
cami2_toy_mouse_gut	5	raw_ani0.93_xny650_breadth0.30_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny650_breadth0.30_depth5
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.20_depth2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.20_depth2
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.20_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.20_depth5
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.30_depth2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.30_depth2
cami2_toy_mouse_gut	5	raw_ani0.95_xny500_breadth0.30_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny500_breadth0.30_depth5
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.20_depth2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.20_depth2
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.20_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.20_depth5
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.30_depth2	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.30_depth2
cami2_toy_mouse_gut	5	raw_ani0.95_xny650_breadth0.30_depth5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.185888179619642	0.991379921189631	0	0	0	zero-mass raw candidate retention rule raw_ani0.95_xny650_breadth0.30_depth5
cami2_toy_mouse_gut	6	current_default	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189062708	0.9729828392129994	0	0	0	current selected default calls
cami2_toy_mouse_gut	6	raw_default_major	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189062708	0.9729828392129994	0	0	0	zero-mass raw candidate retention rule raw_default_major
cami2_toy_mouse_gut	6	raw_ani0.93_xny100_breadth0.05	201	171	161	10	40	0.9415204678362573	0.8009950248756219	0.8655913978494623	22.918399189062708	0.9730057369507875	14	8	6	zero-mass raw candidate retention rule raw_ani0.93_xny100_breadth0.05
cami2_toy_mouse_gut	6	raw_ani0.93_xny100_breadth0.10	201	168	159	9	42	0.9464285714285714	0.7910447761194029	0.8617886178861788	22.918399189062708	0.973002014074511	11	6	5	zero-mass raw candidate retention rule raw_ani0.93_xny100_breadth0.10
cami2_toy_mouse_gut	6	raw_ani0.93_xny100_breadth0.20	201	165	157	8	44	0.9515151515151515	0.7810945273631841	0.8579234972677595	22.918399189062708	0.9729982545681501	8	4	4	zero-mass raw candidate retention rule raw_ani0.93_xny100_breadth0.20
cami2_toy_mouse_gut	6	raw_ani0.93_xny100_breadth0.30	201	160	154	6	47	0.9625	0.7661691542288557	0.853185595567867	22.918399189062708	0.9729906234813205	3	1	2	zero-mass raw candidate retention rule raw_ani0.93_xny100_breadth0.30
cami2_toy_mouse_gut	6	raw_ani0.93_xny100_breadth0.50	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189062708	0.9729828392129994	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny100_breadth0.50
cami2_toy_mouse_gut	6	raw_ani0.93_xny250_breadth0.05	201	166	157	9	44	0.9457831325301205	0.7810945273631841	0.8555858310626704	22.918399189062708	0.973002014074511	9	4	5	zero-mass raw candidate retention rule raw_ani0.93_xny250_breadth0.05
cami2_toy_mouse_gut	6	raw_ani0.93_xny250_breadth0.10	201	166	157	9	44	0.9457831325301205	0.7810945273631841	0.8555858310626704	22.918399189062708	0.973002014074511	9	4	5	zero-mass raw candidate retention rule raw_ani0.93_xny250_breadth0.10
cami2_toy_mouse_gut	6	raw_ani0.93_xny250_breadth0.20	201	165	157	8	44	0.9515151515151515	0.7810945273631841	0.8579234972677595	22.918399189062708	0.9729982545681501	8	4	4	zero-mass raw candidate retention rule raw_ani0.93_xny250_breadth0.20
cami2_toy_mouse_gut	6	raw_ani0.93_xny250_breadth0.30	201	160	154	6	47	0.9625	0.7661691542288557	0.853185595567867	22.918399189062708	0.9729906234813205	3	1	2	zero-mass raw candidate retention rule raw_ani0.93_xny250_breadth0.30
cami2_toy_mouse_gut	6	raw_ani0.93_xny250_breadth0.50	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.918399189062708	0.9729828392129994	0	0	0	zero-mass raw candidate retention rule raw_ani0.93_xny250_breadth0.50
cami2_toy_mouse_gut	6	raw_ani0.93_xny500_breadth0.05	201	159	154	5	47	0.9685534591194969	0.7661691542288557	0.8555555555555555	22.918399189062708	0.9729867507816635	2	1	1	zero-mass raw candidate retention rule raw_ani0.93_xny500_breadth0.05
