method	sample_count	mean_sample_L1_delta_pp	max_sample_worse_L1_delta_pp	improved_samples	worsened_samples	panel_count	mean_panel_L1_delta_pp	max_panel_worse_L1_delta_pp	improved_panels	worsened_panels	mean_Pearson_delta
global_sum_norm_depth_a0.1	32	0.262900990997559	2.7521689690167612	11	21	4	-0.07032947561866076	0.7558968474149736	1	3	0.0005103050014730603
global_sum_rel_depth_a0.1	32	0.262900990997559	2.7521689690167612	11	21	4	-0.07032947561866076	0.7558968474149736	1	3	0.0005103050014730603
genus_u_norm_depth_a0.1	32	0.5398390994791137	3.578345988579116	11	21	4	0.2934279500792073	0.6875553497096227	2	2	-0.00033133029170203526
genus_u_rel_depth_a0.1	32	0.5398390994791137	3.578345988579116	11	21	4	0.2934279500792073	0.6875553497096227	2	2	-0.00033133029170203526
global_max_norm_depth_a0.25	32	0.7173252963099399	4.929853937143843	11	21	4	0.2644921839253816	1.8402024113596722	1	3	0.0005500325364271412
global_max_rel_depth_a0.25	32	0.7173252963099399	4.929853937143843	11	21	4	0.2644921839253816	1.8402024113596722	1	3	0.0005500325364271412
global_max_hit_breadth_a0.25	32	2.0958338218530725	31.5852186601315	11	21	4	2.0643010065566116	3.237854492352495	0	4	-0.00894285227465708
global_raw_hit_breadth_a0.25	32	3.137970760189374	17.81770729976632	11	21	4	4.849054165308735	14.483041583366886	0	4	-0.0037484804962611626
global_raw_mean_breadth_a0.25	32	3.6960797340208895	18.048962073791124	11	21	4	5.375359905700102	15.134164766579625	0	4	-0.006331363507523165
global_u_norm_depth_a0.005	32	0.05212019338300822	0.26139209066216296	10	22	4	0.0022040550244044332	0.08034858025343113	2	2	3.788475585604287e-05
global_u_rel_depth_a0.005	32	0.05212019338300822	0.26139209066216296	10	22	4	0.0022040550244044332	0.08034858025343113	2	2	3.788475585604287e-05
global_u_norm_depth_a0.01	32	0.1149942232198008	0.5255444517849632	10	22	4	0.009159842045832117	0.17459537414384585	2	2	7.268153585748838e-05
global_u_rel_depth_a0.01	32	0.1149942232198008	0.5255444517849632	10	22	4	0.009159842045832117	0.17459537414384585	2	2	7.268153585748838e-05
genus_raw_zip_a0.25	32	0.4386696903983784	2.5467793334500506	10	22	4	0.5326658654396839	1.3450070560146132	0	4	-0.0007865504435676379
genus_u_norm_depth_a0.25	32	1.88700040151839	9.191105854358668	10	22	4	0.9860278108186125	2.3963784581595813	1	3	-0.0022610874858641737
genus_u_rel_depth_a0.25	32	1.88700040151839	9.191105854358668	10	22	4	0.9860278108186125	2.3963784581595813	1	3	-0.0022610874858641737
global_raw_zip_a0.005	32	0.011331474147197124	0.08595794759830255	9	23	4	-0.003691792526401245	0.02729329939229519	2	2	-8.918641450226389e-06
global_raw_zip_a0.01	32	0.0226988977062067	0.17191589519662287	9	23	4	-0.0072954308618179906	0.05458659878458061	2	2	-1.8545535131590102e-05
global_raw_zip_a0.02	32	0.04556970634218979	0.3438317903932564	9	23	4	-0.014378349547636338	0.1091731975691701	2	2	-3.9921279999091674e-05
genus_zip_norm_depth_a0.25	32	0.8567897773201381	4.016133594960067	9	23	4	1.0097985145110029	2.6992756182652995	1	3	-0.0011089469293865117
global_sum_norm_depth_a0.25	32	1.3320230014871028	7.162913023688819	9	23	4	0.48394065900440086	2.2545270682333216	1	3	0.0001624093036922923
global_sum_rel_depth_a0.25	32	1.3320230014871028	7.162913023688819	9	23	4	0.48394065900440086	2.2545270682333216	1	3	0.0001624093036922923
global_raw_zip_a0.05	32	0.13199978120660177	0.8740516081871199	8	24	4	0.005462722893711025	0.2968105049495806	1	3	-0.00012097456442564797
global_u_norm_depth_a0.02	32	0.26671377138235364	1.062344839574056	8	24	4	0.04575022792574572	0.39223981122795565	2	2	0.00013296058033201302
global_u_rel_depth_a0.02	32	0.26671377138235364	1.062344839574056	8	24	4	0.04575022792574572	0.39223981122795565	2	2	0.00013296058033201302
global_raw_zip_a0.1	32	0.30596970772551074	1.8068035285171824	8	24	4	0.07364810009294194	0.6247009451347836	1	3	-0.00031216301552257353
global_zip_norm_depth_a0.1	32	0.5776806321091199	3.3495854290250975	8	24	4	0.1349476196267597	1.2576642808486485	1	3	2.267900117840227e-05
global_u_norm_depth_a0.05	32	0.8836579993560907	2.679322677821446	6	26	4	0.3012959294772248	1.2155455882301351	1	3	0.00023832866050032403
global_u_rel_depth_a0.05	32	0.8836579993560907	2.679322677821446	6	26	4	0.3012959294772248	1.2155455882301351	1	3	0.00023832866050032403
global_u_norm_depth_a0.1	32	2.099813225870873	5.680980996870257	6	26	4	0.824023120539054	2.8245400691991693	1	3	0.0001554924937894192
global_u_rel_depth_a0.1	32	2.099813225870873	5.680980996870257	6	26	4	0.824023120539054	2.8245400691991693	1	3	0.0001554924937894192
global_raw_zip_a0.25	32	0.9416575660289344	4.6929870953002215	5	27	4	0.3635676774063717	1.6452347804565486	1	3	-0.0013008630948823027
global_u_norm_depth_a0.25	32	6.868468799728236	16.016870980486374	4	28	4	3.1598361162305073	8.919833014389367	1	3	-0.002188903799097211
global_u_rel_depth_a0.25	32	6.868468799728236	16.016870980486374	4	28	4	3.1598361162305073	8.919833014389367	1	3	-0.002188903799097211
global_zip_norm_depth_a0.25	32	2.5420992258807167	8.561663142944415	3	29	4	1.8518842024771152	4.08352997113903	1	3	-0.00187246280065919
