method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	mean_panel_added_mass_before_norm	mean_delta_L1_pp	max_worse_L1_pp	mean_delta_Pearson_union	improved_samples_L1	worsened_samples_L1	unchanged_samples_L1	improved_panels_L1	worsened_panels_L1	mean_added_mass_before_norm
raw_abundance_scaled_alpha2_cap0.02	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.454407065340106	0.9270929481358032	0.013861812500000001	-0.6125024863448454	0.0	0.0030600414596110258	13.0	0.0	19.0	4.0	0.0	0.0059978125
raw_abundance_scaled_alpha2_cap0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	34.12260033461368	0.9349399879724696	0.0326118125	-1.0795731979116212	0.9432600305391254	0.005813510593997463	12.0	1.0	19.0	3.0	1.0	0.0125603125
raw_abundance_scaled_alpha5	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	70.73481165648249	0.7168749015064905	1.6898293229166668	12.554756621512041	145.6613896919961	-0.07575817280019269	4.0	9.0	19.0	1.0	3.0	0.6339965624999999
raw_abundance_scaled_cap0.001	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.89115908015311	0.9191791963252305	0.0008674791666666667	-0.05609648073721413	0.0	0.00019821893687010234	13.0	0.0	19.0	4.0	0.0	0.0006024375000000001
raw_abundance_scaled_cap0.003	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.67596756591887	0.9201474826292516	0.002458302083333333	-0.14662462288515432	0.0	0.0005593513506575859	13.0	0.0	19.0	4.0	0.0	0.0013749062500000003
raw_abundance_scaled_cap0.005	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.49672473207294	0.9210570544994323	0.0038018854166666665	-0.21387353090985628	0.0	0.0008903786484246445	13.0	0.0	19.0	4.0	0.0	0.0018930937499999998
raw_abundance_scaled_cap0.01	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	36.10568004324815	0.923196594238607	0.0069309062500000004	-0.35141581141485045	0.0	0.0016471855112383561	13.0	0.0	19.0	4.0	0.0	0.00299890625
raw_abundance_scaled_cap0.02	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.43968046136035	0.9270349660064298	0.013180906249999999	-0.5818831280793708	0.0	0.00300007508348896	13.0	0.0	19.0	4.0	0.0	0.00518640625
raw_abundance_scaled_cap0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	34.21264114979789	0.934055623087647	0.029632531249999997	-1.0227619848551575	0.9432600305391254	0.005546948529013131	12.0	1.0	19.0	3.0	1.0	0.0111743125
xny_share_alpha0.05	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8711651044491676	35.53363668528375	0.9277490734513796	0.0328125	0.19315938109032388	7.05363916211838	0.0024114872951183502	4.0	9.0	19.0	2.0	2.0	0.020312500000000004
