route	rule	pooled_F1	base_pooled_F1	delta_pooled_F1	mean_delta_F1	worsened_samples	improved_samples	TP	FP	FN	added_species	added_TP	added_FP
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny250_breadth0.05	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny250_breadth0.10	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny250_breadth0.20	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny250_breadth0.30	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny250_breadth0.50	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny500_breadth0.05	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny500_breadth0.10	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny500_breadth0.20	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny500_breadth0.30	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny500_breadth0.50	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny650_breadth0.05	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny650_breadth0.10	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny650_breadth0.20	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny650_breadth0.30	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_ani0.97_xny650_breadth0.50	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
cami3_source_readmap_extension_after_recovery	raw_default_major	0.69921875	0.69921875	0.0	0.0	0	0	179	41	113	0	0	0
marine_setup_truth_profile_rescore	baseline_no_raw_add	0.7808292945611202	0.7808292945611202	0.0	0.0	0	0	725	182	225	0	0	0
marine_setup_truth_profile_rescore	raw_ani0.93_xny100_breadth0.05	0.8290105667627281	0.7808292945611202	0.04818127220160795	0.048391419088073984	0	3	863	269	87	225	138	87
marine_setup_truth_profile_rescore	raw_ani0.93_xny100_breadth0.10	0.8255360623781676	0.7808292945611202	0.04470676781704741	0.04513464102655962	0	3	847	255	103	195	122	73
marine_setup_truth_profile_rescore	raw_ani0.93_xny100_breadth0.20	0.8111111111111112	0.7808292945611202	0.03028181654999107	0.030055873094979813	0	3	803	227	147	123	78	45
marine_setup_truth_profile_rescore	raw_ani0.93_xny100_breadth0.30	0.8062015503875969	0.7808292945611202	0.02537225582647673	0.025200969659031475	0	3	780	205	170	78	55	23
marine_setup_truth_profile_rescore	raw_ani0.93_xny100_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.93_xny250_breadth0.05	0.8030150753768844	0.7808292945611202	0.022185780815764278	0.021902899645919887	0	3	799	241	151	133	74	59
marine_setup_truth_profile_rescore	raw_ani0.93_xny250_breadth0.10	0.8030150753768844	0.7808292945611202	0.022185780815764278	0.021902899645919887	0	3	799	241	151	133	74	59
marine_setup_truth_profile_rescore	raw_ani0.93_xny250_breadth0.20	0.8079067410035479	0.7808292945611202	0.02707744644242771	0.02670793528147249	0	3	797	226	153	116	72	44
marine_setup_truth_profile_rescore	raw_ani0.93_xny250_breadth0.30	0.8062015503875969	0.7808292945611202	0.02537225582647673	0.025200969659031475	0	3	780	205	170	78	55	23
marine_setup_truth_profile_rescore	raw_ani0.93_xny250_breadth0.50	0.7978835978835979	0.7808292945611202	0.017054303322477704	0.017166846442544886	0	3	754	186	196	33	29	4
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.05	0.7914494264859229	0.7808292945611202	0.010620131924802712	0.010304360364479792	0	3	759	209	191	61	34	27
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.10	0.7914494264859229	0.7808292945611202	0.010620131924802712	0.010304360364479792	0	3	759	209	191	61	34	27
marine_setup_truth_profile_rescore	raw_ani0.93_xny500_breadth0.20	0.7926892950391645	0.7808292945611202	0.011860000478044364	0.011637712562219201	0	3	759	206	191	58	34	24
