sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	adaptive_call_filter_switch	adaptive_call_filter_applied	profile	adaptive_call_filter_removed_n	adaptive_call_filter_input_call_n	adaptive_call_filter_output_call_n	observed_called_n	adaptive_call_filter_max_xny_median	adaptive_call_filter_max_xny_median_threshold	adaptive_call_filter_min_xny_threshold	expected_offline_method	panel	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_taxid_mapped	pred_rows_name_mapped	raw_ref_rows	raw_ref_taxids	raw_ref_taxids_gtdb_mapped	truth_species	pred_species	added_species	rule
5	wrapper_candidate_abundance_zero_mass			25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597121		0.9983818025644171					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample5.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								26.0	26.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
6	wrapper_candidate_abundance_zero_mass			16	1	0	0.9411764705882353	1.0	0.9696969696969697	23.215391722468834		0.9122239933982663					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample6.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								16.0	17.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
7	wrapper_candidate_abundance_zero_mass			69	20	6	0.7752808988764045	0.92	0.8414634146341463	27.609399687248203		0.9875542782678018					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample7.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								75.0	89.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
9	wrapper_candidate_abundance_zero_mass			92	10	4	0.9019607843137255	0.9583333333333334	0.9292929292929293	31.5269302502451		0.9866666556242838					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample9.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								96.0	102.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
10	wrapper_candidate_abundance_zero_mass			63	6	6	0.9130434782608695	0.9130434782608695	0.9130434782608695	20.72920835915724		0.9889496865549154					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample10.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								69.0	69.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
11	wrapper_candidate_abundance_zero_mass			32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.34574875063908		0.9390039844436857					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample11.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								33.0	32.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
13	wrapper_candidate_abundance_zero_mass			37	3	3	0.925	0.925	0.925	54.747984044476404		0.9105244185423925					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample13.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								40.0	40.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
14	wrapper_candidate_abundance_zero_mass			27	5	1	0.84375	0.9642857142857143	0.8999999999999999	14.824167972260854		0.9986364303601222					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample14.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								28.0	32.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
15	wrapper_candidate_abundance_zero_mass			23	1	1	0.9583333333333334	0.9583333333333334	0.9583333333333334	8.896279874750313		0.9995246530616625					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample15.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								24.0	24.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
16	wrapper_candidate_abundance_zero_mass			10	0	0	1.0	1.0	1.0	6.914589514693759		0.9998353757011105					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample16.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								10.0	10.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
17	wrapper_candidate_abundance_zero_mass			46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112833		0.9960095778891281					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample17.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								46.0	73.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
18	wrapper_candidate_abundance_zero_mass			26	1	1	0.9629629629629629	0.9629629629629629	0.9629629629629629	12.02303482405369		0.9947328417202754					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample18.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								27.0	27.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
19	wrapper_candidate_abundance_zero_mass			107	44	4	0.7086092715231788	0.963963963963964	0.816793893129771	37.17374040767118		0.9634165110040722					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample19.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								111.0	151.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
20	wrapper_candidate_abundance_zero_mass			76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054343		0.9904823004265121					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample20.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								79.0	106.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
21	wrapper_candidate_abundance_zero_mass			33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146761056		0.9626902136826683					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample21.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								34.0	41.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
22	wrapper_candidate_abundance_zero_mass			19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.64859084035785		0.9885915958918302					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample22.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								21.0	38.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
23	wrapper_candidate_abundance_zero_mass			31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.41923191911534		0.984447024806524					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample23.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								33.0	36.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
24	wrapper_candidate_abundance_zero_mass			26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.776347378834904		0.9946961294046561					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample24.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								29.0	27.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
25	wrapper_candidate_abundance_zero_mass			46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.876829864906988		0.9844760524405716					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample25.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								49.0	77.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
28	wrapper_candidate_abundance_zero_mass			12	3	0	0.8	1.0	0.888888888888889	18.352633533107497		0.9890339281762488					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_airskin_gtdb_source_abundance.sample28.zero_mass.tsv									hmp_airskin_gtdb_source_abundance								12.0	15.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
0	wrapper_candidate_abundance_zero_mass			33	2	1	0.9428571428571428	0.9705882352941176	0.9565217391304348	19.900922102529275		0.9549294426840412					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_gastrooral_gtdb_source_abundance.sample0.zero_mass.tsv									hmp_gastrooral_gtdb_source_abundance								34.0	35.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
6	wrapper_candidate_abundance_zero_mass			45	7	2	0.8653846153846154	0.9574468085106383	0.9090909090909091	78.07306011011983		0.8096239564470539					/tmp/minco_cross_panel_candidate_abundance_wrapper_20260629/zero_mass_profiles/hmp_gastrooral_gtdb_source_abundance.sample6.zero_mass.tsv									hmp_gastrooral_gtdb_source_abundance								47.0	52.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy
