sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	panel	official_L1_pp	official_Pearson	current_official_L1_pp	current_official_Pearson	delta_current_L1_pp	delta_current_Pearson
5	lopo_hgb_log_l2_0.1_blend0.75	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.277790082120987	15.496844377714014	0.9914353065306855	0.9918083118688834	cami2_toy_mouse_gut	15.496844377714014	0.9918083118688834	15.414228172609581	0.9917478920123489	0.0826162051044328	6.0419856534488225e-05
6	lopo_hgb_log_l2_0.1_blend0.75	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	23.068458766511306	20.194260525870888	0.9725963615281766	0.9733798997288953	cami2_toy_mouse_gut	20.194260525870888	0.9733798997288953	20.062955823580985	0.9737545137280396	0.13130470228990276	-0.00037461399914429094
7	lopo_hgb_log_l2_0.1_blend0.75	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.9784899620562815	5.889185035493491	0.998416679558084	0.998417038488349	cami2_toy_mouse_gut	5.889185035493491	0.998417038488349	5.826327372590053	0.9984274174395251	0.06285766290343808	-1.0378951176170936e-05
5	lopo_hgb_log_l2_0.1_blend0.5	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.212421951264027	15.437653852758071	0.99139854380768	0.9917681933883152	cami2_toy_mouse_gut	15.437653852758071	0.9917681933883152	15.414228172609581	0.9917478920123489	0.023425680148490002	2.0301375966313984e-05
6	lopo_hgb_log_l2_0.1_blend0.5	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.967825371837687	20.106104496634103	0.9728542864135343	0.9736299203943855	cami2_toy_mouse_gut	20.106104496634103	0.9736299203943855	20.062955823580985	0.9737545137280396	0.04314867305311765	-0.00012459333365411052
7	lopo_hgb_log_l2_0.1_blend0.5	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.92682139802938	5.837488635074385	0.9984245337026133	0.9984249675121444	cami2_toy_mouse_gut	5.837488635074385	0.9984249675121444	5.826327372590053	0.9984274174395251	0.01116126248433158	-2.449927380743233e-06
5	lopo_hgb_log_l2_0.1_blend0.25	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.19471248805326	15.42201501383787	0.9913861467215335	0.991754677193381	cami2_toy_mouse_gut	15.42201501383787	0.991754677193381	15.414228172609581	0.9917478920123489	0.0077868412282882105	6.785181032031851e-06
6	lopo_hgb_log_l2_0.1_blend0.25	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	22.93459021880101	20.07705145810436	0.9729400192233245	0.9737130141003397	cami2_toy_mouse_gut	20.07705145810436	0.9737130141003397	20.062955823580985	0.9737545137280396	0.014095634523375367	-4.149962769983695e-05
7	lopo_hgb_log_l2_0.1_blend0.25	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	5.9096280527535825	5.820285964510699	0.9984262566315436	0.99842671396869	cami2_toy_mouse_gut	5.820285964510699	0.99842671396869	5.826327372590053	0.9984274174395251	-0.006041408079354049	-7.034708351394414e-07
5	lopo_hgb_log_l2_1_blend1	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	45.69631991195418	43.34487258964759	0.9835497238901402	0.9844748496443043	cami2_toy_mouse_gut	43.34487258964759	0.9844748496443043	15.414228172609581	0.9917478920123489	27.93064441703801	-0.007273042368044602
6	lopo_hgb_log_l2_1_blend1	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	65.37375025281115	60.68121889580876	0.8005731240207781	0.8023202456033071	cami2_toy_mouse_gut	60.68121889580876	0.8023202456033071	20.062955823580985	0.9737545137280396	40.618263072227776	-0.1714342681247325
7	lopo_hgb_log_l2_1_blend1	68	64	63	1	5	0.984375	0.9264705882352942	0.9545454545454545	49.639543579849274	49.55823301019595	0.8699413715308109	0.8697153719210713	cami2_toy_mouse_gut	49.55823301019595	0.8697153719210713	5.826327372590053	0.9984274174395251	43.7319056376059	-0.12871204551845383
5	lopo_hgb_log_l2_1_blend0.75	198	162	157	5	41	0.9691358024691358	0.7929292929292929	0.8722222222222222	17.23337735665628	15.45884299296084	0.991401728614713	0.9917714426410974	cami2_toy_mouse_gut	15.45884299296084	0.9917714426410974	15.414228172609581	0.9917478920123489	0.04461482035125819	2.3550628748481017e-05
6	lopo_hgb_log_l2_1_blend0.75	201	157	153	4	48	0.9745222929936306	0.7611940298507462	0.8547486033519553	23.047337814702008	20.182458708297997	0.9726126551486743	0.9733894403107766	cami2_toy_mouse_gut	20.182458708297997	0.9733894403107766	20.062955823580985	0.9737545137280396	0.11950288471701143	-0.00036507341726299547
