panel	sample	policy	profile	rows	called	candidate_rescue_added	candidate_surface_added	candidate_added	candidate_added_called	candidate_added_raw_mass	candidate_added_abundance	surface_switch_values	abundance_policy_values	guard_blocked_values	guard_blocked_rows	surface_called_species_n_max	surface_max_called_species_values
hmp_airskin_gtdb_source_abundance	18	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample18.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	27	27	1	0	1	1	4.602962983066915	0.0059404995745425	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	27	250
hmp_airskin_gtdb_source_abundance	19	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample19.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	152	152	0	5	5	5	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	147	250
hmp_airskin_gtdb_source_abundance	19	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample19.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	152	152	0	5	5	5	14.69852651813866	0.0167661043879759	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	147	250
hmp_airskin_gtdb_source_abundance	20	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample20.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	106	106	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	106	250
hmp_airskin_gtdb_source_abundance	20	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample20.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	106	106	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	106	250
hmp_airskin_gtdb_source_abundance	21	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample21.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	41	41	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	41	250
hmp_airskin_gtdb_source_abundance	21	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample21.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	41	41	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	41	250
hmp_airskin_gtdb_source_abundance	22	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample22.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	38	38	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	38	250
hmp_airskin_gtdb_source_abundance	22	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample22.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	38	38	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	38	250
hmp_airskin_gtdb_source_abundance	23	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample23.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	36	36	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	36	250
hmp_airskin_gtdb_source_abundance	23	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample23.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	36	36	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	36	250
hmp_airskin_gtdb_source_abundance	24	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample24.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	28	28	0	2	2	2	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	26	250
hmp_airskin_gtdb_source_abundance	24	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample24.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	28	28	0	2	2	2	5.609670111572368	0.0069335896768758995	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	26	250
hmp_airskin_gtdb_source_abundance	25	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample25.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	77	77	0	1	1	1	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	76	250
hmp_airskin_gtdb_source_abundance	25	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample25.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	77	77	0	1	1	1	1.527158056324436	0.0023504623107957	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	76	250
hmp_airskin_gtdb_source_abundance	28	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_gtdb_source_abundance.sample28.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	15	15	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	15	250
hmp_airskin_gtdb_source_abundance	28	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_gtdb_source_abundance.sample28.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	15	15	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	15	250
hmp_airskin_omitted_gtdb_source_abundance	2	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_omitted_gtdb_source_abundance.sample2.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	31	31	0	2	2	2	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	29	250
hmp_airskin_omitted_gtdb_source_abundance	2	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_omitted_gtdb_source_abundance.sample2.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	31	31	0	2	2	2	45.283402453729	0.0511613784727492	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	29	250
hmp_airskin_omitted_gtdb_source_abundance	8	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_omitted_gtdb_source_abundance.sample8.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	80	80	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	80	250
hmp_airskin_omitted_gtdb_source_abundance	8	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_omitted_gtdb_source_abundance.sample8.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	80	80	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	80	250
hmp_airskin_omitted_gtdb_source_abundance	12	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_omitted_gtdb_source_abundance.sample12.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	49	49	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	49	250
hmp_airskin_omitted_gtdb_source_abundance	12	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_omitted_gtdb_source_abundance.sample12.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	49	49	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	49	250
hmp_airskin_omitted_gtdb_source_abundance	26	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_omitted_gtdb_source_abundance.sample26.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	67	67	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	67	250
hmp_airskin_omitted_gtdb_source_abundance	26	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_omitted_gtdb_source_abundance.sample26.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	67	67	0	0	0	0	0.0	0.0	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	67	250
hmp_airskin_omitted_gtdb_source_abundance	27	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_airskin_omitted_gtdb_source_abundance.sample27.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	138	138	1	2	3	3	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	136	250
hmp_airskin_omitted_gtdb_source_abundance	27	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_airskin_omitted_gtdb_source_abundance.sample27.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	138	138	1	2	3	3	10.00837958613069	0.0137288937983272	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	136	250
hmp_gastrooral_gtdb_source_abundance	0	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_gastrooral_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	35	35	0	1	1	1	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	34	250
hmp_gastrooral_gtdb_source_abundance	0	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_gastrooral_gtdb_source_abundance.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	35	35	0	1	1	1	33.37172162017547	0.0594661906311546	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	34	250
hmp_gastrooral_gtdb_source_abundance	6	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/hmp_gastrooral_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	52	52	0	1	1	1	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	51	250
hmp_gastrooral_gtdb_source_abundance	6	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/hmp_gastrooral_gtdb_source_abundance.sample6.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	52	52	0	1	1	1	0.5867456442384007	0.0071130421659233	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	51	250
cami3_toy_human_gut_gtdb_source_readmap	0	zero	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/zero/cami3_toy_human_gut_gtdb_source_readmap.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	97	97	2	1	3	3	0.0	0.0	accession-current-or-ani93-xny650-br20	zero	False	0	96	250
cami3_toy_human_gut_gtdb_source_readmap	0	normalized-depth-alpha2	/tmp/minco_raw_retention_surface_maxcalls_guard_wrapper_cross_panel_20260630/normalized_depth_alpha2/cami3_toy_human_gut_gtdb_source_readmap.sample0.accession-current-or-ani93-xny650-br20.maxcalls250.tsv	97	97	2	1	3	3	41.09250123901606	0.046840179880321096	accession-current-or-ani93-xny650-br20	normalized-depth-alpha2	False	0	96	250
