method	rule_type	feature1	op1	threshold1	feature2	op2	threshold2	sample_count	switched_samples	mean_sample_delta_L1_pp	max_sample_worse_L1_pp	improved_samples	worsened_samples	mean_panel_delta_L1_pp	max_panel_worse_L1_pp	improved_panels	worsened_panels
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	s_depth_median	<=	5.294014250000002	32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	s_depth_median	<=	5.294014250000002	32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	s_depth_median	<=	5.294014250000002	32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	s_depth_median	<=	5.294014250000002	32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	s_depth_median	<=	5.294014250000002	32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	s_depth_median	<=	5.294014250000002	32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	reported_ani_median	<=	1.0	s_depth_median	<=	5.294014250000002	32	28	-0.7144233956065813	0.8259990627319382	25	3	-0.5495883883458339	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	u_xny_median	<=	650.0500000000001	s_xny_median	<=	922.05	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_xny_median	<=	650.0500000000001	s_xny_mean	<=	848.9395833333334	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_xny_median	<=	650.0500000000001	xny_max_median	<=	922.05	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_xny_median	<=	650.0500000000001	xny_max_mean	<=	848.9395833333334	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_breadth_median	<=	0.65005	s_xny_median	<=	922.05	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_breadth_median	<=	0.65005	s_xny_mean	<=	848.9395833333334	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_breadth_median	<=	0.65005	xny_max_median	<=	922.05	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_breadth_median	<=	0.65005	xny_max_mean	<=	848.9395833333334	32	26	-0.7131676418351272	0.8259990627319382	23	3	-0.5378170006625651	0.20754499792517936	2	2
base_global_xny_a0.10	single	u_xny_median	<=	650.0500000000001				32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	single	u_breadth_median	<=	0.65005				32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	u_xny_median	<=	650.0500000000001	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	u_breadth_median	<=	0.65005	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	u_xny_median	<=	650.0500000000001	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	candidate_call_frac	>=	0.0	u_breadth_median	<=	0.65005	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	u_xny_median	<=	650.0500000000001	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	candidate_raw_frac	>=	0.0	u_breadth_median	<=	0.65005	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	u_xny_median	<=	650.0500000000001	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_zip_median	<=	1.0	u_breadth_median	<=	0.65005	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	u_xny_median	<=	650.0500000000001	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	probability_min	>=	0.0	u_breadth_median	<=	0.65005	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	reported_ani_median	<=	1.0	u_xny_median	<=	650.0500000000001	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	reported_ani_median	<=	1.0	u_breadth_median	<=	0.65005	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	two_feature_and	u_xny_median	<=	650.0500000000001	u_breadth_median	<=	0.65005	32	28	-0.7090815779598805	0.8259990627319382	24	4	-0.5364549793708163	0.20754499792517936	2	2
base_global_xny_a0.10	single	s_xny_median	<=	922.05				32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	single	s_xny_mean	<=	848.9395833333334				32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	single	xny_max_median	<=	922.05				32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	single	xny_max_mean	<=	848.9395833333334				32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	s_xny_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	s_xny_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	xny_max_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	max_species_per_genus	>=	5.0	xny_max_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	s_xny_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	s_xny_mean	<=	848.9395833333334	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
base_global_xny_a0.10	two_feature_and	n_candidate_calls	>=	0.0	xny_max_median	<=	922.05	32	28	-0.707338025763232	0.8259990627319382	24	4	-0.5472265983980508	0.20754499792517936	3	1
