panel	sample	method	F1	official_L1_pp	official_Pearson	truth_mass_detected_pct	matched_abs_error_pp	missing_truth_mass_pp	extra_pred_mass_pp	L1	Pearson	evidence_group	source_profile	abundance_feature_allocator_switch	abundance_feature_allocator_applied	abundance_feature_allocator_guard_passed	abundance_feature_allocator_method	abundance_feature_allocator_alpha	abundance_feature_allocator_target	abundance_feature_allocator_guard_feature	abundance_feature_allocator_guard_threshold	abundance_feature_allocator_base_mass_multi_genus_frac	abundance_feature_allocator_s_xny_median	abundance_feature_allocator_s_xny_median_threshold	abundance_feature_allocator_adjusted_rows_n	abundance_feature_allocator_rule	gold_taxa	pred_taxa	TP	FP	FN	precision	recall	abundance_column	tp_abundance_n	tp_abundance_pearson	tp_abundance_mae	bacteria_scope_l1	dataset	sample_key	profile_path	delta_F1	delta_L1	delta_Pearson
hmp_airskin_gtdb_source_abundance	5	current_selected_abundance	0.9615384615384616	10.337735604597233	0.9983818025644172	98.56115107913668	8.085223253669355	1.4388489208633206	0.8136634300645583	10.337735604597233	0.9983818025644172	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	5	wrapper_guarded_genus_hit_breadth_a002_xny230	0.9615384615384616	10.296103846664607	0.9983349993426357	98.56115107913668	8.04887764113358	1.4388489208633206	0.8083772846677084	10.296103846664607	0.9983349993426357	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.37907969252481405	808.0	230.3	16.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.041631757932625746	-4.680322178152174e-05
hmp_airskin_gtdb_source_abundance	6	current_selected_abundance	0.9696969696969697	22.192749202192346	0.9144670910865694	100.0	11.316984934969506	0.0	10.875764267222833	22.192749202192346	0.9144670910865694	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	6	wrapper_guarded_genus_hit_breadth_a002_xny230	0.9696969696969697	22.051080166054216	0.9157170798362598	100.0	11.246150416900445	0.0	10.804929749153766	22.051080166054216	0.9157170798362598	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.6039690937479739	1000.0	230.3	5.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.1416690361381292	0.0012499887496904005
hmp_airskin_gtdb_source_abundance	7	current_selected_abundance	0.8414634146341463	27.609399687248615	0.9875542782678017	99.27471781448712	22.843841979863377	0.7252821855128653	4.040275521872353	27.609399687248615	0.9875542782678017	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	7	wrapper_guarded_genus_hit_breadth_a002_xny230	0.8414634146341463	26.706932507585663	0.9881143615403013	99.27471781448712	22.001530749429364	0.7252821855128653	3.980119572643421	26.706932507585663	0.9881143615403013	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.9672559240789718	503.0	230.3	66.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.9024671796629526	0.0005600832724995675
hmp_airskin_gtdb_source_abundance	9	current_selected_abundance	0.9292929292929293	31.526930250245535	0.9866666556242832	99.92914421829782	22.615939364749867	0.07085578170228189	8.84013510379338	31.526930250245535	0.9866666556242832	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	9	wrapper_guarded_genus_hit_breadth_a002_xny230	0.9292929292929293	30.547026674170613	0.9875022565513235	99.92914421829782	21.798086999962614	0.07085578170228189	8.678083892505722	30.547026674170613	0.9875022565513235	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.9607358824925907	369.5	230.3	68.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.9799035760749213	0.0008356009270402698
hmp_airskin_gtdb_source_abundance	10	current_selected_abundance	0.9130434782608695	20.72920835915743	0.9889496865549151	98.25010636241484	16.25392857908883	1.7498936375851835	2.725386142483417	20.72920835915743	0.9889496865549151	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface_abundance.tsv																													0.0	0.0	0.0
hmp_airskin_gtdb_source_abundance	10	wrapper_guarded_genus_hit_breadth_a002_xny230	0.9130434782608695	20.206809982083858	0.9893328085646688	98.25010636241484	15.776608246371326	1.7498936375851835	2.680308098127356	20.206809982083858	0.9893328085646688	selected_cached_wrapper	/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface_abundance.tsv	guarded-genus-hit-breadth-a002-xny230	True	True	genus_raw_hit_breadth_a0.02_xny230_guard	0.02	raw*max(s,u Ref_hit_mean_depth*Ref_breadth)	base_mass_multi_genus_frac;s_xny_median	0.37501510201405147;230.3	0.7283247274314621	409.0	230.3	48.0	if base_mass_multi_genus_frac>=0.375015 and s_xny_median>=230.3 then blend 0.02 of each multi-row called genus toward raw*hit-depth*breadth; candidate-added row mass is preserved																0.0	-0.5223983770735714	0.00038312200975365585
