method	samples	mean_F1	pooled_F1	pooled_TP	pooled_FP	pooled_FN	mean_L1_union_pp	mean_Pearson_union	mean_added
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.2_d1_top2	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.2_d2_top0	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.2_d2_top2	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.3_b0.2_d1_top0	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.3_b0.2_d1_top2	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.3_b0.2_d2_top0	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.3_b0.2_d2_top2	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.5_b0.2_d1_top0	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.5_b0.2_d1_top2	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.5_b0.2_d2_top0	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx500_ani0.93_af0.5_b0.2_d2_top2	0,1,2	0.8287210238549977	0.8273615635179155	254	64	42	45.8201357701883	0.9154741325388728	3.3333333333333335
split_rescue_p0.02_sx300_ani0.93_af0.3_b0.2_d1_top0	0,1,2	0.8286772256675815	0.8271405492730209	256	67	40	49.021210088198366	0.9074776549707556	5.0
split_rescue_p0_sx300_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.828477546916686	0.8271405492730209	256	67	40	47.97911986770266	0.9061939124766704	5.0
split_rescue_p0.02_sx650_ani0.93_af0.3_b0.2_d1_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.3_b0.2_d1_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.3_b0.2_d2_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.3_b0.2_d2_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.3_b0.2_d2_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.5_b0.2_d1_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.5_b0.2_d1_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.5_b0.2_d1_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.5_b0.2_d2_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.5_b0.2_d2_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx650_ani0.93_af0.5_b0.2_d2_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.3_b0.2_d1_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.3_b0.2_d1_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.3_b0.2_d1_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.3_b0.2_d2_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.3_b0.2_d2_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.3_b0.2_d2_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.5_b0.2_d1_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.5_b0.2_d1_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.5_b0.2_d1_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.5_b0.2_d2_top0	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.5_b0.2_d2_top1	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0_sx650_ani0.93_af0.5_b0.2_d2_top2	0,1,2	0.8277537291896787	0.8262295081967213	252	62	44	52.21394295515935	0.8805969399353185	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d1_top0	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d1_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d1_top2	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d2_top0	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d2_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d2_top2	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d5_top0	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d5_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.93_af0.5_b0.3_d5_top2	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.2_d2_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.2_d5_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d2_top0	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d2_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d2_top2	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d5_top0	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d5_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.3_b0.3_d5_top2	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.2_d1_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.2_d2_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.2_d5_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.3_d1_top0	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.3_d1_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.3_d1_top2	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.3_d2_top0	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.3_d2_top1	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
split_rescue_p0.02_sx300_ani0.95_af0.5_b0.3_d2_top2	0,1,2	0.8276881296790656	0.8262295081967213	252	62	44	46.397181904052225	0.9097169918389575	2.0
