method	panels	mean_panel_pooled_F1	mean_panel_official_L1_pp	mean_panel_Pearson_union	total_TP	total_FP	total_FN	total_rescued_TP	total_rescued_FP	mean_delta_F1	min_delta_F1	mean_delta_L1_pp	total_TP_delta	total_FP_delta	total_FN_delta	improved_samples_F1	worsened_samples_F1	unchanged_samples_F1	worsened_panels_F1
cross_rescue_ani0.93_xny100_br0.01_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8685996611543351	37.0063459363136	0.9188030150231892	1761	415	178	34	27	0.00296276035204952	-0.035612535612535634	0.0	34.0	27.0	-34.0	18.0	4.0	10.0	0.0
cross_rescue_ani0.93_xny100_br0.01_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.93_xny100_br0.01_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.93_xny100_br0.05_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.812612342925756	37.0063459363136	0.9197352741231515	1781	614	158	54	226	-0.04765345237799404	-0.284438775510204	0.0	54.0	226.0	-54.0	4.0	28.0	0.0	4.0
cross_rescue_ani0.93_xny100_br0.05_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8359672234214859	37.0063459363136	0.9192819862709719	1768	530	171	41	142	-0.031693002937278864	-0.19999999999999996	0.0	41.0	142.0	-41.0	4.0	28.0	0.0	4.0
cross_rescue_ani0.93_xny100_br0.05_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8685996611543351	37.0063459363136	0.9188030150231892	1761	415	178	34	27	0.00296276035204952	-0.035612535612535634	0.0	34.0	27.0	-34.0	18.0	4.0	10.0	0.0
cross_rescue_ani0.93_xny100_br0.05_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.93_xny100_br0.05_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.93_xny100_br0.15_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8468305362825411	37.0063459363136	0.9191278875244331	1771	510	168	44	122	-0.026765317715560514	-0.19999999999999996	0.0	44.0	122.0	-44.0	6.0	26.0	0.0	4.0
cross_rescue_ani0.93_xny100_br0.15_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8471106086104099	37.0063459363136	0.9191033643074425	1767	504	172	40	116	-0.025374106575180983	-0.19999999999999996	0.0	40.0	116.0	-40.0	5.0	27.0	0.0	4.0
cross_rescue_ani0.93_xny100_br0.15_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8685996611543351	37.0063459363136	0.9188030150231892	1761	415	178	34	27	0.00296276035204952	-0.035612535612535634	0.0	34.0	27.0	-34.0	18.0	4.0	10.0	0.0
cross_rescue_ani0.93_xny100_br0.15_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.93_xny100_br0.15_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.93_xny100_br0.1_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8364474362761387	37.0063459363136	0.9193921925315903	1772	547	167	45	159	-0.036185106124065794	-0.22638888888888886	0.0	45.0	159.0	-45.0	4.0	28.0	0.0	4.0
cross_rescue_ani0.93_xny100_br0.1_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8426677662686866	37.0063459363136	0.9192391058016872	1767	519	172	40	131	-0.029169400186951387	-0.19999999999999996	0.0	40.0	131.0	-40.0	4.0	28.0	0.0	4.0
cross_rescue_ani0.93_xny100_br0.1_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8685996611543351	37.0063459363136	0.9188030150231892	1761	415	178	34	27	0.00296276035204952	-0.035612535612535634	0.0	34.0	27.0	-34.0	18.0	4.0	10.0	0.0
cross_rescue_ani0.93_xny100_br0.1_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.93_xny100_br0.1_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
cross_rescue_ani0.93_xny100_br0.2_af0.1_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8596215125907941	37.0063459363136	0.9189815472278331	1768	485	171	41	97	-0.02169187688579074	-0.19999999999999996	0.0	41.0	97.0	-41.0	6.0	26.0	0.0	3.0
cross_rescue_ani0.93_xny100_br0.2_af0.3_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8594623355996529	37.0063459363136	0.9189648189099656	1767	483	172	40	95	-0.02011526133733714	-0.19999999999999996	0.0	40.0	95.0	-40.0	6.0	26.0	0.0	3.0
cross_rescue_ani0.93_xny100_br0.2_af0.5_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8706269670865525	37.0063459363136	0.9187796599087881	1761	412	178	34	24	0.0035145490820791513	-0.035612535612535634	0.0	34.0	24.0	-34.0	18.0	4.0	10.0	0.0
cross_rescue_ani0.93_xny100_br0.2_af0.7_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8709304115138432	37.0063459363136	0.9186781153898296	1744	389	195	17	1	0.006043630773723847	0.0	0.0	17.0	1.0	-17.0	13.0	0.0	19.0	0.0
cross_rescue_ani0.93_xny100_br0.2_af0.9_zero_mass	cami2_toy_mouse_gut,cami3_toy_human_gut_gtdb_source_readmap,hmp_airskin_gtdb_source_abundance,hmp_gastrooral_gtdb_source_abundance	0.8655897841967835	37.0063459363136	0.9186780411220128	1728	388	211	1	0	0.00047953964194373533	0.0	0.0	1.0	0.0	-1.0	1.0	0.0	31.0	0.0
