sample	method	truth_gtdb_species	pred_gtdb_species	TP	FP	FN	precision	recall	F1	L1_union_pp	L1_truth_only_pp	Pearson_union	Pearson_truth_only	pred_rows_called	adaptive_call_filter_switch	adaptive_call_filter_applied	profile	adaptive_call_filter_removed_n	adaptive_call_filter_input_call_n	adaptive_call_filter_output_call_n	observed_called_n	adaptive_call_filter_max_xny_median	adaptive_call_filter_max_xny_median_threshold	adaptive_call_filter_min_xny_threshold	expected_offline_method	panel	pred_rows_unmapped	pred_rows_ref_mapped	pred_rows_taxid_mapped	pred_rows_name_mapped	raw_ref_rows	raw_ref_taxids	raw_ref_taxids_gtdb_mapped	truth_species	pred_species	added_species	rule	called_rows	candidate_added_rows	candidate_rescue_added_rows	candidate_surface_added_rows	nonzero_candidate_rows	candidate_added_abundance_sum	candidate_added_raw_sum	candidate_added_norm_mass_sum	base_called_raw_mass	max_candidate_raw_mass_delta	candidate_abundance_policy_values
5	wrapper_candidate_abundance_normalized_depth_alpha2			25	1	1	0.9615384615384616	0.9615384615384616	0.9615384615384616	10.337735604597121		0.9983818025644171					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample5.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								26.0	26.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	26	0	0	0	0	0.0	0.0	0.0	573.7486646829607	0.0	
6	wrapper_candidate_abundance_normalized_depth_alpha2			16	1	0	0.9411764705882353	1.0	0.9696969696969697	22.192749202192346		0.9144670910865694					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								16.0	17.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	17	1	0	1	1	0.0124100552457815	12.345963447143628	0.012566	982.4895310475591	0.0	normalized-depth-alpha2
7	wrapper_candidate_abundance_normalized_depth_alpha2			69	20	6	0.7752808988764045	0.92	0.8414634146341463	27.609399687248192		0.9875542782678018					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample7.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								75.0	89.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	89	0	0	0	0	0.0	0.0	0.0	687.4666704624319	0.0	
9	wrapper_candidate_abundance_normalized_depth_alpha2			92	10	4	0.9019607843137255	0.9583333333333334	0.9292929292929293	31.5269302502451		0.9866666556242838					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample9.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								96.0	102.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	102	0	0	0	0	0.0	0.0	0.0	699.3135248795265	0.0	
10	wrapper_candidate_abundance_normalized_depth_alpha2			63	6	6	0.9130434782608695	0.9130434782608695	0.9130434782608695	20.729208359157223		0.9889496865549154					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample10.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								69.0	69.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	69	0	0	0	0	0.0	0.0	0.0	544.9605847625855	0.0	
11	wrapper_candidate_abundance_normalized_depth_alpha2			32	0	1	1.0	0.9696969696969697	0.9846153846153847	22.34574875063908		0.9390039844436857					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample11.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								33.0	32.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	32	0	0	0	0	0.0	0.0	0.0	721.1873437604959	0.0	
13	wrapper_candidate_abundance_normalized_depth_alpha2			37	3	3	0.925	0.925	0.925	54.74798404447642		0.9105244185423927					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample13.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								40.0	40.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	40	0	0	0	0	0.0	0.0	0.0	73.84212257489807	0.0	
14	wrapper_candidate_abundance_normalized_depth_alpha2			27	5	1	0.84375	0.9642857142857143	0.8999999999999999	14.247572698891384		0.9988928181803315					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample14.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								28.0	32.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	32	2	0	2	2	0.0069158381034475	4.808989707376749	0.006964	690.5499292614517	4.440892098500626e-16	normalized-depth-alpha2
15	wrapper_candidate_abundance_normalized_depth_alpha2			23	1	1	0.9583333333333334	0.9583333333333334	0.9583333333333334	8.654145647602354		0.9996229749681823					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample15.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								24.0	24.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	24	2	0	2	2	0.0044540724797256	2.9999323836804885	0.004474	670.5257898257688	8.881784197001252e-16	normalized-depth-alpha2
16	wrapper_candidate_abundance_normalized_depth_alpha2			10	0	0	1.0	1.0	1.0	6.914589514693759		0.9998353757011105					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample16.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								10.0	10.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	10	0	0	0	0	0.0	0.0	0.0	700.4183300548	0.0	
17	wrapper_candidate_abundance_normalized_depth_alpha2			46	27	0	0.6301369863013698	1.0	0.773109243697479	26.525180643112833		0.9960095778891281					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample17.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								46.0	73.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	73	0	0	0	0	0.0	0.0	0.0	765.7900750735467	0.0	
18	wrapper_candidate_abundance_normalized_depth_alpha2			26	1	1	0.9629629629629629	0.9629629629629629	0.9629629629629629	11.411039745670227		0.9950982254305217					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample18.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								27.0	27.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	27	1	0	1	1	0.0048345139313216	3.741833027399443	0.004858	770.2414630299387	4.440892098500626e-16	normalized-depth-alpha2
19	wrapper_candidate_abundance_normalized_depth_alpha2			107	44	4	0.7086092715231788	0.963963963963964	0.816793893129771	37.16496661201054		0.9640171703457461					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample19.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								111.0	151.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	151	4	0	4	4	0.0104320255862693	9.08702008880001	0.010542	861.9825544299003	6.661338147750939e-16	normalized-depth-alpha2
20	wrapper_candidate_abundance_normalized_depth_alpha2			76	30	3	0.7169811320754716	0.9620253164556962	0.8216216216216216	25.952986359054346		0.990482300426512					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample20.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								79.0	106.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	106	0	0	0	0	0.0	0.0	0.0	724.4890725705683	0.0	
21	wrapper_candidate_abundance_normalized_depth_alpha2			33	8	1	0.8048780487804879	0.9705882352941176	0.8800000000000001	34.744967146761056		0.9626902136826683					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample21.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								34.0	41.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	41	0	0	0	0	0.0	0.0	0.0	391.7033044552195	0.0	
22	wrapper_candidate_abundance_normalized_depth_alpha2			19	19	2	0.5	0.9047619047619048	0.6440677966101696	20.64859084035785		0.9885915958918302					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample22.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								21.0	38.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	38	0	0	0	0	0.0	0.0	0.0	848.8703787107715	0.0	
23	wrapper_candidate_abundance_normalized_depth_alpha2			31	5	2	0.8611111111111112	0.9393939393939394	0.8985507246376813	28.41923191911534		0.984447024806524					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample23.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								33.0	36.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	36	0	0	0	0	0.0	0.0	0.0	464.9654682128142	0.0	
24	wrapper_candidate_abundance_normalized_depth_alpha2			26	1	3	0.9629629629629629	0.896551724137931	0.9285714285714286	13.48240281413944		0.9950654879951978					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample24.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								29.0	27.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	27	1	0	1	1	0.0047770700636942	3.856547770774472	0.0048	803.4474522446819	8.881784197001252e-16	normalized-depth-alpha2
25	wrapper_candidate_abundance_normalized_depth_alpha2			46	31	3	0.5974025974025974	0.9387755102040817	0.73015873015873	23.82652637144698		0.9845564248854469					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample25.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								49.0	77.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	77	1	0	1	1	0.0023504623107957	1.527158056324436	0.002356	648.1995145689457	0.0	normalized-depth-alpha2
28	wrapper_candidate_abundance_normalized_depth_alpha2			12	3	0	0.8	1.0	0.888888888888889	18.35263353310751		0.9890339281762489					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_airskin_gtdb_source_abundance.sample28.integrated_candidate_surface_abundance.tsv									hmp_airskin_gtdb_source_abundance								12.0	15.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	15	0	0	0	0	0.0	0.0	0.0	36.13808924085987	0.0	
0	wrapper_candidate_abundance_normalized_depth_alpha2			33	2	1	0.9428571428571428	0.9705882352941176	0.9565217391304348	14.879895462236314		0.9819928784641778					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample0.integrated_candidate_surface_abundance.tsv									hmp_gastrooral_gtdb_source_abundance								34.0	35.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	35	1	0	1	1	0.0594661906311546	33.37172162017547	0.063226	527.8164302688051	0.0	normalized-depth-alpha2
6	wrapper_candidate_abundance_normalized_depth_alpha2			45	7	2	0.8653846153846154	0.9574468085106383	0.9090909090909091	77.83598901257037		0.8105695195652595					/tmp/minco_candidate_surface_integrated_hmp_abundance_20260629/hmp_gastrooral_gtdb_source_abundance.sample6.integrated_candidate_surface_abundance.tsv									hmp_gastrooral_gtdb_source_abundance								47.0	52.0	0.0	integrated wrapper candidate-surface normalized-depth-alpha2 abundance policy	52	1	0	1	1	0.0071130421659233	0.5867456442384007	0.007164	81.90196039061986	0.0	normalized-depth-alpha2
