panel	sample	gtdb_species	truth_abundance	truth_abundance_pct	high_truth_abundance	candidate_present	profile_path	candidate_called	candidate_probability	candidate_threshold	candidate_abundance	candidate_abundance_raw	candidate_best_XnY	candidate_best_breadth	candidate_best_real_min_af	candidate_best_depth	candidate_best_zip_af	candidate_best_zip_aaf_ani	mapping_method	taxid	species_name
cami3_toy_human_gut_gtdb_source_readmap	0	s__Agathobaculum butyriciproducens	0.004305876346033414	0.4305876346033414	False	True	/tmp/cami3_toy_human_gut_20260626/run/sample0_universal_autoexact.tsv	False	0.2721497237668255	0.35	0.0	4.214415112364132	456.0	0.338273	0.456	1.447011	0.343348	0.951409	best_raw_ref_taxid	1628085	Agathobaculum butyriciproducens
hmp_airskin_gtdb_source_abundance	19	s__Streptococcus vaginalis	0.004296745747885424	0.4296745747885424	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	7	s__Streptococcus anginosus	0.004084698040356412	0.4084698040356412	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin7_20260627/minco_sample7_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami3_toy_human_gut_gtdb_source_readmap	1	s__Agathobaculum butyriciproducens	0.0040135721841858115	0.40135721841858113	False	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	False	0.2687874054986449	0.35	0.0	3.669750515828911	452.0	0.33581	0.452	1.264563	0.344591	0.951573	best_raw_ref_taxid	1628085	Agathobaculum butyriciproducens
cami3_toy_human_gut_gtdb_source_readmap	2	s__Streptococcus sp001556435	0.0038025007624966087	0.3802500762496609	False	False	/tmp/cami3_toy_human_gut_20260626/run/sample2_universal_autoexact_tail_p025.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	24	s__Limosilactobacillus kinnaridis	0.003703703703703203	0.3703703703703203	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	24	s__Lactobacillus sp945980025	0.003703703703703203	0.3703703703703203	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_gastrooral_gtdb_source_abundance	6	s__Flavobacterium psychrophilum	0.003369125693780912	0.33691256937809116	False	False	/tmp/minco_current_code_hmp_gastrooral_20260627/minco_sample6_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
hmp_airskin_gtdb_source_abundance	24	s__Lactobacillus johnsonii	0.0032201366251551028	0.3220136625155103	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin24_20260627/minco_sample24_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami3_toy_human_gut_gtdb_source_readmap	1	s__Streptococcus salivarius_E	0.002953734833516108	0.2953734833516108	False	True	/tmp/cami3_toy_human_gut_20260626/run/sample1_universal_autoexact.tsv	False	0.0143065916119548	0.35	0.0	3.503239427686007	675.0	0.214074	0.675	0.773228	0.220718	0.931324	best_raw_ref_taxid	2762571	Streptococcus sp. 9.1
cami2_toy_mouse_gut	5	s__Anaerostipes hadrus	0.002914642609301525	0.2914642609301525	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.2104741450742781	0.35	0.0	1.4334348683031717	507.0	0.285096	0.507	0.523533	0.38229	0.956292	species_name	s__Anaerostipes hadrus	s__Anaerostipes hadrus
hmp_airskin_gtdb_source_abundance	15	s__Streptococcus mitis_AK	0.0027481636806846025	0.27481636806846027	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin15_20260627/minco_sample15_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
cami2_toy_mouse_gut	7	s__Streptococcus pneumoniae	0.0027472527472527115	0.27472527472527114	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample7_current.tsv	False	0.0812190978738677	0.35	0.0	2.218758312749382	685.0	0.187627	0.685	0.467093	0.21052	0.929174	species_name	s__Streptococcus pneumoniae	s__Streptococcus pneumoniae
cami2_toy_mouse_gut	6	s__Faecalibacterium prausnitzii	0.0025719748522648267	0.25719748522648267	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample6_current.tsv	False	0.0166086040377793	0.35	0.0	1.2896239777036598	367.0	0.126879	0.367	0.225808	0.175096	0.920799	species_name	s__Faecalibacterium prausnitzii	s__Faecalibacterium prausnitzii
cami2_toy_mouse_gut	5	s__Bacteroides ovatus	0.00235947258848212	0.235947258848212	False	True	/tmp/minco_current_code_toymouse_refresh_20260627/sample5_current.tsv	False	0.2636546022648282	0.35	0.0	1.089710476256959	670.0	0.304239	0.67	0.499532	0.458408	0.964546	species_name	s__Bacteroides ovatus	s__Bacteroides ovatus
hmp_airskin_gtdb_source_abundance	19	s__Haemophilus influenzae_E	0.0022026431718061125	0.22026431718061126	False	False	/mnt/new3T/minco_release_holdouts_20260628/minco_current_code_hmp_airskin19_20260627/minco_sample19_current_default.tsv	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0			
